,close,high,low,open,volume
2017-03-21,504.85,508.75,502.85,507.5,19
2017-03-22,500.8,502.2,498.0,501.65,27
2017-03-23,503.95,502.1,501.0,501.0,2
2017-03-24,502.85,503.5,501.95,503.5,25
2017-03-27,501.15,500.6,498.35,498.35,15
2017-03-28,503.95,504.6,503.45,503.45,2
2017-03-29,505.4,505.1,504.15,504.15,11
2017-03-31,508.35,506.45,506.45,506.45,4
2017-04-03,505.4,509.05,509.05,509.05,1
2017-04-04,506.1,506.25,505.0,506.25,6
2017-04-06,508.25,504.95,504.95,504.95,1
2017-04-07,510.65,507.4,507.1,507.1,2
2017-04-10,511.15,511.3,509.5,509.95,7
2017-04-12,509.85,509.95,509.95,509.95,1
2017-04-13,507.8,507.8,507.8,507.8,1
2017-04-18,502.8,507.8,503.9,507.8,4
2017-04-19,504.55,506.4,503.1,505.65,4
2017-04-20,504.95,506.9,505.65,506.1,12
2017-04-21,505.4,506.7,506.1,506.1,30
2017-04-24,517.4,518.8,509.85,509.85,126
2017-04-25,517.7,519.85,517.6,518.75,96
2017-04-26,518.05,517.65,517.65,517.65,16
2017-04-27,516.15,516.0,515.4,515.65,35
2017-04-28,515.8,516.45,515.5,516.45,17
2017-05-02,520.15,520.4,518.5,518.5,23
2017-05-03,519.85,520.25,518.65,520.05,25
2017-05-04,523.55,524.0,521.65,521.9,58
2017-05-05,528.6,530.1,522.35,522.35,43
2017-05-08,529.6,530.5,528.2,530.3,16
2017-05-09,531.55,533.0,530.3,530.3,18
2017-05-10,532.45,532.95,531.25,532.15,21
2017-05-11,531.05,534.0,530.0,533.1,29
2017-05-12,531.7,538.25,530.3,538.25,116
2017-05-15,533.15,533.85,531.65,533.05,494
2017-05-16,533.5,534.0,531.85,533.1,1542
2017-05-17,526.85,533.05,522.85,531.7,6286
2017-05-18,523.85,528.4,518.7,524.0,10596
2017-05-19,526.1,526.7,523.6,525.0,24523
2017-05-22,526.95,528.05,526.0,526.95,19213
2017-05-23,527.55,528.85,525.2,526.65,20848
2017-05-24,527.25,528.5,526.25,527.55,15336
2017-05-25,526.8,529.15,524.35,528.15,24921
2017-05-26,527.4,527.6,524.35,526.5,20253
2017-05-29,527.05,527.85,525.7,527.7,8598
2017-05-30,525.1,526.85,523.45,526.5,24560
2017-05-31,523.45,527.0,523.05,524.7,29095
2017-06-01,526.5,528.3,522.9,524.55,27236
2017-06-02,526.15,531.2,525.3,529.65,29741
2017-06-05,524.2,527.0,523.45,526.7,13877
2017-06-06,521.55,524.1,520.35,524.0,22762
2017-06-07,522.95,527.25,520.35,521.75,30096
2017-06-08,523.45,525.85,522.8,523.9,24776
2017-06-09,527.15,527.8,523.1,524.0,34449
2017-06-12,521.8,525.45,519.85,524.75,32401
2017-06-13,523.3,524.75,521.95,522.25,22280
2017-06-14,521.625,528.0,521.3,524.2,33573
2017-06-15,518.75,522.0,515.7,521.85,38995
2017-06-16,519.5,522.15,519.25,519.6,1613
