,close,high,low,open,volume
2017-03-21,0.7669,0.7673,0.7673,0.7673,0
2017-03-22,0.7644,0.762,0.762,0.762,0
2017-03-24,0.7596,0.759,0.759,0.759,0
2017-03-27,0.7591,0.7585,0.7585,0.7585,1
2017-03-29,0.7639,0.7631,0.7631,0.7631,1
2017-04-05,0.7553,0.7538,0.7538,0.7538,0
2017-04-06,0.7513,0.7518,0.7511,0.7518,3
2017-04-07,0.7467,0.7472,0.747,0.7472,2
2017-04-10,0.7473,0.7469,0.7465,0.7469,6
2017-04-12,0.7449,0.7498,0.7456,0.7456,39
2017-04-13,0.7556,0.757,0.7538,0.7569,16
2017-04-17,0.7559,0.7575,0.757,0.757,3
2017-04-18,0.7528,0.7515,0.7503,0.7503,68
2017-04-19,0.747,0.749,0.7464,0.749,9
2017-04-20,0.7501,0.7518,0.7503,0.7509,84
2017-04-21,0.7511,0.7505,0.7504,0.7505,16
2017-04-24,0.7536,0.755,0.755,0.755,0
2017-04-26,0.7443,0.745,0.743,0.745,22
2017-04-27,0.7446,0.744,0.744,0.744,2
2017-04-28,0.7458,0.746,0.7425,0.7445,5
2017-05-01,0.751,0.7506,0.7506,0.7506,30
2017-05-02,0.7507,0.7506,0.7506,0.7506,3
2017-05-03,0.7404,0.7432,0.7404,0.7432,19
2017-05-04,0.7377,0.7384,0.7359,0.7359,37
2017-05-05,0.7391,0.74,0.7386,0.7386,23
2017-05-08,0.7365,0.7395,0.7395,0.7395,0
2017-05-09,0.7315,0.7312,0.7312,0.7312,3
2017-05-15,0.7391,0.739,0.739,0.739,10
2017-05-16,0.7405,0.7416,0.7412,0.7416,51
2017-05-18,0.7392,0.7441,0.7441,0.7441,0
2017-05-19,0.7435,0.7444,0.7437,0.7437,20
2017-05-22,0.7454,0.7467,0.745,0.745,5
2017-05-23,0.7462,0.7469,0.7467,0.7467,40
2017-05-24,0.7463,0.748,0.7445,0.7445,36
2017-05-25,0.7435,0.7435,0.7435,0.7435,3
2017-05-26,0.7424,0.7433,0.7433,0.7433,0
2017-05-30,0.7445,0.7445,0.7429,0.744,36
2017-05-31,0.7415,0.7415,0.741,0.7413,56
2017-06-01,0.7357,0.7362,0.7362,0.7362,0
2017-06-02,0.7417,0.7424,0.739,0.739,31
2017-06-05,0.747,0.7475,0.747,0.747,32
2017-06-06,0.7489,0.7506,0.7494,0.7494,12
2017-06-07,0.7526,0.7542,0.7515,0.7542,30
2017-06-08,0.7529,0.7516,0.7515,0.7516,10
2017-06-09,0.7511,0.7508,0.7508,0.7508,5
2017-06-12,0.7522,0.7523,0.7518,0.7523,6
2017-06-13,0.7522,0.7517,0.7517,0.7517,2
2017-06-14,0.7572,0.762,0.7554,0.7604,139
2017-06-15,0.7564,0.7567,0.7567,0.7567,5
2017-06-16,0.7607,0.7608,0.7604,0.7604,13
