,close,high,low,open,volume
2017-03-07,132.9,133.0,133.0,133.0,1
2017-03-08,132.54,132.63,132.58,132.63,11
2017-03-10,131.8,132.14,131.88,132.14,12
2017-03-13,131.83,131.87,131.87,131.87,1
2017-03-14,131.99,132.0,131.75,131.75,21
2017-03-15,132.17,132.15,132.15,132.15,1
2017-03-16,132.0,132.01,132.01,132.01,1
2017-03-17,131.96,131.73,131.7,131.7,254
2017-03-21,131.72,131.75,131.73,131.75,2
2017-03-22,131.96,132.01,131.77,131.77,125
2017-03-23,131.87,132.02,131.92,131.92,12
2017-03-24,131.89,131.93,131.74,131.78,8
2017-03-27,131.79,132.23,131.88,132.23,13
2017-03-28,131.99,132.01,131.92,131.92,303
2017-03-29,132.4,132.39,131.97,131.97,272
2017-03-31,132.52,132.41,132.41,132.41,140
2017-04-03,132.89,132.83,132.53,132.53,15
2017-04-04,132.98,133.03,133.01,133.03,40
2017-04-06,132.95,132.98,132.98,132.98,1
2017-04-07,133.2,133.2,133.02,133.02,38
2017-04-10,133.29,133.28,133.22,133.28,11
2017-04-11,133.39,133.36,133.36,133.36,1
2017-04-12,133.37,133.4,133.36,133.36,2
2017-04-13,133.49,133.52,133.45,133.46,13
2017-04-18,133.49,133.52,133.47,133.49,4
2017-04-19,133.14,133.45,133.12,133.45,18
2017-04-21,133.0,133.0,132.96,132.96,4
2017-04-24,132.28,132.37,132.28,132.29,33
2017-04-25,132.12,132.08,132.08,132.08,1
2017-04-26,132.29,132.24,132.22,132.22,204
2017-04-27,132.66,132.6,132.25,132.25,2002
2017-04-28,132.61,132.6,132.39,132.39,52
2017-05-02,132.52,132.55,132.5,132.55,9
2017-05-03,132.51,132.54,132.53,132.53,2
2017-05-04,132.22,132.39,132.18,132.39,142
2017-05-05,132.01,132.25,132.19,132.22,52
2017-05-08,132.01,132.15,131.99,132.14,201
2017-05-09,132.01,132.04,131.93,131.96,849
2017-05-10,132.05,132.15,131.97,131.97,303
2017-05-11,132.04,132.06,131.92,131.97,510
