,close,high,low,open,volume
2017-03-01,130.46,131.1,131.1,131.1,5
2017-03-06,130.42,132.74,130.74,132.74,2
2017-03-07,130.18,130.2,130.19,130.2,10
2017-03-08,129.44,129.38,129.38,129.38,5
2017-03-10,129.25,129.5,129.0,129.39,4
2017-03-14,129.11,128.5,128.5,128.5,2
2017-03-16,129.47,130.24,130.18,130.24,2
2017-04-05,132.99,132.91,132.91,132.91,1
2017-05-04,133.48,133.49,133.4,133.45,92
2017-05-05,134.26,134.34,133.59,133.59,17
2017-05-08,133.43,134.12,133.35,134.12,8
2017-05-09,133.02,133.02,132.92,133.0,111
2017-05-10,133.41,133.09,133.09,133.09,1
2017-05-11,133.02,133.2,133.02,133.12,102
