,close,high,low,open,volume
2016-11-25,4532.5,4521.0,4521.0,4521.0,1
2016-11-28,4493.5,4497.5,4489.0,4489.0,5
2016-11-30,4564.0,4562.5,4562.5,4562.5,1
2016-12-01,4546.5,4540.0,4540.0,4540.0,1
2016-12-05,4561.5,4563.5,4549.5,4563.5,10
2016-12-06,4619.5,4617.5,4552.0,4572.0,19
2016-12-07,4682.5,4675.5,4652.0,4652.0,11
2016-12-08,4723.0,4735.0,4725.0,4735.0,6
2016-12-12,4749.0,4750.0,4750.0,4750.0,1
2016-12-13,4792.0,4746.5,4746.5,4746.5,1
2016-12-14,4757.5,4793.5,4760.0,4771.0,27
2016-12-15,4808.5,4810.0,4791.5,4792.0,4
2016-12-16,4821.5,4837.0,4794.5,4801.0,12
2016-12-19,4814.0,4816.5,4816.0,4816.5,2
2016-12-20,4841.5,4841.5,4820.0,4826.0,24
2016-12-21,4832.5,4848.5,4821.0,4841.5,33
2016-12-22,4833.5,4829.0,4824.5,4828.0,52
2016-12-23,4838.0,4843.5,4835.5,4839.0,43
2016-12-28,4847.0,4845.0,4828.5,4845.0,2
2016-12-29,4838.0,4844.0,4830.5,4830.5,8
2016-12-30,4861.0,4862.0,4839.0,4839.0,69
2017-01-02,4880.5,4886.0,4856.0,4856.0,77
2017-01-03,4896.0,4925.0,4892.0,4899.0,68
2017-01-04,4896.5,4903.0,4885.0,4903.0,36
2017-01-05,4898.0,4896.5,4888.5,4896.5,3
2017-01-06,4907.0,4912.0,4883.0,4884.5,567
2017-01-09,4884.5,4919.0,4865.0,4919.0,104
2017-01-10,4885.0,4893.0,4866.5,4881.0,95
2017-01-11,4886.0,4908.5,4855.0,4883.5,289
2017-01-12,4861.0,4886.0,4854.5,4880.5,233
2017-01-13,4919.5,4921.0,4885.5,4889.0,245
2017-01-16,4880.0,4905.0,4877.5,4891.5,2110
2017-01-17,4858.0,4887.0,4840.5,4873.5,11200
2017-01-18,4852.0,4879.0,4824.0,4878.5,18419
2017-01-19,4839.0,4866.0,4821.5,4860.5,34477
2017-01-20,4848.5,4868.0,4816.5,4840.5,88512
2017-01-23,4819.5,4842.0,4796.0,4825.0,88311
2017-01-24,4827.5,4854.0,4814.5,4834.0,62099
2017-01-25,4875.0,4888.0,4846.0,4846.0,89785
2017-01-26,4864.5,4900.0,4852.0,4885.5,78734
2017-01-27,4837.5,4869.0,4825.0,4863.5,68228
2017-01-30,4782.5,4829.5,4769.5,4822.5,83919
2017-01-31,4747.5,4811.5,4745.0,4786.0,121922
2017-02-01,4793.5,4823.5,4776.0,4785.0,91939
2017-02-02,4792.0,4810.5,4771.0,4780.0,76728
2017-02-03,4823.0,4846.5,4790.5,4790.5,74392
2017-02-06,4776.5,4841.5,4763.5,4821.0,95750
2017-02-07,4753.5,4787.5,4745.5,4763.0,75689
2017-02-08,4765.5,4791.0,4732.5,4766.5,82191
2017-02-09,4825.5,4832.0,4766.5,4779.0,83476
2017-02-10,4827.5,4848.0,4814.5,4840.5,69967
2017-02-13,4888.5,4907.5,4833.0,4833.0,76870
2017-02-14,4896.0,4912.5,4877.0,4887.5,54142
2017-02-15,4924.5,4935.0,4902.5,4914.5,56609
2017-02-16,4899.5,4930.5,4888.5,4925.5,54719
2017-02-17,4850.0,4903.0,4842.5,4895.0,4556
