,close,high,low,open,volume
2017-02-13,0.9944,0.9981,0.9931,0.996825,-1
2017-02-14,0.99385,0.996925,0.9916,0.99425,-1
2017-02-15,0.9946,0.99525,0.988225,0.99375,-1
2017-02-16,1.00295,1.00335,0.99405,0.99475,-1
2017-02-17,0.99735,1.003175,0.99665,1.0029,-1
2017-02-20,0.997125,0.99885,0.99555,0.997375,-1
2017-02-21,0.990475,0.997325,0.98955,0.997125,-1
2017-02-22,0.9898,0.992275,0.9861,0.99015,-1
2017-02-23,0.993675,0.994625,0.988475,0.98985,-1
2017-02-24,0.9924,0.997475,0.991975,0.993625,-1
2017-02-27,0.991075,0.995425,0.99025,0.9924,-1
2017-02-28,0.9942,0.999075,0.9899,0.99095,-1
2017-03-01,0.991175,0.994725,0.987225,0.994025,-1
2017-03-02,0.986825,0.99155,0.985575,0.991325,-1
2017-03-03,0.991925,0.9928,0.9864,0.986925,-1
2017-03-06,0.9881,0.99275,0.987175,0.9909,-1
2017-03-07,0.98695,0.989375,0.9832,0.98765,-1
2017-03-08,0.9855,0.98785,0.984775,0.987025,-1
2017-03-09,0.987775,0.990875,0.984175,0.9855,-1
2017-03-10,0.98915,0.992175,0.985975,0.988275,-1
2017-03-13,0.99285,0.994,0.988425,0.989925,-1
2017-03-14,0.9899,0.993125,0.9893,0.99275,-1
2017-03-15,0.999775,1.0014,0.989525,0.9896,-1
2017-03-16,1.003525,1.004875,0.997725,0.997725,-1
2017-03-17,1.0011,1.0058,1.000825,1.003775,-1
2017-03-20,1.00145,1.0043,1.0009,1.002175,-1
2017-03-21,1.006175,1.007875,0.99975,1.0014,-1
2017-03-22,1.008725,1.011975,1.005375,1.006,-1
2017-03-23,1.006675,1.008875,1.0058,1.008575,-1
2017-03-24,1.00865,1.0112,1.00405,1.0071,-1
2017-03-27,1.0147,1.018975,1.01045,1.01105,-1
2017-03-28,1.0076,1.017125,1.006525,1.01475,-1
2017-03-29,1.003525,1.00875,1.00235,1.00795,-1
2017-03-30,0.998825,1.00515,0.998575,1.00355,-1
2017-03-31,0.997125,1.0005,0.99665,0.99895,-1
2017-04-03,0.998475,0.9992,0.99625,0.997675,-1
2017-04-04,0.998025,0.9988,0.9963,0.99835,-1
2017-04-05,0.995175,0.9988,0.992125,0.998025,-1
2017-04-06,0.995075,0.997325,0.993275,0.995175,-1
2017-04-07,0.991,0.9972,0.990475,0.9952,-1
2017-04-10,0.991275,0.992575,0.989325,0.9909,-1
2017-04-11,0.99265,0.994425,0.9907,0.99165,-1
2017-04-12,0.99695,0.997825,0.991125,0.992425,-1
2017-04-13,0.994125,0.99915,0.993325,0.9977,-1
2017-04-14,0.9947,0.997175,0.994025,0.9944,-1
2017-04-17,0.995525,0.999,0.994425,0.994475,-1
2017-04-18,1.003725,1.004475,0.995225,0.9958,-1
2017-04-19,1.001825,1.004375,1.00075,1.0037,-1
2017-04-20,1.001275,1.005975,1.0012,1.0021,-1
2017-04-21,1.003975,1.004275,1.00005,1.00155,-1
2017-04-24,1.004225,1.00925,1.001925,1.00805,-1
2017-04-25,1.006375,1.008175,1.003,1.00425,-1
2017-04-26,1.006775,1.0081,1.00305,1.0067,-1
2017-04-27,1.00595,1.008025,1.003625,1.0068,-1
2017-04-28,1.005,1.010725,1.00295,1.00295,-1
2017-05-01,1.0037,1.007225,1.00345,1.00535,-1
2017-05-02,1.008425,1.00885,1.003375,1.00395,-1
2017-05-03,1.00525,1.011025,1.005175,1.008275,-1
2017-05-04,1.013875,1.0139,1.0043,1.005575,-1
2017-05-05,1.013025,1.01435,1.009725,1.0137,-1
2017-05-08,1.001225,1.0127,1.000825,1.0115,-1
2017-05-09,0.99265,1.002175,0.990975,1.0014,-1
2017-05-10,0.991225,0.995175,0.990575,0.99285,-1
2017-05-11,0.9924,0.994375,0.990125,0.99125,-1
2017-05-12,0.991925,0.99285,0.991475,0.9924,-1
