,close,high,low,open,volume
2016-10-31,2.208,2.2145,2.2025,2.2025,96
2016-11-01,2.2315,2.233,2.221,2.221,118
2016-11-02,2.2335,2.2315,2.2245,2.228,5
2016-11-03,2.252,2.251,2.2415,2.2415,18
2016-11-04,2.2685,2.269,2.253,2.253,41
2016-11-07,2.3135,2.3205,2.2975,2.3015,85
2016-11-08,2.383,2.385,2.345,2.348,143
2016-11-09,2.4615,2.462,2.43,2.4565,126
2016-11-10,2.554,2.556,2.5365,2.5465,58
2016-11-11,2.5125,2.6205,2.507,2.6125,311
2016-11-14,2.5235,2.531,2.5125,2.5295,118
2016-11-15,2.5075,2.51,2.48,2.48,135
2016-11-16,2.4705,2.48,2.448,2.476,76
2016-11-17,2.4935,2.503,2.481,2.5025,169
2016-11-18,2.47,2.489,2.453,2.484,123
2016-11-21,2.5195,2.5305,2.516,2.516,195
2016-11-22,2.548,2.5505,2.5335,2.541,185
2016-11-23,2.6095,2.622,2.538,2.538,216
2016-11-25,2.673,2.6825,2.6475,2.6495,68
2016-11-28,2.661,2.697,2.651,2.6785,469
2016-11-29,2.602,2.613,2.582,2.603,305
2016-11-30,2.6255,2.6405,2.617,2.6335,140
2016-12-01,2.635,2.639,2.6205,2.6305,100
2016-12-02,2.6185,2.623,2.6055,2.6055,107
2016-12-05,2.6915,2.7055,2.683,2.688,154
2016-12-06,2.6745,2.69,2.6545,2.6545,90
2016-12-07,2.6395,2.6685,2.6215,2.6655,123
2016-12-08,2.6215,2.628,2.613,2.6205,180
2016-12-09,2.643,2.655,2.64,2.6405,66
2016-12-12,2.6135,2.632,2.599,2.632,76
2016-12-13,2.593,2.5985,2.563,2.5985,84
2016-12-14,2.5995,2.6035,2.5875,2.595,57
2016-12-15,2.595,2.614,2.581,2.59,181
2016-12-16,2.559,2.5755,2.541,2.5755,260
2016-12-19,2.4935,2.503,2.4725,2.492,123
2016-12-20,2.4975,2.498,2.4825,2.4845,78
2016-12-21,2.4915,2.4985,2.487,2.4975,130
2016-12-22,2.4925,2.499,2.4875,2.488,73
2016-12-23,2.4725,2.4905,2.4735,2.4855,45
2016-12-27,2.508,2.519,2.478,2.4805,49
2016-12-28,2.4935,2.51,2.487,2.5045,31
2016-12-29,2.479,2.5015,2.479,2.5015,67
2016-12-30,2.4975,2.5045,2.498,2.5045,19
2017-01-03,2.481,2.495,2.48,2.495,21
2017-01-04,2.548,2.5495,2.545,2.545,28
2017-01-05,2.5295,2.553,2.527,2.5485,9
2017-01-06,2.538,2.535,2.505,2.506,19
2017-01-09,2.53,2.5325,2.5225,2.5225,6
2017-01-10,2.6035,2.6135,2.6035,2.6135,5
2017-01-11,2.601,2.6045,2.5905,2.6045,8
2017-01-12,2.6605,2.6605,2.6495,2.6495,2
2017-01-13,2.6805,2.679,2.679,2.679,1
2017-01-17,2.6165,2.616,2.602,2.615,23
2017-01-18,2.608,2.6145,2.6065,2.6075,9
2017-01-19,2.6015,2.595,2.595,2.595,1
2017-01-20,2.617,2.62,2.613,2.62,9
2017-01-23,2.6395,2.6385,2.6355,2.6385,3
2017-01-24,2.7005,2.702,2.689,2.689,6
2017-01-25,2.7025,2.7085,2.7,2.701,4
2017-01-26,2.666,2.6985,2.66,2.6985,9
2017-01-27,2.68,2.658,2.658,2.658,2
