,close,high,low,open,volume
2017-03-02,407.5,407.5,407.0,407.5,20
2017-03-03,406.25,406.0,405.5,406.0,3
2017-03-06,406.25,406.5,404.25,404.75,14
2017-03-07,404.0,403.0,402.25,403.0,4
2017-03-09,398.25,399.0,398.0,399.0,27
2017-03-14,396.0,395.75,395.0,395.0,32
2017-03-16,399.0,398.25,398.25,398.25,0
2017-03-17,400.25,400.5,399.25,399.25,126
2017-03-20,397.5,399.5,399.5,399.5,2
2017-03-22,394.25,394.5,394.25,394.25,74
2017-03-23,393.0,393.5,393.25,393.25,16
2017-03-24,392.75,394.0,392.75,393.75,68
2017-03-27,392.5,392.5,392.0,392.5,49
2017-03-28,393.75,394.25,394.0,394.25,6
2017-03-30,392.5,393.25,393.0,393.0,8
2017-03-31,401.0,391.75,391.75,391.75,0
2017-04-03,402.75,405.5,405.0,405.5,6
2017-04-04,399.75,403.0,403.0,403.0,0
2017-04-05,401.25,401.25,400.25,400.25,32
2017-04-06,399.25,400.25,398.25,400.25,15
2017-04-07,399.25,399.0,397.0,397.0,9
2017-04-10,404.5,400.25,400.25,400.25,1
2017-04-11,404.25,404.0,401.25,404.0,67
2017-04-12,405.75,407.5,406.0,406.25,54
2017-04-13,407.25,407.5,407.5,407.5,4
2017-04-19,400.0,402.5,402.5,402.5,10
2017-04-20,396.25,398.25,397.75,397.75,20
2017-04-21,396.5,396.75,393.5,393.5,61
2017-04-24,397.75,396.0,396.0,396.0,1
2017-04-25,402.5,404.0,398.75,398.75,16
2017-04-26,397.25,404.25,396.25,404.0,19
2017-04-27,399.5,399.5,399.5,399.5,4
2017-04-28,399.0,398.5,397.0,397.0,23
2017-05-01,407.5,407.75,404.0,404.0,7
2017-05-02,404.25,404.5,403.75,404.5,11
2017-05-03,406.0,405.25,405.25,405.25,0
2017-05-04,397.25,403.25,397.0,403.25,192
2017-05-05,401.0,400.25,400.0,400.25,3
2017-05-08,398.5,399.0,396.5,398.25,16
2017-05-09,400.25,399.75,399.75,399.75,1
2017-05-10,405.75,405.0,401.0,401.0,3
2017-05-12,404.25,402.75,401.75,401.75,17
2017-05-15,402.25,403.5,403.5,403.5,1
2017-05-16,402.75,402.5,400.5,402.5,29
2017-05-17,404.75,405.25,403.75,403.75,498
2017-05-18,399.5,402.5,399.75,400.25,83
2017-05-19,405.0,405.75,404.25,404.5,31
2017-05-22,406.5,408.25,407.75,407.75,8
2017-05-23,402.0,404.5,401.0,404.25,124
2017-05-25,400.25,401.75,401.0,401.75,12
2017-05-26,405.25,404.5,402.75,402.75,19
2017-05-30,399.75,400.5,399.5,400.5,49
