,close,high,low,open,volume
2017-02-13,55.11,55.35,54.91,55.22,962
2017-02-14,55.17,55.6,54.93,55.56,1344
2017-02-15,54.77,55.12,54.63,54.81,1746
2017-02-16,54.54,55.07,54.25,55.03,1745
2017-02-17,54.41,54.44,54.09,54.15,1236
2017-02-21,54.2,54.95,54.04,54.94,2239
2017-02-22,53.77,53.88,53.45,53.64,2978
2017-02-23,54.26,54.65,54.01,54.42,2207
2017-02-24,53.97,54.38,53.92,54.19,1365
2017-02-27,54.26,54.51,54.22,54.36,1326
2017-02-28,54.72,54.73,53.97,54.25,1349
2017-03-01,54.57,55.05,54.51,54.92,1696
2017-03-02,53.92,54.24,53.77,54.08,699
2017-03-03,54.39,54.42,54.03,54.05,640
2017-03-06,54.49,54.66,54.31,54.47,1210
2017-03-07,54.36,54.83,54.1,54.83,1795
2017-03-08,52.11,54.16,51.93,53.88,2963
2017-03-09,51.29,51.78,50.75,51.7,1461
2017-03-10,50.43,51.35,50.25,51.35,2204
2017-03-13,50.59,50.79,50.37,50.55,1026
2017-03-14,50.1,50.64,49.8,50.03,3640
2017-03-15,50.47,50.87,50.33,50.52,2407
2017-03-16,50.14,50.6,50.09,50.49,1324
2017-03-17,50.11,50.28,49.96,50.25,1325
2017-03-20,50.04,50.29,49.87,49.99,1800
2017-03-21,49.87,50.48,49.74,50.32,1675
2017-03-22,50.01,50.16,49.4,49.83,1851
2017-03-23,49.76,50.01,49.7,49.91,994
2017-03-24,49.93,50.1,49.72,49.91,702
2017-03-27,49.94,50.02,49.36,49.47,1287
2017-03-28,50.06,50.48,49.95,50.13,1928
2017-03-29,50.63,50.67,50.0,50.0,3812
2017-03-30,51.3,51.36,50.85,50.97,2078
2017-03-31,51.62,51.79,51.2,51.2,2021
2017-04-03,51.74,51.89,51.55,51.79,1455
2017-04-04,52.31,52.47,52.0,52.02,1150
2017-04-05,52.37,52.8,52.05,52.62,3585
2017-04-06,52.72,52.79,52.53,52.64,1304
2017-04-07,53.0,53.0,52.67,52.73,1834
2017-04-10,53.67,53.68,53.26,53.35,2038
2017-04-11,54.01,54.0,53.44,53.7,2445
2017-04-12,54.1,54.25,53.81,54.12,1778
2017-04-13,54.17,54.48,53.86,54.47,2388
2017-04-17,53.87,54.28,53.77,54.2,2309
2017-04-18,53.61,53.97,53.24,53.7,1625
2017-04-19,51.95,53.72,51.66,53.66,2509
2017-04-20,51.91,52.31,51.72,52.0,1322
2017-04-21,51.33,51.88,50.87,51.86,2050
2017-04-24,50.94,51.2,50.84,51.17,845
2017-04-25,50.89,51.07,50.47,50.74,1731
2017-04-26,50.83,51.2,50.46,50.56,1335
2017-04-27,50.16,50.45,49.75,50.05,1971
2017-04-28,50.36,50.69,50.1,50.53,2750
2017-05-01,50.05,50.12,49.77,50.03,1703
2017-05-02,49.0,50.0,48.75,49.92,2399
2017-05-03,49.26,49.45,48.73,49.06,1752
2017-05-04,47.62,48.54,47.3,48.47,2776
2017-05-05,48.53,48.81,47.85,47.85,2000
2017-05-08,48.88,49.05,48.17,48.63,1213
2017-05-09,48.43,48.83,48.07,48.68,1071
2017-05-10,49.46,49.77,48.86,48.86,2310
2017-05-11,49.75,50.01,49.53,49.77,1315
