,close,high,low,open,volume
2017-03-02,97.51,97.55,97.49,97.54,29836
2017-03-03,97.51,97.53,97.455,97.52,31408
2017-03-06,97.53,97.535,97.52,97.53,19134
2017-03-07,97.515,97.525,97.5,97.52,17942
2017-03-08,97.47,97.475,97.44,97.445,21037
2017-03-09,97.405,97.43,97.39,97.425,22893
2017-03-10,97.415,97.435,97.39,97.425,37149
2017-03-13,97.405,97.43,97.375,97.42,42602
2017-03-14,97.4,97.425,97.395,97.4,16110
2017-03-15,97.525,97.55,97.4,97.415,58720
2017-03-16,97.53,97.55,97.505,97.525,27504
2017-03-17,97.54,97.56,97.525,97.525,9357
2017-03-20,97.58,97.59,97.55,97.555,12563
2017-03-21,97.625,97.655,97.575,97.575,37878
2017-03-22,97.675,97.695,97.655,97.675,23790
2017-03-23,97.64,97.675,97.615,97.675,32619
2017-03-24,97.64,97.655,97.61,97.62,20833
2017-03-27,97.685,97.71,97.675,97.705,18369
2017-03-28,97.64,97.695,97.62,97.695,29867
2017-03-29,97.655,97.67,97.645,97.66,22123
2017-03-30,97.615,97.645,97.6,97.64,10535
2017-03-31,97.64,97.65,97.625,97.64,33148
2017-04-03,97.715,97.745,97.665,97.665,31502
2017-04-04,97.73,97.74,97.71,97.735,23756
2017-04-05,97.765,97.8,97.715,97.72,30528
2017-04-06,97.76,97.785,97.74,97.78,28350
2017-04-07,97.72,97.805,97.7,97.785,33781
2017-04-10,97.74,97.765,97.725,97.745,17842
2017-04-11,97.825,97.835,97.78,97.78,24804
2017-04-12,97.825,97.9,97.82,97.825,24317
2017-04-13,97.9,97.91,97.86,97.89,17929
2017-04-17,97.88,97.935,97.875,97.915,23750
2017-04-18,97.965,97.98,97.92,97.935,24777
2017-04-19,97.945,97.945,97.91,97.935,16280
2017-04-20,97.88,97.915,97.875,97.905,26333
2017-04-21,97.885,97.92,97.87,97.895,22870
2017-04-24,97.845,97.855,97.815,97.815,14480
2017-04-25,97.785,97.815,97.765,97.8,22829
2017-04-26,97.81,97.82,97.765,97.775,24163
2017-04-27,97.845,97.86,97.815,97.82,22433
2017-04-28,97.845,97.85,97.805,97.805,15473
2017-05-01,97.81,97.845,97.79,97.825,17935
2017-05-02,97.845,97.85,97.805,97.805,18564
2017-05-03,97.815,97.845,97.8,97.835,22441
2017-05-04,97.78,97.795,97.755,97.76,19159
2017-05-05,97.79,97.8,97.765,97.775,16629
2017-05-08,97.77,97.78,97.755,97.78,15323
2017-05-09,97.74,97.76,97.725,97.745,22854
2017-05-10,97.765,97.8,97.755,97.79,23546
2017-05-11,97.775,97.79,97.755,97.755,14511
2017-05-12,97.86,97.87,97.84,97.84,19428
2017-05-15,97.875,97.875,97.855,97.865,11513
2017-05-16,97.885,97.91,97.87,97.87,13965
2017-05-17,98.0,98.01,97.94,97.95,39574
2017-05-18,97.975,98.01,97.965,97.99,25100
2017-05-19,97.945,97.955,97.93,97.95,17206
2017-05-22,97.935,97.955,97.925,97.94,11127
2017-05-23,97.9,97.96,97.895,97.955,22170
2017-05-24,97.925,97.955,97.885,97.9,21418
2017-05-25,97.94,97.955,97.925,97.94,17479
2017-05-26,97.935,97.945,97.925,97.935,9689
2017-05-30,97.985,97.99,97.955,97.96,23619
