,close,high,low,open,volume
2017-03-02,1.0554,1.0581,1.0548,1.0553,2555
2017-03-03,1.06505,1.0676,1.0595,1.0614,4929
2017-03-06,1.0639,1.066,1.06265,1.0655,4442
2017-03-07,1.0619,1.064,1.0613,1.0619,5969
2017-03-08,1.0599,1.06135,1.0587,1.0609,12414
2017-03-09,1.06425,1.0649,1.06155,1.06435,32394
2017-03-10,1.07415,1.07485,1.06695,1.06815,148968
2017-03-13,1.07085,1.0728,1.07005,1.07125,57586
2017-03-14,1.066,1.0697,1.0649,1.06775,75409
2017-03-15,1.0753,1.07905,1.0662,1.0665,160556
2017-03-16,1.07975,1.08195,1.0757,1.0782,104162
2017-03-17,1.07905,1.08055,1.078,1.07875,72872
2017-03-20,1.0781,1.0809,1.07735,1.0802,61629
2017-03-21,1.08475,1.0868,1.08415,1.0853,107294
2017-03-22,1.0844,1.0872,1.08375,1.08505,96675
2017-03-23,1.08305,1.08395,1.0819,1.0828,68674
2017-03-24,1.08505,1.08625,1.0835,1.0845,66960
2017-03-27,1.0911,1.094,1.0904,1.09395,67591
2017-03-28,1.08505,1.09145,1.0841,1.09085,84882
2017-03-29,1.07995,1.08155,1.07885,1.07935,66366
2017-03-30,1.07285,1.0792,1.071,1.0783,94554
2017-03-31,1.0722,1.07405,1.0689,1.0731,85198
2017-04-03,1.07045,1.07175,1.068,1.07015,69868
2017-04-04,1.07055,1.0714,1.06835,1.06965,55552
2017-04-05,1.07025,1.07175,1.0668,1.0696,83993
2017-04-06,1.0682,1.07,1.0673,1.06955,49108
2017-04-07,1.06235,1.06685,1.0615,1.06535,82951
2017-04-10,1.06295,1.06415,1.06205,1.0622,54911
2017-04-11,1.0642,1.06645,1.0635,1.0647,59871
2017-04-12,1.0627,1.0707,1.06205,1.06365,90092
2017-04-13,1.0654,1.06665,1.0641,1.0663,53293
2017-04-17,1.06745,1.0703,1.0668,1.0678,37772
2017-04-18,1.07625,1.07675,1.07145,1.07245,83505
2017-04-19,1.07505,1.0753,1.07305,1.0751,57749
2017-04-20,1.07495,1.08055,1.07435,1.07945,71611
2017-04-21,1.0724,1.07595,1.07115,1.07315,71883
2017-04-24,1.08865,1.0902,1.08635,1.08975,73861
2017-04-25,1.09675,1.0978,1.0913,1.0914,124251
2017-04-26,1.09255,1.094,1.08835,1.0904,100513
2017-04-27,1.09085,1.09135,1.0877,1.09075,71137
2017-04-28,1.0921,1.0947,1.0909,1.09365,76892
2017-05-01,1.0931,1.09495,1.0922,1.09345,37037
2017-05-02,1.0952,1.0958,1.0913,1.0932,55087
2017-05-03,1.0928,1.09525,1.09065,1.094,75670
2017-05-04,1.1,1.101,1.09475,1.0949,103498
2017-05-05,1.1011,1.10235,1.09905,1.0998,71880
2017-05-08,1.0954,1.09695,1.09375,1.0963,52979
2017-05-09,1.0889,1.09275,1.0884,1.09075,81752
2017-05-10,1.08815,1.0899,1.0873,1.08985,60566
2017-05-11,1.0885,1.08945,1.0877,1.0879,51021
2017-05-12,1.0942,1.0953,1.09315,1.0937,62237
2017-05-15,1.09955,1.1008,1.0984,1.10015,52570
2017-05-16,1.11125,1.1115,1.10815,1.1091,82409
2017-05-17,1.1166,1.118,1.1119,1.11235,106084
2017-05-18,1.112,1.1154,1.10915,1.1131,98096
2017-05-19,1.12205,1.12275,1.1199,1.1204,86778
2017-05-22,1.1251,1.12785,1.12435,1.1259,70397
2017-05-23,1.11985,1.12645,1.11895,1.1251,122042
2017-05-24,1.1212,1.12355,1.1182,1.1198,90087
2017-05-25,1.1216,1.12375,1.121,1.12205,48489
2017-05-26,1.11895,1.11995,1.11735,1.11805,57228
2017-05-30,1.1199,1.12165,1.1183,1.11845,65699
