,close,high,low,open,volume
2017-01-02,3207.0,3206.0,3206.0,3206.0,1
2017-01-03,3218.0,3233.0,3221.0,3222.0,5
2017-01-04,3216.0,3225.0,3205.0,3225.0,9
2017-01-05,3216.0,3221.0,3206.0,3206.0,6
2017-01-06,3225.0,3227.0,3221.0,3221.0,6
2017-01-09,3213.0,3232.0,3203.0,3232.0,6
2017-01-10,3212.0,3218.0,3200.0,3217.0,5
2017-01-11,3210.0,3215.0,3192.0,3198.0,25
2017-01-12,3193.0,3208.0,3185.0,3202.0,26
2017-01-13,3226.0,3229.0,3200.0,3200.0,9
2017-01-16,3201.0,3209.0,3202.0,3209.0,7
2017-01-17,3193.0,3199.0,3174.0,3193.0,15
2017-01-18,3199.0,3204.0,3191.0,3201.0,45
2017-01-19,3192.0,3207.0,3190.0,3205.0,23
2017-01-20,3200.0,3208.0,3194.0,3199.0,19
2017-01-23,3175.0,3196.0,3172.0,3194.0,37
2017-01-24,3185.0,3202.0,3194.0,3195.0,11
2017-01-25,3236.0,3237.0,3205.0,3205.0,22
2017-01-26,3220.0,3247.0,3221.0,3242.0,13
2017-01-27,3208.0,3224.0,3204.0,3224.0,19
2017-01-30,3165.0,3193.0,3170.0,3193.0,16
2017-01-31,3147.0,3174.0,3138.0,3169.0,7
2017-02-01,3162.0,3174.0,3161.0,3161.0,6
2017-02-02,3167.0,3163.0,3155.0,3155.0,4
2017-02-03,3189.0,3179.0,3179.0,3179.0,1
2017-02-06,3152.0,3189.0,3148.0,3187.0,9
2017-02-07,3144.0,3160.0,3146.0,3157.0,4
2017-02-08,3148.0,3154.0,3132.0,3154.0,10
2017-02-09,3192.0,3191.0,3158.0,3165.0,21
2017-02-10,3183.0,3187.0,3177.0,3187.0,18
2017-02-13,3221.0,3224.0,3208.0,3208.0,13
2017-02-14,3221.0,3223.0,3215.0,3215.0,6
2017-02-15,3239.0,3244.0,3226.0,3235.0,19
2017-02-16,3221.0,3230.0,3219.0,3230.0,4
2017-02-17,3214.0,3230.0,3196.0,3217.0,44
