,close,high,low,open,volume
2016-07-25,2.935,2.956,2.915,2.956,2155
2016-07-26,2.909,2.94,2.877,2.892,3028
2016-07-27,2.897,2.941,2.886,2.922,2899
2016-07-28,3.059,3.075,2.909,2.91,9386
2016-07-29,3.076,3.091,3.047,3.062,4715
2016-08-01,2.98,3.06,2.975,3.044,4596
2016-08-02,2.943,2.983,2.938,2.961,3282
2016-08-03,3.034,3.054,2.993,2.997,7171
2016-08-04,3.022,3.067,2.996,3.032,5231
2016-08-05,2.965,2.994,2.948,2.982,2642
2016-08-08,2.943,2.951,2.903,2.919,5138
2016-08-09,2.844,2.906,2.838,2.894,5372
2016-08-10,2.801,2.861,2.796,2.842,5721
2016-08-11,2.792,2.841,2.769,2.801,6739
2016-08-12,2.804,2.848,2.799,2.832,3696
2016-08-15,2.811,2.849,2.792,2.824,4170
2016-08-16,2.833,2.842,2.812,2.819,4568
2016-08-17,2.832,2.854,2.811,2.828,4063
2016-08-18,2.873,2.89,2.819,2.822,5665
2016-08-19,2.781,2.81,2.772,2.8,5509
2016-08-22,2.838,2.862,2.821,2.856,6587
2016-08-23,2.924,2.927,2.86,2.866,6090
2016-08-24,2.967,2.987,2.953,2.957,6160
2016-08-25,3.01,3.029,2.976,2.989,10005
2016-08-26,3.03,3.065,2.99,2.999,10263
2016-08-29,3.011,3.05,2.981,3.02,16709
2016-08-30,2.949,3.035,2.931,3.034,19315
2016-08-31,3.003,3.014,2.953,2.953,14861
2016-09-01,2.908,2.968,2.901,2.948,14947
2016-09-02,2.898,2.932,2.891,2.924,7199
2016-09-06,2.842,2.861,2.827,2.858,11939
2016-09-07,2.811,2.866,2.802,2.859,15933
2016-09-08,2.917,2.932,2.855,2.856,24257
2016-09-09,2.89,2.94,2.88,2.932,14674
2016-09-12,2.986,2.994,2.961,2.966,17353
2016-09-13,2.989,3.006,2.966,3.003,14996
2016-09-14,2.969,3.018,2.938,3.007,22791
2016-09-15,3.002,3.015,2.918,2.939,27901
2016-09-16,3.021,3.035,2.962,2.964,18263
2016-09-19,3.005,3.013,2.976,2.985,17472
2016-09-20,3.109,3.133,3.071,3.077,44761
2016-09-21,3.132,3.145,3.097,3.114,29065
2016-09-22,3.061,3.15,3.052,3.142,45633
2016-09-23,3.013,3.063,2.996,3.06,33720
2016-09-26,3.055,3.076,3.03,3.035,45278
2016-09-27,3.05,3.068,3.032,3.052,56471
2016-09-28,3.002,3.006,2.944,2.968,68977
2016-09-29,2.959,3.02,2.956,2.966,81835
2016-09-30,2.906,2.94,2.892,2.94,76521
2016-10-03,2.923,2.929,2.866,2.884,59484
2016-10-04,2.964,2.99,2.881,2.895,69239
2016-10-05,3.041,3.058,2.931,2.945,96684
2016-10-06,3.049,3.069,2.972,3.041,111351
2016-10-07,3.193,3.218,3.076,3.085,132413
2016-10-10,3.275,3.289,3.217,3.222,80199
2016-10-11,3.237,3.267,3.209,3.222,68169
2016-10-12,3.21,3.26,3.195,3.22,55433
2016-10-13,3.341,3.366,3.164,3.207,131169
2016-10-14,3.285,3.309,3.264,3.299,57226
2016-10-17,3.244,3.257,3.211,3.238,45246
2016-10-18,3.263,3.31,3.253,3.287,43531
2016-10-19,3.17,3.19,3.15,3.177,50875
2016-10-20,3.141,3.178,3.101,3.155,79842
2016-10-21,2.961,3.069,2.955,3.069,74511
