,close,high,low,open,volume
2016-11-21,1.2545,1.2525,1.2525,1.2525,7
2016-11-22,1.2475,1.2481,1.2481,1.2481,1
2016-11-23,1.2503,1.2425,1.2425,1.2425,0
2016-11-25,1.252,1.2531,1.2531,1.2531,0
2016-11-28,1.2476,1.258,1.258,1.258,0
2016-11-29,1.2565,1.2576,1.2554,1.2555,47
2016-11-30,1.2564,1.2564,1.2493,1.2493,4
2016-12-01,1.2641,1.2674,1.2674,1.2674,0
2016-12-02,1.2768,1.2751,1.2751,1.2751,3
2016-12-05,1.2784,1.2757,1.2757,1.2757,0
2016-12-06,1.2737,1.275,1.2738,1.275,2
2016-12-07,1.268,1.265,1.265,1.265,4
2016-12-08,1.2646,1.2635,1.2632,1.2635,2
2016-12-12,1.273,1.275,1.2744,1.2744,14
2016-12-13,1.2722,1.2722,1.2722,1.2722,12
2016-12-14,1.2657,1.2769,1.2635,1.2766,20
2016-12-15,1.2494,1.2503,1.2432,1.248,63
2016-12-16,1.2529,1.2563,1.2486,1.2494,39
2016-12-19,1.2456,1.2478,1.2422,1.2435,28
2016-12-20,1.2424,1.2425,1.2384,1.2384,24
2016-12-21,1.2407,1.2419,1.2413,1.2419,6
2016-12-22,1.2341,1.2372,1.2343,1.2372,26
2016-12-23,1.2328,1.2315,1.2315,1.2315,2
2016-12-27,1.2329,1.231,1.231,1.231,2
2016-12-28,1.2277,1.2286,1.2286,1.2286,1
2016-12-29,1.2304,1.2289,1.2278,1.2288,7
2016-12-30,1.2388,1.243,1.2395,1.2395,14
2017-01-03,1.2284,1.2307,1.2249,1.2287,74
2017-01-04,1.2363,1.2391,1.2324,1.2329,31
2017-01-05,1.2458,1.2477,1.2366,1.2366,33
2017-01-06,1.2325,1.2364,1.232,1.2356,56
2017-01-09,1.221,1.2218,1.2186,1.2186,32
2017-01-10,1.2211,1.2224,1.2203,1.2212,77
2017-01-11,1.2256,1.2312,1.21,1.2162,96
2017-01-12,1.2211,1.233,1.2203,1.2307,31
2017-01-13,1.2232,1.226,1.218,1.2188,22
2017-01-17,1.2443,1.2461,1.2402,1.2406,360
2017-01-18,1.2333,1.2389,1.2302,1.2351,123
2017-01-19,1.2382,1.239,1.2338,1.2364,79
2017-01-20,1.2425,1.2422,1.2344,1.2344,18
2017-01-23,1.2547,1.2583,1.2497,1.25,62
2017-01-24,1.2547,1.2582,1.2509,1.2531,134
2017-01-25,1.2671,1.2682,1.2608,1.2614,236
2017-01-26,1.2653,1.2654,1.2613,1.2621,125
2017-01-27,1.2601,1.2621,1.2568,1.2614,108
2017-01-30,1.2526,1.2563,1.2514,1.2557,87
2017-01-31,1.2622,1.2632,1.2563,1.2568,190
2017-02-01,1.2716,1.2718,1.2654,1.2673,220
2017-02-02,1.2562,1.26,1.2556,1.2594,108
2017-02-03,1.252,1.2555,1.25,1.253,86
2017-02-06,1.2506,1.2511,1.2465,1.2476,73
2017-02-07,1.2555,1.258,1.2409,1.2419,297
2017-02-08,1.2563,1.2582,1.2546,1.256,74
2017-02-09,1.2531,1.2593,1.253,1.2592,151
2017-02-10,1.2518,1.2542,1.2483,1.2486,155
2017-02-13,1.2562,1.2568,1.2517,1.2536,53
2017-02-14,1.2501,1.2519,1.2481,1.2498,74
2017-02-15,1.2482,1.2516,1.2429,1.243,192
2017-02-16,1.2531,1.254,1.2498,1.254,93
2017-02-17,1.2447,1.2476,1.2441,1.2468,68
