,close,high,low,open,volume
2016-12-02,1189.2,1190.5,1190.5,1190.5,8
2016-12-05,1187.8,1179.7,1179.7,1179.7,1
2016-12-06,1181.1,1186.3,1185.3,1186.2,3
2016-12-07,1188.7,1190.5,1189.9,1189.9,2
2016-12-08,1184.1,1184.1,1184.1,1184.1,12
2016-12-09,1173.5,1172.2,1171.7,1171.7,117
2016-12-13,1170.4,1177.1,1177.1,1177.1,0
2016-12-14,1175.1,1163.8,1163.8,1163.8,1
2016-12-15,1141.1,1145.0,1137.5,1137.5,2
2016-12-16,1148.8,1147.3,1147.3,1147.3,0
2016-12-20,1145.0,1145.6,1139.5,1139.5,26
2016-12-21,1144.6,1148.7,1148.7,1148.7,1
2016-12-29,1169.3,1170.1,1158.8,1158.8,129
2016-12-30,1162.8,1169.4,1169.4,1169.4,0
2017-01-03,1173.1,1175.0,1164.2,1164.2,28
2017-01-04,1176.1,1177.4,1177.4,1177.4,0
2017-01-05,1192.1,1195.0,1189.1,1189.2,25
2017-01-06,1184.5,1188.1,1188.1,1188.1,0
2017-01-09,1196.2,1194.4,1194.4,1194.4,1
2017-01-10,1197.1,1201.2,1198.0,1201.2,9
2017-01-11,1208.8,1209.9,1189.7,1189.9,4
2017-01-12,1212.1,1215.5,1215.5,1215.5,0
2017-01-13,1208.3,1203.7,1203.7,1203.7,0
2017-01-17,1225.0,1228.5,1224.0,1228.5,5
2017-01-18,1223.9,1226.6,1224.8,1226.6,19
2017-01-19,1213.1,1213.6,1208.5,1208.5,2
2017-01-20,1216.7,1224.9,1211.6,1211.9,25
2017-01-23,1227.6,1230.2,1223.8,1223.8,12
2017-01-24,1223.0,1224.9,1221.5,1224.9,3
2017-01-25,1210.1,1209.0,1209.0,1209.0,1
2017-01-26,1201.9,1201.6,1197.7,1200.4,15
2017-01-27,1200.6,1201.9,1196.0,1198.2,37
2017-01-30,1205.4,1210.5,1203.3,1203.3,112
2017-01-31,1220.8,1225.5,1220.7,1221.6,23
2017-02-01,1217.5,1221.2,1210.0,1215.0,35
2017-02-02,1228.6,1232.6,1227.0,1232.6,58
2017-02-03,1230.2,1230.3,1229.2,1230.3,5
2017-02-06,1241.6,1245.1,1242.8,1242.8,3
2017-02-07,1245.6,1245.6,1243.8,1244.4,19
2017-02-08,1248.9,1254.2,1249.0,1251.1,32
2017-02-09,1246.2,1254.2,1243.3,1254.0,35
2017-02-10,1245.3,1245.0,1240.6,1241.4,10
2017-02-13,1235.2,1241.1,1241.1,1241.1,0
2017-02-14,1234.9,1242.5,1234.0,1242.5,12
2017-02-15,1242.7,1243.0,1235.3,1236.2,52
2017-02-16,1251.2,1251.9,1247.8,1247.8,14
2017-02-17,1248.6,1253.2,1247.2,1250.9,33
2017-02-21,1248.4,1248.6,1237.7,1237.7,19
2017-02-22,1242.7,1248.0,1242.1,1248.0,16
2017-02-23,1260.7,1260.8,1257.1,1258.4,29
2017-02-24,1267.6,1267.8,1262.4,1267.7,66
2017-02-27,1268.1,1273.8,1261.5,1268.5,36
2017-02-28,1263.2,1267.4,1258.3,1266.5,23
2017-03-01,1259.5,1257.5,1253.8,1253.8,4
