,close,high,low,open,volume
2017-02-13,0.008847,0.008845,0.008815,0.008828,79
2017-02-14,0.008803,0.008856,0.008779,0.008856,366
2017-02-15,0.008797,0.008822,0.008756,0.008756,262
2017-02-16,0.008885,0.008886,0.00884,0.00884,174
2017-02-17,0.008899,0.008913,0.008897,0.008906,282
2017-02-21,0.0088495,0.008863,0.008837,0.008837,120
2017-02-22,0.008885,0.008895,0.008845,0.008888,310
2017-02-23,0.008913,0.008926,0.008907,0.008915,128
2017-02-24,0.008974,0.008976,0.008936,0.008949,297
2017-02-27,0.008906,0.008973,0.008904,0.008953,564
2017-02-28,0.008955,0.008994,0.0089,0.008956,796
2017-03-01,0.008838,0.008855,0.008812,0.008821,1107
2017-03-02,0.008774,0.008794,0.008767,0.008776,1435
2017-03-03,0.008803,0.008826,0.008755,0.00878,2631
2017-03-06,0.008818,0.008836,0.008805,0.008834,2625
2017-03-07,0.008809,0.008821,0.008802,0.008806,5360
2017-03-08,0.008778,0.00879,0.008757,0.00876,11134
2017-03-09,0.008743,0.00876,0.008733,0.008747,15552
2017-03-10,0.008747,0.00876,0.008705,0.008713,77369
2017-03-13,0.00875,0.008767,0.00874,0.008748,31437
2017-03-14,0.008754,0.00877,0.008744,0.008744,49314
2017-03-15,0.008852,0.008875,0.008747,0.008755,121711
2017-03-16,0.008865,0.008887,0.00885,0.008866,61360
2017-03-17,0.008911,0.00892,0.008874,0.008875,57847
2017-03-20,0.008918,0.008926,0.008901,0.008909,34822
2017-03-21,0.008969,0.009,0.008922,0.008922,124736
2017-03-22,0.009049,0.009064,0.009026,0.009035,118873
2017-03-23,0.009034,0.009068,0.009014,0.009063,111799
2017-03-24,0.009058,0.009072,0.009011,0.009026,80947
2017-03-27,0.009075,0.009111,0.009066,0.009107,47642
2017-03-28,0.009033,0.009107,0.009023,0.0091,75088
2017-03-29,0.009035,0.009057,0.009027,0.009045,50879
2017-03-30,0.008988,0.009035,0.008959,0.009026,63189
2017-03-31,0.009012,0.009015,0.008973,0.008988,57162
2017-04-03,0.009038,0.009047,0.008996,0.009004,71404
2017-04-04,0.009062,0.009078,0.009049,0.009064,55612
2017-04-05,0.00904,0.009069,0.008996,0.009004,94033
2017-04-06,0.009054,0.009061,0.009021,0.009051,64040
2017-04-07,0.009021,0.009064,0.009004,0.009042,74372
2017-04-10,0.009036,0.009049,0.009007,0.009015,52684
2017-04-11,0.00914,0.009148,0.009084,0.009088,111634
2017-04-12,0.009137,0.009202,0.009125,0.009148,103624
2017-04-13,0.00919,0.009201,0.009165,0.009182,56135
2017-04-17,0.009215,0.009255,0.009193,0.009236,44745
2017-04-18,0.009246,0.009255,0.009201,0.009223,73790
2017-04-19,0.009221,0.009222,0.009181,0.009198,52576
2017-04-20,0.009168,0.009193,0.009153,0.009174,75159
2017-04-21,0.009177,0.009205,0.009167,0.009186,53660
2017-04-24,0.00913,0.009139,0.009093,0.009093,57447
2017-04-25,0.009021,0.009061,0.009012,0.009049,76249
2017-04-26,0.008996,0.009037,0.008964,0.008988,118470
2017-04-27,0.009007,0.009023,0.008977,0.008987,58270
2017-04-28,0.008994,0.008997,0.008975,0.008976,47063
2017-05-01,0.008957,0.008989,0.008949,0.008968,55095
2017-05-02,0.008943,0.008946,0.008926,0.008929,46666
2017-05-03,0.008894,0.008924,0.008881,0.008915,67397
2017-05-04,0.008908,0.008918,0.008866,0.008869,69967
2017-05-05,0.008893,0.008907,0.008879,0.008898,48055
2017-05-08,0.008859,0.008888,0.008838,0.008883,55258
2017-05-09,0.008763,0.008802,0.008759,0.00878,68815
2017-05-10,0.008757,0.008797,0.008755,0.008793,54905
2017-05-11,0.008793,0.008825,0.008781,0.008788,79102
