,close,high,low,open,volume
2017-03-10,108.9,108.94,108.9,108.94,153
2017-03-13,109.07,109.18,109.01,109.18,1090
2017-03-14,109.07,109.07,109.0,109.02,6570
2017-03-15,109.1,109.1,109.04,109.07,14440
2017-03-16,109.3,109.43,109.24,109.43,27800
2017-03-17,109.41,109.41,109.27,109.28,31675
2017-03-20,109.42,109.47,109.37,109.44,46147
2017-03-21,109.42,109.64,109.41,109.45,100854
2017-03-22,109.48,109.53,109.45,109.47,92618
2017-03-23,109.47,109.49,109.45,109.49,49145
2017-03-24,109.39,109.47,109.39,109.46,55021
2017-03-27,109.52,109.53,109.42,109.43,64150
2017-03-28,109.47,109.54,109.47,109.5,63213
2017-03-29,109.5,109.52,109.44,109.44,71186
2017-03-30,109.49,109.55,109.46,109.53,82547
2017-03-31,109.46,109.54,109.46,109.49,83590
2017-04-03,109.49,109.49,109.43,109.47,75852
2017-04-04,109.54,109.59,109.53,109.55,71765
2017-04-05,109.52,109.55,109.5,109.52,48883
2017-04-06,109.39,109.55,109.35,109.54,104016
2017-04-07,109.37,109.51,109.18,109.43,158844
2017-04-10,109.24,109.35,109.22,109.35,123190
2017-04-11,109.37,109.38,109.24,109.26,118723
2017-04-12,109.4,109.44,109.32,109.41,111711
2017-04-13,109.45,109.52,109.4,109.48,120439
2017-04-14,109.45,109.49,109.39,109.47,77557
2017-04-17,109.45,109.52,109.45,109.5,63486
2017-04-18,109.47,109.47,109.43,109.45,53851
2017-04-19,109.49,109.55,109.49,109.51,68770
2017-04-20,109.49,109.51,109.46,109.48,56202
2017-04-21,109.43,109.47,109.43,109.46,62712
2017-04-24,109.38,109.38,109.32,109.35,69571
2017-04-25,109.43,109.44,109.36,109.41,58739
2017-04-26,109.42,109.42,109.36,109.39,61619
2017-04-27,109.45,109.46,109.39,109.41,50356
2017-04-28,109.44,109.48,109.42,109.48,51112
2017-05-02,109.38,109.43,109.34,109.42,43384
2017-05-04,109.41,109.42,109.34,109.36,47956
2017-05-08,109.35,109.38,109.33,109.38,43348
2017-05-10,109.2,109.32,109.2,109.28,78943
2017-05-11,109.26,109.27,109.19,109.23,99227
2017-05-12,109.33,109.34,109.26,109.29,63098
2017-05-15,109.33,109.44,109.33,109.4,98699
2017-05-16,109.31,109.36,109.3,109.3,75611
2017-05-17,109.44,109.46,109.37,109.38,72955
2017-05-18,109.44,109.54,109.42,109.54,91723
2017-05-19,109.52,109.53,109.45,109.47,104308
2017-05-22,109.44,109.49,109.44,109.48,72844
2017-05-23,109.5,109.5,109.42,109.48,67629
2017-05-24,109.43,109.48,109.42,109.45,68256
2017-05-25,109.47,109.48,109.42,109.46,70953
2017-05-26,109.49,109.51,109.46,109.46,49663
2017-05-29,109.51,109.5,109.45,109.47,35020
2017-05-30,109.57,109.6,109.51,109.52,80307
2017-05-31,109.53,109.61,109.57,109.59,71184
