,close,high,low,open,volume
2017-03-03,0.0008675,0.000868,0.0008625,0.000866,-1
2017-03-06,0.0008655,0.000867,0.0008625,0.0008665,-1
2017-03-07,0.0008685,0.000872,0.000864,0.000865,-1
2017-03-08,0.000865,0.0008745,0.0008645,0.0008685,-1
2017-03-09,0.000862,0.000867,0.000861,0.000866,-1
2017-03-10,0.00087,0.00087,0.0008615,0.000862,-1
2017-03-13,0.000871,0.000874,0.0008685,0.000871,-1
2017-03-14,0.0008695,0.0008725,0.0008685,0.00087,-1
2017-03-15,0.0008855,0.000886,0.000869,0.00087,-1
2017-03-16,0.0008855,0.000888,0.000882,0.000886,-1
2017-03-17,0.000885,0.000886,0.0008815,0.000886,-1
2017-03-20,0.000897,0.0008985,0.000884,0.0008865,-1
2017-03-21,0.0008905,0.0008965,0.0008895,0.0008965,-1
2017-03-22,0.000895,0.000895,0.0008875,0.0008895,-1
2017-03-23,0.0008905,0.000894,0.000889,0.000893,-1
2017-03-24,0.0008945,0.0008975,0.000889,0.0008905,-1
2017-03-27,0.0008995,0.000903,0.000895,0.000895,-1
2017-03-28,0.0008955,0.0009,0.000895,0.0008985,-1
2017-03-29,0.0008995,0.0008995,0.000896,0.000896,-1
2017-03-30,0.000894,0.0008995,0.0008935,0.0008995,-1
2017-03-31,0.000894,0.000896,0.0008915,0.000894,-1
2017-04-03,0.000895,0.0008985,0.000893,0.000896,-1
2017-04-04,0.0008885,0.000895,0.000887,0.000895,-1
2017-04-05,0.000886,0.000891,0.000885,0.00089,-1
2017-04-06,0.0008835,0.000885,0.0008815,0.0008815,-1
2017-04-07,0.000879,0.000884,0.0008775,0.0008835,-1
2017-04-10,0.0008745,0.0008795,0.0008735,0.0008785,-1
2017-04-11,0.0008725,0.000876,0.0008695,0.0008745,-1
2017-04-12,0.000881,0.000881,0.00087,0.000873,-1
2017-04-13,0.00088,0.000888,0.000879,0.0008815,-1
2017-04-17,0.000882,0.0008835,0.000878,0.000881,-1
2017-04-18,0.000875,0.0008825,0.000871,0.0008825,-1
2017-04-19,0.000874,0.000879,0.0008735,0.000875,-1
2017-04-20,0.000878,0.0008805,0.000874,0.000874,-1
2017-04-21,0.000881,0.000882,0.000877,0.000878,-1
2017-04-24,0.0008815,0.0008875,0.0008775,0.000881,-1
2017-04-25,0.000886,0.00089,0.000879,0.0008815,-1
2017-04-26,0.0008825,0.000891,0.000879,0.000887,-1
2017-04-27,0.000883,0.000886,0.0008795,0.000885,-1
2017-04-28,0.000879,0.000885,0.0008765,0.0008835,-1
2017-05-01,0.000879,0.00088,0.000879,0.000879,-1
2017-05-02,0.0008965,0.0008965,0.00088,0.00088,-1
2017-05-03,0.0008815,0.000907,0.0008815,0.0008965,-1
2017-05-04,0.00088,0.0009065,0.0008795,0.0008825,-1
2017-05-05,0.00088,0.00088,0.0008755,0.00088,-1
2017-05-08,0.000882,0.0008945,0.00088,0.00088,-1
2017-05-09,0.0008775,0.0008955,0.0008765,0.000882,-1
2017-05-10,0.000883,0.0008835,0.000878,0.000878,-1
2017-05-11,0.000889,0.0008895,0.0008815,0.000882,-1
2017-05-12,0.00089,0.000891,0.0008845,0.0008895,-1
2017-05-15,0.0008985,0.0008985,0.000887,0.000888,-1
2017-05-16,0.000896,0.0009015,0.000894,0.000894,-1
2017-05-17,0.00089,0.000895,0.00089,0.000895,-1
2017-05-18,0.000885,0.000898,0.0008815,0.0008895,-1
2017-05-19,0.0008945,0.0008955,0.000884,0.000886,-1
2017-05-22,0.000896,0.000897,0.0008745,0.000894,-1
2017-05-23,0.000888,0.000895,0.0008875,0.000894,-1
2017-05-24,0.000893,0.0008995,0.0008865,0.000887,-1
2017-05-25,0.0008925,0.000901,0.0008915,0.000893,-1
2017-05-26,0.0008925,0.0009,0.000891,0.0008915,-1
2017-05-29,0.000891,0.000894,0.0008905,0.000893,-1
2017-05-30,0.000889,0.000891,0.000888,0.0008905,-1
2017-05-31,0.000893,0.0008945,0.00089,0.0008905,-1
