,close,high,low,open,volume
2017-03-02,77.15,77.15,77.15,77.15,3
2017-03-03,76.425,76.45,76.15,76.45,2
2017-03-07,77.15,77.15,76.7,76.7,28
2017-03-08,77.15,77.15,77.1,77.15,32
2017-03-09,77.15,77.15,77.15,77.15,14
2017-03-10,77.15,77.15,76.075,76.675,94
2017-03-13,77.15,77.15,77.15,77.15,47
2017-03-14,77.15,77.15,77.075,77.15,85
2017-03-15,77.0,77.15,77.0,77.15,14
2017-03-16,77.15,77.15,76.875,76.875,6
2017-03-17,76.5,77.025,76.5,77.0,79
2017-03-20,76.5,76.5,76.475,76.5,60
2017-03-21,76.5,77.05,76.5,76.5,6
2017-03-22,76.5,76.5,76.5,76.5,15
2017-03-23,76.475,76.6,75.9,76.425,119
2017-03-27,75.375,75.375,75.35,75.35,2
2017-03-28,74.8,74.9,74.4,74.9,5
2017-03-29,74.3,74.425,74.275,74.3,3
2017-03-30,74.675,74.675,74.15,74.15,5
2017-04-07,75.425,75.425,75.425,75.425,5
2017-04-11,76.475,76.65,76.3,76.5,45
2017-04-12,75.85,76.05,75.85,76.05,11
2017-04-13,76.45,76.45,76.3,76.45,8
2017-04-17,76.2,76.2,76.2,76.2,5
2017-04-18,76.4,76.5,75.75,76.1,30
2017-04-19,76.5,76.5,75.9,76.15,57
2017-04-20,75.95,76.625,75.925,76.5,101
2017-04-21,75.5,75.675,75.225,75.675,170
2017-04-24,75.525,75.975,75.4,75.475,172
2017-04-25,76.725,76.825,76.65,76.65,117
2017-04-26,76.675,77.0,76.65,76.875,107
2017-04-27,77.225,77.225,76.8,76.8,352
2017-04-28,77.6,77.6,76.9,76.9,260
2017-05-01,77.75,78.45,77.5,77.5,387
2017-05-02,77.625,77.75,77.35,77.625,38
2017-05-03,77.575,77.725,77.45,77.725,45
2017-05-04,77.575,77.65,77.35,77.625,88
2017-05-05,77.75,77.75,77.425,77.425,84
2017-05-08,77.85,77.9,77.5,77.525,131
2017-05-09,77.8,77.95,77.75,77.875,90
2017-05-10,77.95,77.975,77.525,77.925,217
2017-05-11,77.4,77.95,77.175,77.775,95
2017-05-12,77.75,77.825,77.525,77.525,28
2017-05-15,77.7,77.925,77.7,77.75,110
2017-05-16,77.8,77.925,77.2,77.2,136
2017-05-17,77.6,77.825,77.425,77.825,93
2017-05-18,77.15,77.35,77.15,77.35,4
2017-05-19,77.175,77.275,77.125,77.175,65
2017-05-22,77.125,77.25,77.0,77.15,38
2017-05-23,77.1,77.175,77.0,77.1,182
2017-05-24,76.775,77.3,76.675,76.8,129
2017-05-25,77.025,77.025,76.675,76.75,70
2017-05-26,76.825,77.05,76.65,77.025,55
2017-05-30,76.95,76.95,76.55,76.675,27
