,close,high,low,open,volume
2016-11-21,97.375,98.0,96.675,97.275,1255
2016-11-22,97.5,97.6,96.825,97.125,889
2016-11-23,97.9,98.0,97.0,97.25,959
2016-11-25,98.35,98.75,97.875,98.0,1162
2016-11-28,98.475,98.7,97.725,98.0,1033
2016-11-29,98.45,98.575,97.775,98.05,1240
2016-11-30,99.35,99.35,98.35,98.475,1572
2016-12-01,98.825,99.725,98.6,99.5,1468
2016-12-02,97.625,98.8,96.9,98.75,1590
2016-12-05,97.45,98.0,97.175,97.525,782
2016-12-06,98.7,99.0,96.9,97.65,976
2016-12-07,98.95,99.0,97.625,98.425,895
2016-12-08,98.1,98.9,97.5,98.65,1200
2016-12-09,98.0,98.1,97.025,97.6,825
2016-12-12,99.05,99.5,97.575,97.975,2168
2016-12-13,99.7,99.75,99.05,99.175,2388
2016-12-14,99.05,99.85,98.7,99.5,1388
2016-12-15,99.3,99.425,98.325,98.725,1121
2016-12-16,99.75,99.925,99.3,99.4,1274
2016-12-19,99.975,100.0,99.35,99.375,1364
2016-12-20,99.825,100.025,99.1,99.75,1517
2016-12-21,100.325,100.4,99.6,99.6,1835
2016-12-22,100.675,100.75,99.925,100.15,1639
2016-12-23,100.675,100.75,99.4,100.375,1075
2016-12-27,100.45,100.75,100.2,100.425,627
2016-12-28,100.775,100.95,100.3,100.35,712
2016-12-29,100.95,101.0,100.175,100.825,1503
2016-12-30,100.725,101.3,99.85,100.9,1890
2017-01-03,100.275,101.05,99.875,100.825,1817
2017-01-04,100.2,100.5,99.85,100.175,1563
2017-01-05,100.175,100.75,99.925,100.3,1143
2017-01-06,100.225,100.275,99.5,99.875,1287
2017-01-09,101.15,101.325,99.55,100.2,2138
2017-01-10,103.325,103.675,101.1,101.125,3407
2017-01-11,103.2,103.575,102.475,102.975,2304
2017-01-12,102.525,102.7,100.9,102.675,2265
2017-01-13,103.675,103.825,101.975,102.1,2040
2017-01-17,104.175,104.25,103.475,103.75,2040
2017-01-18,104.325,104.425,103.65,103.95,2188
2017-01-19,104.7,105.0,103.95,104.2,2120
2017-01-20,104.4,104.65,103.2,104.475,2413
2017-01-23,104.225,104.475,103.8,104.225,1786
2017-01-24,104.1,104.7,103.475,104.175,1863
2017-01-25,103.975,104.5,103.525,103.925,1862
2017-01-26,102.95,103.875,102.4,103.75,1884
2017-01-27,102.55,102.725,102.05,102.625,2394
2017-01-30,100.325,100.9,99.975,100.55,3219
2017-01-31,99.975,100.675,99.85,100.3,2273
2017-02-01,100.225,100.375,99.4,99.65,3894
2017-02-02,101.4,101.55,100.4,100.4,2352
2017-02-03,101.375,101.925,101.025,101.5,2247
2017-02-06,101.5,101.825,100.85,101.475,2094
2017-02-07,102.35,102.4,101.35,101.7,3111
2017-02-08,101.525,102.275,101.275,102.05,2754
2017-02-09,101.75,101.85,100.925,101.65,2697
2017-02-10,101.075,102.3,100.7,101.75,2829
2017-02-13,100.1,100.9,99.95,100.8,3849
2017-02-14,100.725,100.8,99.575,100.1,3223
2017-02-15,100.5,101.1,100.05,100.75,3170
2017-02-16,100.425,100.625,99.75,100.1,2036
2017-02-17,101.35,101.425,100.1,100.35,2684
