,close,high,low,open,volume
2017-02-13,0.04828,0.0484,0.04823,0.04823,10
2017-02-14,0.0484,0.04841,0.04809,0.0482,28
2017-02-15,0.04846,0.04851,0.04819,0.04822,253
2017-02-16,0.04829,0.04842,0.04817,0.0484,20
2017-02-17,0.04808,0.0482,0.04801,0.04802,50
2017-02-21,0.04921,0.04937,0.048,0.048,1367
2017-02-22,0.04951,0.0496,0.0492,0.04926,124
2017-02-23,0.05017,0.05024,0.04991,0.05009,143
2017-02-24,0.04946,0.04988,0.04946,0.04985,82
2017-02-27,0.04942,0.04981,0.04933,0.04981,41
2017-02-28,0.04904,0.04945,0.04897,0.04937,308
2017-03-01,0.04966,0.04994,0.04914,0.04914,948
2017-03-02,0.04926,0.04953,0.04925,0.04948,356
2017-03-03,0.05042,0.05054,0.05014,0.05026,924
2017-03-06,0.05035,0.0507,0.0502,0.05065,1849
2017-03-07,0.05063,0.05073,0.05042,0.05068,2692
2017-03-08,0.05015,0.05039,0.05009,0.05024,3912
2017-03-09,0.04967,0.04998,0.04954,0.04992,9419
2017-03-10,0.05019,0.05039,0.05002,0.0502,25569
2017-03-13,0.05035,0.05042,0.05021,0.05025,14336
2017-03-14,0.05006,0.05028,0.05001,0.05026,21845
2017-03-15,0.05121,0.05138,0.05027,0.05035,61867
2017-03-16,0.05148,0.0518,0.05122,0.05177,26232
2017-03-17,0.05173,0.05174,0.05138,0.05147,22438
2017-03-20,0.05178,0.05199,0.05157,0.05166,21830
2017-03-21,0.05169,0.05204,0.05151,0.05199,29195
2017-03-22,0.05166,0.05188,0.05146,0.05153,23202
2017-03-23,0.05215,0.05219,0.0517,0.0517,30156
2017-03-24,0.05254,0.05268,0.0523,0.05231,26511
2017-03-27,0.0523,0.05252,0.05208,0.05227,25053
2017-03-28,0.05213,0.05251,0.05189,0.05243,26116
2017-03-29,0.05263,0.05285,0.05226,0.05227,24828
2017-03-30,0.0529,0.05308,0.05265,0.0528,36165
2017-03-31,0.05274,0.05285,0.05241,0.0527,25800
2017-04-03,0.05279,0.05294,0.0527,0.05275,23408
2017-04-04,0.05253,0.05258,0.05229,0.05238,28264
2017-04-05,0.05285,0.05289,0.05246,0.05267,27392
2017-04-06,0.05271,0.05284,0.05253,0.05257,20735
2017-04-07,0.05293,0.05312,0.05286,0.05293,22964
2017-04-10,0.05296,0.05303,0.05281,0.05291,15974
2017-04-11,0.05274,0.05291,0.05259,0.05291,37779
2017-04-12,0.05283,0.05338,0.05273,0.05281,29589
2017-04-13,0.05339,0.05349,0.05311,0.05335,19408
2017-04-17,0.05348,0.05354,0.05324,0.05329,19284
2017-04-18,0.05337,0.05366,0.05319,0.05358,27528
2017-04-19,0.0525,0.05296,0.0524,0.05292,55038
2017-04-20,0.05275,0.05279,0.05247,0.05268,19058
2017-04-21,0.05256,0.0527,0.05245,0.05259,15209
2017-04-24,0.05295,0.05329,0.05287,0.05317,24830
2017-04-25,0.05248,0.05256,0.05218,0.05223,28564
2017-04-26,0.05159,0.05222,0.05137,0.05211,57149
2017-04-27,0.05209,0.05219,0.0518,0.05206,26528
2017-04-28,0.05262,0.05274,0.05207,0.05218,25155
2017-05-01,0.05293,0.053,0.05267,0.05273,9772
2017-05-02,0.0528,0.05292,0.05266,0.05281,16465
2017-05-03,0.05276,0.05288,0.05259,0.05275,20153
2017-05-04,0.05207,0.05235,0.05201,0.05229,25357
2017-05-05,0.05235,0.05238,0.05206,0.05217,16572
2017-05-08,0.05183,0.05223,0.0517,0.05221,20569
2017-05-09,0.05176,0.05202,0.05166,0.05172,19371
2017-05-10,0.05221,0.05248,0.05212,0.05221,27257
2017-05-11,0.05267,0.0528,0.0524,0.05254,20469
