,close,high,low,open,volume
2016-12-06,0.7069,0.7108,0.7108,0.7108,0
2016-12-15,0.6999,0.7011,0.7011,0.7011,1
2016-12-16,0.6911,0.6918,0.6918,0.6918,2
2016-12-20,0.6876,0.6855,0.6855,0.6855,0
2016-12-21,0.6867,0.6862,0.6862,0.6862,2
2016-12-22,0.6867,0.6863,0.6863,0.6863,1
2016-12-23,0.6832,0.684,0.6823,0.6829,3
2016-12-29,0.6919,0.689,0.689,0.689,0
2016-12-30,0.6904,0.6922,0.69,0.6922,2
2017-01-03,0.6879,0.6877,0.6877,0.6877,0
2017-01-04,0.691,0.6925,0.6902,0.691,4
2017-01-05,0.6988,0.6987,0.6987,0.6987,2
2017-01-06,0.6931,0.6953,0.6953,0.6953,1
2017-01-09,0.6983,0.6964,0.6964,0.6964,0
2017-01-10,0.6957,0.6974,0.6974,0.6974,1
2017-01-11,0.7018,0.703,0.703,0.703,4
2017-01-12,0.708,0.71,0.71,0.71,1
2017-01-17,0.7177,0.7148,0.7148,0.7148,0
2017-01-18,0.7138,0.7138,0.7108,0.7138,2
2017-01-19,0.7154,0.7141,0.7141,0.7141,0
2017-01-20,0.7145,0.7137,0.7122,0.7122,2
2017-01-23,0.719,0.7193,0.718,0.718,2
2017-01-24,0.7219,0.7241,0.7241,0.7241,1
2017-01-25,0.7228,0.7204,0.7204,0.7204,0
2017-01-26,0.7222,0.7196,0.7196,0.7196,1
2017-01-27,0.7235,0.725,0.7231,0.7248,4
2017-01-30,0.7257,0.7258,0.7254,0.7258,13
2017-01-31,0.7313,0.731,0.728,0.73,10
2017-02-01,0.7254,0.726,0.7222,0.7222,4
2017-02-02,0.7261,0.728,0.728,0.728,0
2017-02-03,0.7281,0.7294,0.7277,0.7294,3
2017-02-06,0.7291,0.7291,0.7289,0.7291,10
2017-02-07,0.7287,0.7281,0.7261,0.7261,5
2017-02-08,0.7267,0.7295,0.7232,0.7295,39
2017-02-09,0.7162,0.7188,0.7148,0.7188,197
2017-02-10,0.7173,0.7182,0.7178,0.7181,3
2017-02-13,0.715,0.715,0.7135,0.7138,3
2017-02-14,0.7139,0.715,0.7111,0.715,32
2017-02-15,0.7193,0.7199,0.7146,0.7146,23
2017-02-16,0.7208,0.7208,0.7188,0.7188,15
2017-02-17,0.7155,0.7165,0.7156,0.7156,8
2017-02-21,0.7142,0.7139,0.713,0.713,3
2017-02-22,0.7163,0.7174,0.7137,0.7137,19
2017-02-23,0.7207,0.7221,0.7201,0.722,10
2017-02-24,0.7169,0.719,0.7184,0.7184,2
2017-02-27,0.7178,0.7203,0.7168,0.7187,13
2017-02-28,0.7188,0.7212,0.7166,0.7185,62
2017-03-01,0.712,0.7146,0.71,0.71,188
