,close,high,low,open,volume
2017-03-03,1005.0,998.9,998.9,998.9,0
2017-03-07,972.0,980.0,980.0,980.0,0
2017-03-08,960.2,959.0,959.0,959.0,1
2017-03-09,948.2,951.2,951.2,951.2,1
2017-03-10,949.1,952.9,952.9,952.9,1
2017-03-14,949.8,951.8,951.8,951.8,3
2017-03-15,948.0,965.0,959.0,959.0,4
2017-03-16,969.4,980.1,980.1,980.1,0
2017-03-21,982.6,989.4,988.1,989.4,2
2017-03-27,980.4,995.0,995.0,995.0,0
2017-03-28,968.8,972.0,965.0,972.0,6
2017-03-29,964.3,964.0,964.0,964.0,1
2017-03-30,963.6,968.0,968.0,968.0,0
2017-03-31,960.1,958.5,958.5,958.5,1
2017-04-04,971.9,971.0,971.0,971.0,1
2017-04-05,966.9,974.3,974.3,974.3,0
2017-04-06,966.3,965.2,965.2,965.2,1
2017-04-07,970.2,975.0,975.0,975.0,0
2017-04-10,948.2,949.5,948.5,949.5,3
2017-04-11,977.4,980.0,974.0,976.5,10
2017-04-12,975.8,982.0,982.0,982.0,1
2017-04-17,999.0,995.0,995.0,995.0,1
2017-04-18,986.1,991.0,988.0,991.0,4
2017-04-19,977.9,981.0,977.0,981.0,6
2017-04-20,988.8,989.8,987.4,989.8,5
2017-04-21,985.4,984.8,983.0,984.8,3
2017-04-24,967.7,971.0,968.3,968.3,4
2017-04-25,965.1,965.0,965.0,965.0,0
2017-04-26,955.7,957.1,957.1,957.1,1
2017-04-27,956.1,956.2,950.0,950.0,3
2017-04-28,955.9,958.0,958.0,958.0,0
2017-05-01,939.7,948.5,940.0,948.3,37
2017-05-02,933.5,933.4,932.8,933.4,5
2017-05-03,911.9,916.0,905.2,916.0,44
2017-05-04,915.0,910.3,910.3,910.3,1
2017-05-05,917.4,919.9,919.9,919.9,1
2017-05-08,926.7,921.9,921.9,921.9,1
2017-05-09,908.0,908.5,908.5,908.5,1
2017-05-10,916.9,917.5,917.5,917.5,0
2017-05-11,924.9,926.4,926.4,926.4,0
2017-05-12,924.7,931.0,931.0,931.0,0
2017-05-15,935.8,944.9,936.2,944.9,4
2017-05-16,943.8,946.5,945.6,946.3,4
2017-05-17,953.2,954.9,952.4,952.4,5
2017-05-18,943.6,942.0,942.0,942.0,1
2017-05-22,956.0,953.0,953.0,953.0,1
2017-05-23,955.3,962.7,953.0,962.7,3
2017-05-24,953.6,957.3,949.0,949.0,4
2017-05-25,959.4,964.0,963.8,964.0,6
2017-05-26,969.3,971.4,969.2,971.4,4
2017-05-30,948.2,949.5,948.0,949.5,5
