,close,high,low,open,volume
2016-12-28,7980.0,7959.0,7959.0,7959.0,1
2016-12-29,7970.0,7997.0,7997.0,7997.0,1
2016-12-30,7988.0,7985.0,7952.0,7952.0,2
2017-01-11,8193.0,8144.0,8107.0,8107.0,2
2017-01-12,8090.0,8138.0,8091.0,8091.0,2
2017-01-16,8096.0,8117.0,8094.0,8117.0,2
2017-01-23,7941.0,7967.0,7934.0,7934.0,4
2017-01-24,7976.0,8007.0,8007.0,8007.0,1
2017-01-25,8099.0,8022.0,8022.0,8022.0,1
2017-01-26,8158.0,8195.0,8174.0,8195.0,10
2017-01-30,8062.0,8041.0,8041.0,8041.0,1
2017-01-31,8033.0,8077.0,8012.0,8077.0,5
2017-02-02,8028.0,8029.0,8004.0,8004.0,4
