,close,high,low,open,volume
2016-11-21,1022.5,1022.75,1012.5,1012.75,79
2016-11-22,1031.0,1032.5,1021.5,1021.5,145
2016-11-23,1032.0,1032.75,1019.75,1021.75,100
2016-11-25,1042.0,1041.5,1031.5,1031.75,273
2016-11-28,1051.25,1054.75,1041.5,1052.25,135
2016-11-29,1040.5,1044.5,1040.5,1040.75,57
2016-11-30,1032.75,1036.0,1032.0,1036.0,13
2016-12-01,1028.5,1030.0,1024.25,1030.0,42
2016-12-02,1029.0,1033.5,1029.5,1032.0,4
2016-12-05,1040.75,1045.25,1039.25,1040.75,139
2016-12-06,1045.0,1055.0,1046.25,1052.0,100
2016-12-07,1049.0,1050.5,1041.25,1046.5,79
2016-12-08,1028.75,1040.0,1032.25,1040.0,11
2016-12-09,1040.5,1040.75,1028.25,1034.0,25
2016-12-12,1036.25,1038.0,1033.0,1038.0,18
2016-12-13,1034.25,1041.0,1035.75,1041.0,17
2016-12-14,1029.25,1032.0,1028.25,1028.75,30
2016-12-15,1031.25,1039.25,1025.5,1027.0,92
2016-12-16,1036.25,1037.25,1026.75,1031.0,138
2016-12-19,1026.5,1029.75,1025.0,1026.75,84
2016-12-20,1011.75,1019.75,1010.5,1016.0,180
2016-12-21,1012.25,1013.0,1011.75,1012.25,22
2016-12-22,1001.5,1010.5,1001.5,1008.25,31
2016-12-23,995.0,999.0,994.5,999.0,35
2016-12-27,1017.75,1017.5,1007.75,1007.75,39
2016-12-28,1011.0,1013.5,1006.5,1013.5,69
2016-12-29,1008.5,1014.75,1007.0,1014.75,167
2016-12-30,1002.25,1013.25,1001.5,1002.25,200
2017-01-03,995.0,999.0,995.25,998.5,61
2017-01-04,1012.25,1011.75,999.25,999.25,111
2017-01-05,1009.5,1009.75,1005.5,1008.75,98
2017-01-06,994.75,1002.0,993.5,1001.0,109
2017-01-09,1006.0,1006.5,995.0,995.0,146
2017-01-10,1013.0,1013.0,1005.5,1005.5,123
2017-01-11,1011.0,1011.25,1000.25,1007.75,50
2017-01-12,1033.0,1033.5,1005.0,1010.5,180
2017-01-13,1037.0,1040.25,1027.5,1029.75,459
2017-01-17,1048.75,1055.25,1046.0,1047.5,862
2017-01-18,1055.0,1058.75,1045.5,1045.75,330
2017-01-19,1053.25,1058.0,1050.5,1052.5,265
2017-01-20,1052.5,1055.0,1048.5,1050.25,104
2017-01-23,1046.5,1049.75,1043.75,1048.5,111
2017-01-24,1047.25,1047.75,1041.5,1045.75,244
2017-01-25,1045.75,1049.25,1042.25,1046.5,113
2017-01-26,1042.5,1046.25,1039.0,1041.0,71
2017-01-27,1043.5,1044.25,1039.75,1040.75,155
2017-01-30,1020.5,1031.0,1018.25,1031.0,73
2017-01-31,1019.5,1022.5,1015.75,1021.75,66
2017-02-01,1031.5,1031.25,1020.25,1020.25,209
2017-02-02,1035.5,1035.25,1029.25,1034.75,88
2017-02-03,1026.75,1033.5,1026.0,1033.5,100
2017-02-06,1034.25,1039.75,1030.5,1035.25,82
2017-02-07,1038.5,1039.75,1030.25,1031.5,73
2017-02-08,1050.25,1051.25,1042.75,1043.25,251
2017-02-09,1045.75,1050.25,1039.25,1047.0,323
2017-02-10,1052.0,1055.5,1050.0,1052.0,274
2017-02-13,1048.5,1054.0,1045.75,1048.0,210
2017-02-14,1042.75,1045.25,1038.25,1043.0,161
2017-02-15,1055.25,1055.0,1040.0,1040.0,192
2017-02-16,1042.0,1055.0,1040.0,1054.0,169
2017-02-17,1033.75,1039.25,1031.75,1035.25,238
