,close,high,low,open,volume
2016-11-21,2177.375,2175.0,2175.0,2175.0,1
2016-11-22,2184.75,2180.0,2178.0,2180.0,2
2016-11-25,2195.875,2193.75,2187.0,2187.0,3
2016-11-28,2185.375,2185.0,2184.0,2185.0,3
2016-11-30,2183.125,2198.25,2190.0,2198.25,6
2016-12-01,2176.25,2177.0,2177.0,2177.0,1
2016-12-05,2188.25,2189.75,2189.75,2189.75,1
2016-12-06,2194.0,2192.0,2192.0,2192.0,2
2016-12-07,2220.75,2221.25,2199.0,2199.0,13
2016-12-08,2231.75,2235.5,2232.5,2232.5,3
2016-12-09,2244.125,2235.0,2235.0,2235.0,2
2016-12-12,2239.875,2240.0,2240.0,2240.0,2
2016-12-13,2257.25,2260.0,2253.25,2253.25,13
2016-12-14,2242.25,2253.5,2241.0,2253.5,12
2016-12-15,2249.0,2253.25,2253.25,2253.25,1
2016-12-16,2245.5,2251.5,2242.0,2251.5,6
2016-12-19,2250.375,2251.25,2249.75,2250.75,4
2016-12-20,2256.75,2257.0,2257.0,2257.0,1
2016-12-21,2250.75,2250.25,2248.75,2250.25,3
2016-12-22,2248.875,2247.75,2244.75,2247.75,8
2016-12-28,2235.375,2240.25,2234.5,2240.25,6
2016-12-29,2235.125,2235.25,2232.5,2232.5,2
2016-12-30,2226.125,2233.25,2222.5,2233.25,11
2017-01-03,2242.5,2247.5,2230.75,2247.5,6
2017-01-04,2254.125,2254.75,2249.5,2250.0,10
2017-01-05,2254.125,2252.25,2245.0,2252.0,20
2017-01-06,2261.25,2264.5,2249.5,2252.0,12
2017-01-09,2254.75,2257.0,2254.0,2257.0,4
2017-01-10,2253.25,2259.25,2252.5,2252.5,4
2017-01-11,2260.125,2258.5,2244.5,2258.0,14
2017-01-12,2252.875,2251.5,2241.25,2242.5,7
2017-01-13,2262.0,2261.5,2257.0,2258.75,19
2017-01-17,2252.25,2250.0,2248.75,2250.0,2
2017-01-18,2256.25,2257.25,2257.25,2257.25,0
2017-01-19,2251.5,2250.25,2245.0,2250.25,8
2017-01-20,2255.75,2261.75,2251.5,2258.25,23
2017-01-23,2251.875,2251.5,2244.5,2251.0,30
2017-01-24,2264.5,2270.25,2255.0,2255.0,61
2017-01-25,2284.25,2285.25,2275.0,2276.0,46
2017-01-26,2284.5,2285.0,2280.5,2282.5,10
2017-01-27,2279.75,2280.0,2280.0,2280.0,1
2017-01-30,2266.625,2270.0,2255.0,2270.0,42
2017-01-31,2265.0,2266.75,2254.5,2255.5,29
2017-02-01,2264.75,2275.0,2259.5,2272.75,13
2017-02-02,2265.75,2269.0,2261.25,2265.0,7
2017-02-03,2281.25,2284.0,2278.5,2280.0,151
2017-02-06,2276.75,2280.75,2275.5,2278.0,13
2017-02-07,2278.75,2284.0,2277.25,2281.5,17
2017-02-08,2280.5,2272.5,2272.5,2272.5,2
2017-02-09,2294.75,2298.0,2285.75,2285.75,60
2017-02-10,2303.25,2303.75,2300.0,2300.75,9
2017-02-13,2317.0,2318.0,2311.25,2311.25,33
2017-02-14,2327.875,2326.25,2313.0,2313.0,20
2017-02-15,2341.625,2342.5,2325.0,2325.0,32
2017-02-16,2337.125,2338.75,2328.5,2336.5,23
2017-02-17,2339.5,2340.25,2330.0,2331.25,28
