,close,high,low,open,volume
2017-01-03,117.546875,117.6015625,117.25,117.359375,528648
2017-01-04,117.53125,117.640625,117.4296875,117.4921875,368774
2017-01-05,117.9453125,118.1015625,117.703125,117.765625,632578
2017-01-06,117.640625,117.8125,117.5859375,117.7109375,359349
2017-01-09,117.8515625,117.8828125,117.7421875,117.8125,259296
2017-01-10,117.8515625,117.9375,117.828125,117.8515625,298180
2017-01-11,117.859375,118.1171875,117.7265625,117.890625,559248
2017-01-12,117.90625,118.1484375,117.8984375,118.015625,438930
2017-01-13,117.84375,117.890625,117.578125,117.796875,440110
2017-01-17,118.15625,118.2265625,118.0390625,118.1875,346233
2017-01-18,117.859375,118.046875,117.578125,117.9921875,448431
2017-01-19,117.5546875,117.5625,117.3671875,117.453125,518149
2017-01-20,117.6796875,117.7265625,117.4296875,117.4921875,549611
2017-01-23,118.03125,118.1328125,117.7109375,117.8125,508469
2017-01-24,117.6875,117.9375,117.671875,117.859375,386836
2017-01-25,117.4765625,117.6015625,117.4296875,117.5390625,449120
2017-01-26,117.6171875,117.6484375,117.3671875,117.4921875,380766
2017-01-27,117.7265625,117.734375,117.625,117.6796875,274802
2017-01-30,117.75,117.84375,117.671875,117.7421875,383851
2017-01-31,117.8671875,117.9765625,117.7578125,117.7734375,718098
2017-02-01,117.7890625,117.84375,117.4765625,117.5625,594101
2017-02-02,117.8203125,117.9921875,117.78125,117.9375,374978
2017-02-03,117.765625,118.1015625,117.7265625,117.984375,540755
2017-02-06,118.15625,118.2109375,117.9765625,118.078125,382904
2017-02-07,118.1953125,118.3359375,118.0546875,118.125,412629
2017-02-08,118.34375,118.4453125,118.2421875,118.328125,599767
2017-02-09,118.078125,118.3359375,118.0390625,118.3046875,524463
2017-02-10,117.9921875,118.078125,117.9296875,117.9453125,407599
2017-02-13,117.8828125,117.9140625,117.796875,117.875,255527
2017-02-14,117.6328125,117.890625,117.484375,117.8828125,639591
2017-02-15,117.453125,117.5234375,117.390625,117.421875,440009
2017-02-16,117.75,117.8125,117.546875,117.5703125,471728
2017-02-17,117.921875,117.9921875,117.890625,117.9453125,239962
2017-02-21,117.90625,117.953125,117.7578125,117.7734375,370807
2017-02-22,117.9375,118.0234375,117.7109375,118.015625,696263
2017-02-23,118.140625,118.21875,118.0859375,118.109375,493355
2017-02-24,118.4921875,118.5078125,118.3203125,118.3984375,393269
2017-02-27,118.15625,118.390625,118.1328125,118.3671875,306734
2017-02-28,118.0703125,118.2578125,117.71875,118.1875,132359
2017-03-01,117.5234375,117.59375,117.4921875,117.5234375,23679
2017-03-02,117.3359375,117.4375,117.2578125,117.421875,21465
2017-03-03,117.421875,117.453125,117.21875,117.3671875,10383
2017-03-06,117.4375,117.4765625,117.3671875,117.4765625,3172
2017-03-07,117.3203125,117.3828125,117.28125,117.359375,1531
2017-03-08,117.171875,117.1796875,117.0625,117.078125,3100
2017-03-09,117.0234375,117.1171875,116.96875,117.1171875,338
2017-03-10,117.1171875,117.171875,117.0625,117.109375,139
2017-03-13,117.03125,117.109375,117.0234375,117.078125,467
2017-03-14,117.0625,117.125,117.0546875,117.0703125,490
2017-03-15,117.5625,117.6015625,117.03125,117.1015625,511
2017-03-16,117.4921875,117.53125,117.421875,117.484375,385
2017-03-17,117.5546875,117.59375,117.5078125,117.5078125,258
2017-03-20,117.6953125,117.734375,117.6015625,117.6328125,525
2017-03-21,117.84375,117.9375,117.734375,117.734375,134
2017-03-22,118.0078125,118.09375,117.96875,118.0859375,22
2017-03-23,117.9765625,118.0,117.9375,118.0,25
2017-03-24,118.0234375,117.984375,117.9296875,117.9765625,70
2017-03-27,118.109375,118.1328125,118.0703125,118.1328125,146
2017-03-29,118.046875,118.046875,118.046875,118.046875,69
2017-03-30,117.953125,117.921875,117.921875,117.921875,1
2017-03-31,118.078125,118.09375,118.078125,118.09375,80
