,close,high,low,open,volume
2016-12-27,22.8,23.2,22.75,23.0,1301
2016-12-28,23.0,23.2,22.85,22.85,2859
2016-12-29,23.3,23.5,23.05,23.1,2338
2016-12-30,23.25,23.55,23.2,23.4,885
2017-01-02,22.9,23.3,22.85,23.3,382
2017-01-03,22.6,23.05,22.55,22.8,3032
2017-01-04,22.15,22.55,22.0,22.5,7476
2017-01-05,21.8,22.1,21.7,22.1,7437
2017-01-06,21.3,21.75,21.3,21.7,7663
2017-01-09,21.3,21.6,21.25,21.4,6104
2017-01-10,21.0,21.3,20.95,21.2,3078
2017-01-11,21.0,21.3,20.75,21.1,8916
2017-01-12,21.15,21.4,20.85,21.0,2917
2017-01-13,20.65,20.95,20.6,20.95,5605
2017-01-16,20.4,20.8,20.3,20.75,3179
2017-01-17,20.55,20.8,20.25,20.55,8487
2017-01-18,19.95,20.55,19.9,20.4,7224
2017-01-19,19.65,20.15,19.5,20.15,8166
2017-01-20,19.55,19.75,19.4,19.75,7930
2017-01-23,19.75,20.0,19.55,19.8,7288
2017-01-24,19.25,19.75,19.0,19.7,10737
2017-01-25,18.65,19.0,18.55,19.0,9829
2017-01-26,18.55,18.65,18.4,18.5,8776
2017-01-27,18.95,19.0,18.45,18.45,6496
2017-01-30,19.45,19.55,18.9,18.9,6334
2017-01-31,19.5,19.6,19.05,19.25,5674
2017-02-01,18.95,19.2,18.75,19.0,7916
2017-02-02,18.5,19.05,18.45,18.95,14014
2017-02-03,17.9,18.55,17.9,18.55,12216
2017-02-06,18.2,18.45,17.75,18.0,13499
2017-02-07,18.65,18.75,18.15,18.25,15694
2017-02-08,18.8,19.2,18.45,18.6,18843
2017-02-09,18.0,18.7,17.95,18.7,11825
2017-02-10,17.9,18.05,17.6,17.9,10230
2017-02-13,17.25,17.75,17.05,17.6,17939
2017-02-14,17.3,17.5,17.1,17.1,14660
2017-02-15,17.0,17.25,16.7,16.95,16717
2017-02-16,17.5,17.55,16.8,17.05,14380
2017-02-17,17.45,17.85,17.25,17.3,9864
2017-02-20,17.2,17.35,17.1,17.35,6739
2017-02-21,16.8,17.5,16.65,17.35,11609
2017-02-22,17.0,17.3,16.65,16.9,21015
2017-02-23,17.5,17.55,16.95,17.1,16580
2017-02-24,17.55,18.35,17.35,17.35,15620
2017-02-27,17.25,17.6,17.15,17.35,11195
2017-02-28,17.15,17.45,17.1,17.35,5419
2017-03-01,16.55,16.85,16.2,16.85,16475
2017-03-02,16.65,16.85,16.5,16.7,11265
2017-03-03,16.4,16.9,16.2,16.9,27278
2017-03-06,16.35,16.55,16.2,16.5,12868
2017-03-07,16.25,16.5,15.95,16.4,19184
2017-03-08,15.75,16.3,15.6,16.15,25252
2017-03-09,16.0,16.2,15.75,16.0,22824
2017-03-10,16.2,16.3,15.8,15.9,18608
2017-03-13,15.85,16.3,15.75,16.15,11043
2017-03-14,16.15,16.4,15.8,15.85,21050
2017-03-15,15.7,16.1,15.45,15.95,14177
2017-03-16,14.8,15.45,14.55,15.2,29334
2017-03-17,14.05,14.75,13.95,14.65,29588
2017-03-20,13.85,14.25,13.6,14.1,33382
2017-03-21,13.9,14.2,13.0,13.55,30995
2017-03-22,14.25,15.25,14.1,14.1,6197
