,close,high,low,open,volume
2016-12-23,17.275,17.35,17.15,17.25,2531
2016-12-27,17.075,17.2,17.0,17.15,2800
2016-12-28,17.325,17.35,16.95,17.05,6330
2016-12-29,17.425,17.6,17.25,17.3,4876
2016-12-30,17.6,17.8,17.35,17.35,5543
2017-01-03,16.825,17.3,16.8,17.3,7223
2017-01-04,16.275,16.75,16.05,16.7,11971
2017-01-05,16.175,16.5,16.15,16.3,7356
2017-01-06,16.025,16.1,15.75,16.0,10982
2017-01-09,15.875,16.1,15.75,16.0,6377
2017-01-10,15.775,16.0,15.65,15.75,9494
2017-01-11,15.625,16.1,15.6,15.8,13338
2017-01-12,15.725,16.2,15.65,15.7,16398
2017-01-13,15.725,15.9,15.5,15.65,10675
2017-01-17,15.725,16.0,15.7,15.95,14673
2017-01-18,15.625,15.8,15.4,15.7,23914
2017-01-19,15.575,15.8,15.45,15.5,23130
2017-01-20,15.225,15.55,15.1,15.5,26399
2017-01-23,14.975,15.45,14.9,15.2,25915
2017-01-24,14.375,14.85,14.25,14.85,29882
2017-01-25,14.175,14.25,14.05,14.2,16990
2017-01-26,14.125,14.3,14.05,14.15,17132
2017-01-27,14.125,14.3,14.0,14.15,23966
2017-01-30,14.325,14.9,14.3,14.35,38076
2017-01-31,14.325,14.7,14.25,14.5,33398
2017-02-01,13.975,14.25,13.9,14.05,37783
2017-02-02,14.175,14.3,14.0,14.1,31555
2017-02-03,13.925,14.05,13.8,13.95,23065
2017-02-06,13.975,14.1,13.85,14.0,25347
2017-02-07,13.975,14.1,13.9,13.9,30571
2017-02-08,13.975,14.25,13.85,14.0,35823
2017-02-09,13.675,13.9,13.55,13.85,33269
2017-02-10,13.375,13.6,13.3,13.55,39515
2017-02-13,13.075,13.3,12.95,13.3,36838
2017-02-14,12.3,13.1,12.3,13.05,62208
2017-02-15,12.875,12.95,12.4,12.5,111073
2017-02-16,12.975,13.7,12.9,12.9,118253
2017-02-17,13.125,13.35,12.95,13.3,84456
2017-02-21,13.2,13.25,12.75,12.8,53567
2017-02-22,13.225,13.45,13.0,13.25,54751
2017-02-23,13.525,13.75,13.2,13.25,70387
2017-02-24,13.325,14.1,13.15,14.0,70079
2017-02-27,13.275,13.4,12.85,13.25,45987
2017-02-28,13.525,13.65,13.2,13.3,68214
2017-03-01,13.275,13.35,12.75,12.9,72656
2017-03-02,13.275,13.5,12.95,13.3,83515
2017-03-03,12.825,13.15,12.8,13.1,67265
2017-03-06,12.675,12.9,12.55,12.85,43287
2017-03-07,12.625,12.8,12.3,12.65,66486
2017-03-08,12.675,12.8,12.25,12.45,62345
2017-03-09,12.775,12.95,12.45,12.6,68498
2017-03-10,12.525,12.8,12.4,12.65,61056
2017-03-13,12.125,12.55,12.1,12.45,42979
2017-03-14,12.625,12.8,12.2,12.3,84505
2017-03-15,12.275,12.6,11.9,12.5,72593
2017-03-16,11.925,12.15,11.9,12.0,70443
2017-03-17,11.775,11.9,11.5,11.85,73929
2017-03-20,11.625,11.85,11.55,11.7,62057
2017-03-21,12.175,12.55,11.2,11.35,105122
2017-03-22,12.15,12.15,12.15,12.15,0
