,close,high,low,open,volume
2016-11-21,546.25,544.0,544.0,544.0,17
2016-11-23,542.0,544.0,544.0,544.0,9
2016-11-25,540.25,544.0,544.0,544.0,42
2016-11-28,538.25,540.0,540.0,540.0,5
2016-11-29,535.25,535.75,531.75,535.75,24
2016-11-30,533.75,536.0,535.0,536.0,38
2016-12-01,526.5,534.0,534.0,534.0,3
2016-12-06,526.5,529.0,529.0,529.0,2
2016-12-07,518.75,524.25,518.0,524.25,11
2016-12-15,513.5,514.0,514.0,514.0,2
2016-12-19,513.0,505.0,505.0,505.0,1
2016-12-23,506.25,507.0,505.0,507.0,3
2016-12-30,516.0,517.0,517.0,517.0,1
2017-01-04,519.0,515.0,515.0,515.0,0
2017-01-06,521.0,517.5,516.0,517.5,3
2017-01-09,524.5,523.75,523.75,523.75,1
2017-01-10,525.0,523.5,521.75,523.5,11
2017-01-13,529.0,529.0,525.0,525.0,11
2017-01-17,537.25,532.0,532.0,532.0,1
2017-01-30,525.75,525.0,525.0,525.0,5
2017-01-31,528.0,525.5,525.0,525.0,2
2017-02-01,535.75,535.0,535.0,535.0,1
2017-02-02,536.0,535.0,535.0,535.0,0
2017-02-06,525.25,530.5,530.5,530.5,1
2017-02-07,527.5,528.0,527.5,528.0,6
2017-02-10,542.25,540.0,540.0,540.0,16
2017-02-13,545.0,545.0,543.0,544.0,6
2017-02-14,544.75,543.75,543.75,543.75,6
2017-02-15,548.25,548.5,545.5,545.5,3
2017-02-16,546.5,551.0,543.75,549.5,28
2017-02-17,543.25,543.0,543.0,543.0,5
