Date,Settle,Open,High,Low,Volume,Interest
2017-01-23,478.95,0.0,,,,
2017-01-24,479.25,0.0,0.0,0.0,0.0,
2017-01-25,484.2,0.0,0.0,0.0,0.0,
2017-01-26,482.55,484.45,484.45,484.45,2.0,
2017-01-27,482.05,0.0,0.0,0.0,0.0,2.0
2017-01-30,475.65,0.0,0.0,0.0,0.0,2.0
2017-01-31,472.9,0.0,0.0,0.0,0.0,2.0
2017-02-01,475.85,0.0,0.0,0.0,0.0,2.0
2017-02-02,478.4,0.0,0.0,0.0,0.0,2.0
2017-02-03,482.15,483.6,483.6,483.0,4.0,2.0
2017-02-06,478.2,481.6,481.6,481.6,1.0,4.0
2017-02-07,480.5,0.0,0.0,0.0,0.0,5.0
2017-02-08,479.7,481.5,481.5,481.5,1.0,5.0
2017-02-09,485.2,482.0,485.85,482.0,4.0,6.0
2017-02-10,486.25,0.0,0.0,0.0,0.0,9.0
2017-02-13,490.75,0.0,0.0,0.0,0.0,9.0
2017-02-14,491.3,0.0,0.0,0.0,0.0,9.0
2017-02-15,493.3,0.0,0.0,0.0,0.0,9.0
2017-02-16,492.0,493.9,493.9,491.95,2.0,9.0
2017-02-17,496.95,490.0,500.35,488.4,16.0,9.0
2017-02-20,493.6,494.25,494.25,492.5,9.0,10.0
