Date,Settle,Open,High,Low,Volume,Prev. Day Open Interest
2016-12-09,158.83,0.0,0.0,0.0,0.0,0.0
2016-12-12,157.97,0.0,0.0,0.0,0.0,0.0
2016-12-13,158.54,0.0,0.0,0.0,0.0,0.0
2016-12-14,159.29,0.0,0.0,0.0,0.0,0.0
2016-12-15,158.42,0.0,0.0,0.0,0.0,0.0
2016-12-16,159.03,0.0,0.0,0.0,0.0,0.0
2016-12-19,159.97,0.0,0.0,0.0,0.0,0.0
2016-12-20,159.86,0.0,0.0,0.0,0.0,0.0
2016-12-21,160.09,0.0,0.0,0.0,0.0,0.0
2016-12-22,159.99,0.0,0.0,0.0,0.0,0.0
2016-12-23,160.48,0.0,0.0,0.0,0.0,0.0
2016-12-27,160.98,0.0,0.0,0.0,0.0,0.0
2016-12-28,160.88,0.0,0.0,0.0,0.0,0.0
2016-12-29,161.4,0.0,0.0,0.0,0.0,0.0
2016-12-30,160.96,0.0,0.0,0.0,0.0,0.0
2017-01-02,161.25,0.0,0.0,0.0,0.0,0.0
2017-01-03,159.96,0.0,0.0,0.0,0.0,0.0
2017-01-04,159.96,0.0,0.0,0.0,0.0,0.0
2017-01-05,160.29,0.0,0.0,0.0,0.0,0.0
2017-01-06,159.62,0.0,0.0,0.0,0.0,0.0
2017-01-09,160.3,0.0,0.0,0.0,594.0,594.0
2017-01-10,160.82,159.11,159.11,159.1,895.0,1489.0
2017-01-11,161.82,161.51,161.85,161.51,303.0,1789.0
2017-01-12,162.23,161.25,161.25,161.25,1.0,1785.0
2017-01-13,161.75,162.19,162.19,161.63,4.0,1786.0
2017-01-16,161.95,0.0,0.0,0.0,0.0,1786.0
2017-01-17,162.29,162.52,162.77,162.52,8.0,1792.0
2017-01-18,161.81,0.0,0.0,0.0,0.0,1782.0
2017-01-19,161.42,0.0,0.0,0.0,0.0,1782.0
2017-01-20,160.68,160.84,160.84,160.84,338.0,2120.0
2017-01-23,161.52,0.0,0.0,0.0,0.0,2096.0
2017-01-24,161.15,0.0,0.0,0.0,1783.0,3879.0
2017-01-25,160.15,0.0,0.0,0.0,0.0,3879.0
2017-01-26,159.82,159.9,159.9,159.83,1191.0,5070.0
2017-01-27,160.14,160.02,160.02,160.02,2.0,5072.0
2017-01-30,160.44,160.07,160.4,160.07,5.0,5075.0
2017-01-31,160.5,160.48,160.48,160.47,151.0,5226.0
2017-02-01,159.91,159.95,159.95,159.95,1.0,0.0
2017-02-02,160.74,160.65,160.65,160.65,1.0,5226.0
2017-02-03,160.86,160.77,160.82,160.77,2.0,5228.0
2017-02-06,161.52,0.0,0.0,0.0,0.0,5228.0
2017-02-07,161.71,161.8,161.97,161.42,14.0,5240.0
2017-02-08,162.54,162.4,162.6,162.4,32.0,5272.0
2017-02-09,162.56,162.46,162.65,162.44,12.0,5273.0
2017-02-10,162.24,162.35,162.37,162.3,3.0,5276.0
2017-02-13,162.07,0.0,0.0,0.0,0.0,5276.0
2017-02-14,161.73,162.0,162.0,161.69,8.0,5277.0
2017-02-15,161.54,161.7,161.7,161.54,44.0,5310.0
2017-02-16,162.02,162.01,162.01,162.01,1.0,5302.0
2017-02-17,162.61,161.92,162.58,161.92,2.0,5304.0
2017-02-20,162.76,162.57,162.75,162.57,4.0,5307.0
2017-02-21,162.59,162.36,162.36,162.36,2.0,5308.0
2017-02-22,163.25,162.6,163.61,162.6,54.0,5354.0
2017-02-23,163.9,163.6,163.91,163.6,49.0,5383.0
2017-02-24,164.47,163.9,164.59,163.9,818.0,6124.0
2017-02-27,164.25,164.35,164.44,164.15,367.0,6140.0
2017-02-28,164.23,164.06,164.32,164.06,124.0,6141.0
2017-03-01,163.04,163.94,163.94,162.98,633.0,6604.0
2017-03-02,162.7,162.85,162.85,162.55,551.0,6832.0
2017-03-03,162.04,162.72,162.86,161.95,400.0,6976.0
2017-03-06,162.15,162.17,162.5,162.1,224.0,7160.0
2017-03-07,162.7,162.17,162.75,162.15,280.0,7368.0
2017-03-08,161.86,163.0,163.0,161.87,300.0,7427.0
2017-03-09,161.35,161.98,162.0,160.95,386.0,7723.0
2017-03-10,160.38,160.89,161.05,160.3,71.0,7651.0
2017-03-13,160.56,160.45,161.0,160.35,43.0,7649.0
2017-03-14,160.96,160.36,161.01,160.17,237.0,7865.0
2017-03-15,161.55,160.87,161.94,160.87,1871.0,9663.0
2017-03-16,161.17,161.85,161.85,160.61,2466.0,11956.0
2017-03-17,161.28,160.72,161.3,160.5,145.0,12053.0
2017-03-20,161.23,161.1,161.32,160.79,91.0,12117.0
2017-03-21,161.01,160.96,161.29,160.6,331.0,12388.0
2017-03-22,161.72,161.27,161.78,161.1,32.0,12273.0
2017-03-23,161.57,161.78,162.0,161.48,1885.0,14100.0
2017-03-24,161.78,161.41,161.88,161.31,1000.0,15062.0
2017-03-27,161.86,162.0,162.51,161.87,2572.0,17582.0
2017-03-28,162.23,161.85,162.35,161.85,714.0,18145.0
2017-03-29,162.86,161.84,162.92,161.84,1305.0,19413.0
2017-03-30,163.18,162.99,163.25,162.97,3453.0,22727.0
2017-03-31,163.17,163.06,163.29,162.98,4282.0,26958.0
2017-04-03,163.91,163.19,163.98,163.1,1620.0,27320.0
2017-04-04,164.39,164.0,164.56,164.0,5324.0,32508.0
2017-04-05,164.26,164.33,164.54,163.93,3406.0,35741.0
2017-04-06,164.25,164.47,164.53,164.16,3803.0,39414.0
2017-04-07,164.75,164.61,164.91,164.4,4374.0,43729.0
2017-04-10,164.87,164.57,165.18,164.57,6516.0,48246.0
2017-04-11,165.11,165.15,165.23,164.79,21746.0,69108.0
2017-04-12,165.15,165.23,165.42,164.9,5234.0,73879.0
2017-04-13,165.49,165.5,165.75,165.34,3211.0,74537.0
2017-04-18,165.64,165.62,165.93,165.28,4718.0,78132.0
2017-04-19,165.19,165.65,165.73,165.13,32251.0,106434.0
2017-04-20,164.63,165.28,165.33,164.42,4531.0,93001.0
2017-04-21,164.63,164.64,164.82,164.38,4156.0,95459.0
2017-04-24,163.1,163.08,163.38,162.71,6532.0,99091.0
2017-04-25,162.7,163.16,163.16,162.39,5374.0,103992.0
2017-04-26,163.04,162.44,163.1,162.44,13446.0,113877.0
2017-04-27,163.81,162.9,163.89,162.79,7120.0,118658.0
2017-04-28,163.57,163.7,163.7,163.04,15275.0,131995.0
2017-05-02,163.49,162.83,163.6,162.83,10364.0,0.0
2017-05-03,163.49,163.51,163.73,163.34,9043.0,140384.0
2017-05-04,162.62,163.21,163.23,162.48,9612.0,140332.0
2017-05-05,162.13,162.71,162.91,162.05,22612.0,160892.0
2017-05-08,162.11,161.84,162.61,161.84,37634.0,180661.0
2017-05-09,161.96,162.09,162.09,161.76,18438.0,180040.0
2017-05-10,162.3,161.9,162.54,161.9,12620.0,176685.0
2017-05-11,162.12,162.01,162.25,161.68,16188.0,184413.0
2017-05-12,162.64,162.22,162.76,162.16,17049.0,188788.0
2017-05-15,162.25,162.63,162.63,162.2,31090.0,208321.0
2017-05-16,162.22,162.32,162.33,161.88,18990.0,212126.0
2017-05-17,162.87,162.31,163.4,162.23,44525.0,242260.0
2017-05-18,163.38,163.1,163.89,162.92,32489.0,250660.0
2017-05-19,163.13,163.28,163.38,163.0,10956.0,240637.0
2017-05-22,162.82,163.04,163.27,162.6,27179.0,256451.0
2017-05-23,162.71,162.92,163.15,162.39,48004.0,280305.0
2017-05-24,162.67,162.63,162.98,162.52,45580.0,307217.0
2017-05-25,163.22,162.96,163.35,162.93,61598.0,342169.0
2017-05-26,163.74,163.41,163.84,163.26,99975.0,375359.0
2017-05-29,164.25,163.71,164.27,163.6,33695.0,354987.0
2017-05-30,164.31,164.25,164.4,164.03,118510.0,426062.0
