Date,Settle,Open,High,Low,Volume,Interest
2017-01-23,4799.5,0.0,,,,
2017-01-24,4808.5,0.0,0.0,0.0,0.0,
2017-01-25,4856.5,0.0,0.0,0.0,0.0,
2017-01-26,4846.0,0.0,0.0,0.0,0.0,
2017-01-27,4819.5,0.0,0.0,0.0,0.0,
2017-01-30,4764.5,0.0,0.0,0.0,0.0,
2017-01-31,4729.5,4752.5,4752.5,4749.5,2.0,
2017-02-01,4775.5,4768.0,4772.5,4768.0,117.0,1.0
2017-02-02,4771.5,0.0,0.0,0.0,0.0,117.0
2017-02-03,4802.0,0.0,0.0,0.0,0.0,117.0
2017-02-06,4755.5,0.0,0.0,0.0,0.0,117.0
2017-02-07,4732.5,0.0,0.0,0.0,0.0,117.0
2017-02-08,4744.5,0.0,0.0,0.0,0.0,117.0
2017-02-09,4804.5,0.0,0.0,0.0,0.0,117.0
2017-02-10,4806.5,4797.0,4805.0,4797.0,8.0,117.0
2017-02-13,4867.5,4824.0,4867.0,4824.0,10.0,124.0
2017-02-14,4875.0,0.0,0.0,0.0,0.0,124.0
2017-02-15,4903.5,4887.0,4899.5,4886.5,3.0,124.0
2017-02-16,4879.5,4907.5,4907.5,4871.0,15.0,124.0
2017-02-17,4846.5,4858.0,4858.0,4830.5,83.0,128.0
2017-02-20,4845.0,4878.0,4878.0,4841.0,1331.0,179.0
2017-02-21,4868.5,4852.5,4880.0,4830.0,159.0,1452.0
2017-02-22,4876.0,4880.0,4891.5,4850.5,355.0,1497.0
2017-02-23,4872.0,4878.5,4895.5,4862.0,88.0,1832.0
2017-02-24,4825.5,4858.0,4858.0,4789.0,53549.0,1911.0
2017-02-27,4827.0,4850.0,4850.0,4818.0,120.0,46945.0
2017-02-28,4840.5,4844.0,4848.5,4820.0,46.0,47497.0
2017-03-01,4944.0,4862.0,4955.5,4862.0,184.0,47521.0
