Date,Settle,Open,High,Low,Last,Change,Volume,Previous Day Open Interest
2008-11-21,86.88,0.0,86.88,86.88,,,0.0,0.0
2008-11-24,90.04,0.0,90.04,90.04,,,1.0,1.0
2008-11-25,87.77,0.0,87.77,87.77,,,1.0,1.0
2008-11-26,89.22,0.0,89.22,89.22,,,1.0,1.0
2008-11-28,89.19,0.0,89.19,89.19,,,1.0,1.0
2008-12-01,85.86,0.0,85.86,85.86,,,0.0,1.0
2008-12-02,85.0,0.0,85.0,85.0,,,0.0,1.0
2008-12-03,85.65,0.0,85.65,85.65,,,0.0,1.0
2008-12-04,84.79,0.0,84.79,84.79,,,0.0,1.0
2008-12-05,82.83,0.0,82.83,82.83,,,0.0,1.0
2008-12-08,84.33,0.0,84.33,84.33,,,0.0,1.0
2008-12-09,79.69,0.0,79.69,79.69,,,0.0,1.0
2008-12-10,77.26,0.0,77.26,77.26,,,0.0,1.0
2008-12-11,80.04,0.0,80.04,80.04,,,0.0,1.0
2008-12-12,80.14,0.0,80.14,80.14,,,0.0,1.0
2008-12-15,78.81,0.0,78.81,78.81,,,0.0,1.0
2008-12-16,77.35,0.0,77.35,77.35,,,0.0,1.0
2008-12-17,76.42,0.0,76.42,76.42,,,0.0,1.0
2008-12-18,75.53,0.0,75.53,75.53,,,0.0,1.0
2008-12-19,76.45,0.0,76.45,76.45,,,0.0,1.0
2008-12-22,73.85,0.0,73.85,73.85,,,0.0,1.0
2008-12-23,73.36,0.0,73.36,73.36,,,0.0,1.0
2008-12-24,71.54,0.0,71.54,71.54,,,0.0,1.0
2008-12-26,74.66,0.0,74.66,74.66,,,0.0,1.0
2008-12-29,75.72,0.0,75.72,75.72,,,0.0,1.0
2008-12-30,75.25,0.0,75.25,75.25,,,0.0,1.0
2008-12-31,78.45,0.0,78.45,78.45,,,0.0,1.0
2009-01-02,78.93,77.0,78.93,77.0,,,7.0,8.0
2009-01-05,79.2,0.0,79.2,79.2,,,7.0,8.0
2009-01-06,79.16,0.0,79.16,79.16,,,0.0,0.0
2009-01-07,77.98,78.75,78.75,77.98,,,8.0,15.0
2009-01-08,78.34,0.0,78.34,78.34,,,8.0,15.0
2009-01-09,79.33,0.0,79.33,79.33,,,8.0,15.0
2009-01-12,78.33,0.0,78.33,78.33,,,8.0,15.0
2009-01-13,78.51,0.0,78.51,78.51,,,8.0,15.0
2009-01-14,78.96,0.0,78.96,78.96,,,8.0,15.0
2009-01-15,78.78,0.0,78.78,78.78,,,8.0,15.0
2009-01-16,78.1,0.0,78.1,78.1,,,8.0,15.0
2009-01-20,75.43,77.3,77.3,75.43,,,16.0,31.0
2009-01-21,72.42,0.0,72.42,72.42,,,16.0,31.0
2009-01-22,72.35,0.0,72.35,72.35,,,16.0,31.0
2009-01-23,74.06,0.0,74.06,74.06,,,16.0,31.0
2009-01-26,72.84,73.75,73.75,72.84,,,12.0,40.0
2009-01-27,72.98,0.0,72.98,72.98,,,12.0,40.0
2009-01-28,74.07,0.0,74.07,74.07,,,12.0,40.0
2009-01-29,74.35,0.0,74.35,74.35,,,12.0,40.0
2009-01-30,73.59,73.59,73.59,73.59,,,12.0,40.0
2009-02-02,72.39,72.39,72.39,72.39,,,12.0,40.0
2009-02-03,72.6,72.6,72.6,72.6,,,12.0,40.0
2009-02-04,73.94,73.94,73.94,73.94,,,12.0,40.0
2009-02-05,75.64,75.64,75.64,75.64,,,12.0,40.0
2009-02-06,76.34,76.34,76.34,76.34,,,12.0,40.0
2009-02-09,76.43,76.95,76.95,76.43,,,14.0,33.0
2009-02-10,75.58,0.0,75.58,75.58,,,14.0,33.0
2009-02-11,76.89,0.0,76.89,76.89,,,14.0,33.0
2009-02-12,77.22,0.0,77.22,77.22,,,1.0,34.0
2009-02-13,76.28,0.0,76.28,76.28,,,0.0,0.0
2009-02-17,73.22,75.5,75.5,73.22,,,0.0,0.0
2009-02-18,70.27,72.26,72.26,70.27,,,29.0,49.0
2009-02-19,73.7,0.0,73.7,73.7,,,29.0,49.0
2009-02-20,74.28,0.0,74.28,74.28,,,29.0,49.0
2009-02-23,75.62,0.0,75.62,75.62,,,29.0,49.0
2009-02-24,76.62,76.45,76.62,76.45,,,8.0,42.0
2009-02-25,76.66,76.66,76.66,76.66,,,0.0,42.0
2009-02-26,78.01,76.85,78.01,76.85,,,1.0,42.0
2009-02-27,76.54,0.0,76.54,76.54,,,1.0,42.0
2009-03-02,73.19,0.0,73.19,73.19,,,1.0,42.0
2009-03-03,73.22,0.0,73.22,73.22,,,1.0,42.0
2009-03-04,73.72,0.0,73.72,73.72,,,0.0,42.0
2009-03-05,73.79,0.0,73.79,73.79,,,25.0,44.0
2009-03-06,74.11,74.11,74.11,74.11,,,25.0,44.0
2009-03-09,73.31,0.0,73.31,73.31,,,25.0,44.0
2009-03-10,73.8,0.0,73.8,73.8,,,25.0,44.0
2009-03-11,73.13,0.0,73.13,73.13,,,25.0,44.0
2009-03-12,75.77,0.0,75.77,75.77,,,25.0,44.0
2009-03-13,74.28,0.0,74.28,74.28,,,25.0,44.0
2009-03-16,73.55,73.55,73.55,73.55,,,25.0,44.0
2009-03-17,75.41,0.0,75.41,75.41,,,25.0,44.0
2009-03-18,76.96,0.0,76.96,76.96,,,25.0,44.0
2009-03-19,81.73,79.95,81.73,79.95,,,4.0,40.0
2009-03-20,82.9,0.0,82.9,82.9,,,4.0,40.0
2009-03-23,85.1,0.0,85.1,85.1,,,0.0,40.0
2009-03-24,84.27,0.0,84.27,84.27,,,4.0,40.0
2009-03-25,82.99,0.0,82.99,82.99,,,0.0,0.0
2009-03-26,83.95,0.0,83.95,83.95,,,0.0,40.0
2009-03-27,82.92,0.0,82.92,82.92,,,0.0,0.0
2009-03-30,80.68,82.03,82.03,80.68,,,2.0,42.0
2009-03-31,81.01,0.0,81.01,81.01,,,100.0,142.0
2009-04-01,79.94,0.0,79.94,79.94,,,0.0,0.0
2009-04-02,83.59,0.0,83.59,83.59,,,0.0,142.0
2009-04-03,84.35,0.0,84.35,84.35,,,0.0,142.0
2009-04-06,84.21,0.0,84.21,84.21,,,0.0,142.0
2009-04-07,83.3,83.3,83.3,83.3,,,100.0,142.0
2009-04-08,82.86,82.86,82.86,82.86,,,100.0,142.0
2009-04-09,83.49,0.0,83.49,83.49,,,107.0,237.0
2009-04-13,82.15,0.0,82.15,82.15,,,107.0,237.0
2009-04-14,82.08,82.08,82.08,82.08,,,107.0,237.0
2009-04-15,81.54,0.0,81.54,81.54,,,107.0,237.0
2009-04-16,81.87,0.0,81.87,81.87,,,107.0,237.0
2009-04-17,81.38,81.38,81.38,81.38,,,107.0,237.0
2009-04-20,79.28,0.0,79.28,79.28,,,107.0,237.0
2009-04-21,79.33,79.33,79.33,79.33,,,107.0,237.0
2009-04-22,78.54,79.0,79.0,78.54,,,62.0,278.0
2009-04-23,77.33,77.0,77.33,77.0,,,7.0,285.0
