Date,Settle,Open,High,Low,Last,Change,Volume,Open Interest
2014-09-29,1232.1,,,,,0.0,0.0,0.0
2014-09-30,1225.0,,,,,7.1,0.0,0.0
2014-10-01,1228.7,,,,,3.7,0.0,0.0
2014-10-02,1227.9,,,,,0.8,0.0,0.0
2014-10-03,1206.3,,,,,21.6,0.0,0.0
2014-10-06,1220.3,,,,,14.0,0.0,0.0
2014-10-07,1225.0,,,,,4.7,0.0,0.0
2014-10-08,1218.3,,,,,6.7,0.0,0.0
2014-10-09,1236.7,,,,,18.4,0.0,0.0
2014-10-10,1232.5,,,,,4.2,0.0,0.0
2014-10-13,1239.8,,,,,7.3,0.0,0.0
2014-10-14,1243.9,,,,,4.1,0.0,0.0
2014-10-15,1253.0,,,,,9.1,0.0,0.0
2014-10-16,1249.5,,,,,3.5,0.0,0.0
2014-10-17,1247.8,,,,,1.7,0.0,0.0
2014-10-20,1253.6,,,,,5.8,0.0,0.0
2014-10-21,1260.9,,,,,7.3,0.0,0.0
2014-10-22,1254.9,,,,,6.0,0.0,0.0
2014-10-23,1238.1,,,,,16.8,0.0,0.0
2014-10-24,1241.1,,,,,3.0,0.0,0.0
2014-10-27,1238.5,,,,,2.6,0.0,0.0
2014-10-28,1238.7,,,,,0.2,0.0,0.0
2014-10-29,1234.4,,,,,4.3,0.0,0.0
2014-10-30,1208.3,,,,,26.1,0.0,0.0
2014-10-31,1181.3,,,,,27.0,0.0,0.0
2014-11-03,1179.7,,,,,1.6,0.0,0.0
2014-11-04,1177.6,,,,,2.1,0.0,0.0
2014-11-05,1155.4,,,,,22.2,0.0,0.0
2014-11-06,1152.0,,,,,3.4,0.0,0.0
2014-11-07,1179.2,,,,,27.2,0.0,0.0
2014-11-10,1169.2,,,,,10.0,0.0,0.0
2014-11-11,1172.7,,,,,3.5,0.0,0.0
2014-11-12,1168.4,,,,,4.3,0.0,0.0
2014-11-13,1170.6,,,,,2.2,0.0,0.0
2014-11-14,1194.7,,,,,24.1,0.0,0.0
2014-11-17,1192.8,,,,,1.9,0.0,0.0
2014-11-18,1205.8,,,,,13.0,0.0,0.0
2014-11-19,1202.9,,,,,2.9,0.0,0.0
2014-11-20,1199.6,,,,,3.3,0.0,0.0
2014-11-21,1206.6,,,,,7.0,0.0,0.0
2014-11-24,1204.9,,,,,1.7,0.0,0.0
2014-11-25,1206.2,,,,,1.3,0.0,0.0
2014-11-26,1205.7,,,,,0.5,0.0,0.0
2014-11-28,1182.9,,,,,22.8,0.0,0.0
2014-12-01,1225.5,,,,,42.6,0.0,0.0
2014-12-02,1206.9,,,,,18.6,0.0,0.0
2014-12-03,1216.5,,,,,9.6,0.0,0.0
2014-12-04,1215.4,,,,,1.1,0.0,0.0
2014-12-05,1200.0,,,,,15.4,0.0,0.0
2014-12-08,1204.3,,,,,4.3,0.0,0.0
2014-12-09,1241.3,,,,,37.0,0.0,0.0
2014-12-10,1238.6,,,,,2.7,0.0,0.0
2014-12-11,1234.7,,,,,3.9,0.0,0.0
2014-12-12,1230.8,,,,,3.9,0.0,0.0
2014-12-15,1215.7,,,,,15.1,0.0,0.0
2014-12-16,1201.9,,,,,13.8,0.0,0.0
2014-12-17,1202.2,,,,,0.3,0.0,0.0
2014-12-18,1203.1,,,,,0.9,0.0,0.0
2014-12-19,1204.6,,,,,1.5,1.0,0.0
2014-12-22,1188.6,,,,,16.0,0.0,1.0
2014-12-23,1187.1,,,,,1.5,0.0,1.0
2014-12-24,1182.7,,,,,4.4,0.0,1.0
2014-12-26,1204.5,,,,,21.8,0.0,1.0
2014-12-29,1190.8,,,,,13.7,0.0,1.0
2014-12-30,1209.0,,,,,18.2,0.0,1.0
2014-12-31,1192.6,,,,,16.4,0.0,1.0
2015-01-02,1194.9,,,,,2.3,0.0,1.0
2015-01-05,1212.8,,,,,17.9,0.0,1.0
2015-01-06,1227.4,,,,,14.6,0.0,1.0
2015-01-07,1218.8,,,,,8.6,0.0,1.0
2015-01-08,1216.8,,,,,2.0,0.0,1.0
2015-01-09,1224.0,,,,,7.2,0.0,1.0
2015-01-12,1240.4,,,,,16.4,0.0,1.0
2015-01-13,1241.7,,,,,1.3,0.0,1.0
2015-01-14,1240.4,,,,,1.3,0.0,1.0
2015-01-15,1270.9,,,,,30.5,0.0,1.0
2015-01-16,1283.3,,,,,12.4,0.0,1.0
2015-01-20,1300.8,,,,,17.5,0.0,1.0
2015-01-21,1300.7,,,,,0.1,0.0,1.0
2015-01-22,1308.2,,,,,7.5,0.0,1.0
2015-01-23,1299.9,,,,,8.3,0.0,1.0
2015-01-26,1287.1,,,,,12.8,0.0,1.0
2015-01-27,1299.4,,,,,12.3,0.0,1.0
2015-01-28,1293.5,,,,,5.9,0.0,1.0
2015-01-29,1262.2,,,,,31.3,0.0,1.0
2015-01-30,1285.4,1281.5,1281.5,1281.5,,23.2,1.0,1.0
2015-02-02,1283.3,,,,,2.1,0.0,2.0
2015-02-03,1267.1,,,,,16.2,0.0,2.0
2015-02-04,1271.7,,,,,4.6,0.0,2.0
2015-02-05,1270.2,1270.9,1273.2,1270.9,,1.5,2.0,2.0
2015-02-06,1243.2,1270.9,1274.9,1264.2,,27.0,5.0,3.0
2015-02-09,1249.9,,,,,6.7,0.0,3.0
2015-02-10,1240.4,,,,,9.5,0.0,3.0
2015-02-11,1227.8,,,,,12.6,50.0,3.0
2015-02-12,1228.7,,,,,0.9,0.0,53.0
2015-02-13,1235.2,,,,,6.5,0.0,53.0
2015-02-17,1216.9,,,,,18.3,0.0,53.0
2015-02-18,1208.4,,,,,8.5,0.0,53.0
2015-02-19,1215.3,,,,,6.9,0.0,53.0
2015-02-20,1212.4,,,,,2.9,0.0,53.0
2015-02-23,1207.9,1200.0,1200.0,1200.0,,4.5,1.0,53.0
2015-02-24,1204.1,,,,,3.8,0.0,53.0
2015-02-25,1208.3,,,,,4.2,0.0,53.0
2015-02-26,1217.6,,,,,9.3,0.0,53.0
2015-02-27,1220.8,,,,,3.2,200.0,53.0
2015-03-02,1216.2,,,,,4.6,0.0,253.0
2015-03-03,1212.7,,,,,3.5,0.0,253.0
2015-03-04,1209.1,,,,,3.6,0.0,253.0
2015-03-05,1204.4,,,,,4.7,0.0,253.0
2015-03-06,1172.8,,,,,31.6,0.0,253.0
2015-03-09,1175.0,1179.4,1179.4,1179.2,,2.2,2.0,253.0
2015-03-10,1168.4,,,,,6.6,0.0,253.0
2015-03-11,1158.7,,,,,9.7,0.0,253.0
2015-03-12,1159.4,1166.3,1166.3,1166.3,,0.7,3.0,253.0
2015-03-13,1159.9,,,,,0.5,0.0,253.0
2015-03-16,1160.3,,,,,0.4,0.0,253.0
2015-03-17,1155.4,,,,,4.9,50.0,253.0
2015-03-18,1158.4,1173.0,1176.3,1173.0,,3.0,5.0,253.0
2015-03-19,1175.8,,,,,17.4,0.0,254.0
2015-03-20,1191.5,,,,,15.7,0.0,254.0
2015-03-23,1194.4,,,,,2.9,0.0,254.0
2015-03-24,1198.1,,,,,3.7,0.0,254.0
2015-03-25,1204.2,,,,,6.1,0.0,254.0
2015-03-26,1212.1,,,,,7.9,0.0,254.0
2015-03-27,1207.2,,,,,4.9,25.0,254.0
2015-03-30,1191.7,,,,,15.5,50.0,254.0
2015-03-31,1189.4,,,,,2.3,0.0,204.0
2015-04-01,1214.4,,,,,25.0,0.0,204.0
2015-04-02,1207.4,,,,,7.0,2.0,204.0
2015-04-06,1224.9,,,,,17.5,20.0,204.0
2015-04-07,1217.3,,,,,7.6,0.0,204.0
2015-04-08,1209.9,1215.2,1215.2,1215.2,,7.4,251.0,204.0
2015-04-09,1200.5,,,,,9.4,0.0,454.0
2015-04-10,1211.8,1212.7,1212.7,1212.7,,11.3,2.0,454.0
2015-04-13,1206.4,1211.0,1211.0,1211.0,,5.4,1.0,454.0
2015-04-14,1199.2,1193.0,1193.0,1193.0,,7.2,1.0,453.0
2015-04-15,1207.9,,,,,8.7,0.0,452.0
2015-04-16,1204.8,,,,,3.1,0.0,452.0
2015-04-17,1210.1,,,,,5.3,1.0,452.0
2015-04-20,1200.6,,,,,9.5,0.0,453.0
2015-04-21,1210.1,,,,,9.5,0.0,453.0
2015-04-22,1193.9,,,,,16.2,0.0,453.0
2015-04-23,1201.2,1193.2,1193.2,1193.2,,7.3,1.0,453.0
2015-04-24,1181.4,,,,,19.8,3.0,453.0
2015-04-27,1209.9,,,,,28.5,0.0,451.0
2015-04-28,1220.9,1208.2,1208.2,1208.2,,11.0,1.0,451.0
2015-04-29,1217.0,1215.9,1215.9,1215.9,,3.9,1.0,451.0
2015-04-30,1189.4,1208.6,1208.6,1208.6,,27.6,21.0,451.0
2015-05-01,1181.5,,,,,7.9,50.0,451.0
2015-05-04,1194.0,,,,,12.5,0.0,451.0
2015-05-05,1200.6,,,,,6.6,0.0,451.0
2015-05-06,1197.6,,,,,3.0,147.0,451.0
2015-05-07,1189.5,1189.6,1189.6,1189.6,,8.1,1.0,451.0
2015-05-08,1195.7,1194.1,1194.1,1194.1,,6.2,1.0,451.0
2015-05-11,1189.8,,,,,5.9,0.0,451.0
2015-05-12,1199.2,1196.0,1197.0,1196.0,,9.4,25.0,451.0
2015-05-13,1225.1,,,,,25.9,0.0,476.0
2015-05-14,1232.0,1231.0,1231.0,1231.0,,6.9,8.0,476.0
2015-05-15,1232.0,,,,,,0.0,483.0
2015-05-18,1234.3,,,,,2.3,0.0,483.0
2015-05-19,1213.7,1214.1,1214.1,1214.1,,20.6,131.0,483.0
2015-05-20,1215.7,,,,,2.0,1.0,483.0
2015-05-21,1211.0,,,,,4.7,0.0,484.0
2015-05-22,1211.2,,,,,0.2,225.0,484.0
2015-05-26,1194.1,,,,,17.1,0.0,684.0
2015-05-27,1192.9,,,,,1.2,2.0,684.0
2015-05-28,1195.0,,,,,2.1,0.0,685.0
2015-05-29,1196.0,,,,,1.0,0.0,685.0
2015-06-01,1195.2,,,,,0.8,0.0,685.0
2015-06-02,1200.9,,,,,5.7,0.0,685.0
2015-06-03,1191.6,1190.0,1190.0,1189.4,,9.3,3.0,685.0
2015-06-04,1181.9,1182.0,1182.0,1182.0,,9.7,5.0,687.0
2015-06-05,1175.2,1172.4,1176.1,1172.4,,6.7,41.0,692.0
2015-06-08,1180.6,,,,,5.4,0.0,699.0
2015-06-09,1184.6,1182.5,1182.5,1182.5,,4.0,1.0,699.0
2015-06-10,1193.7,,,,,9.1,75.0,881.0
2015-06-11,1187.7,,,,,6.0,425.0,900.0
2015-06-12,1186.6,,,,,1.1,260.0,1325.0
2015-06-15,1193.2,,,,,6.6,4.0,1435.0
2015-06-16,1188.1,,,,,5.1,1.0,1435.0
2015-06-17,1184.2,,,,,3.9,86.0,1435.0
2015-06-18,1209.0,,,,,24.8,0.0,1494.0
2015-06-19,1208.6,1209.3,1209.3,1209.2,,0.4,10.0,1494.0
2015-06-22,1191.1,,,,,17.5,0.0,1499.0
2015-06-23,1183.7,,,,,7.4,6.0,1499.0
2015-06-24,1180.0,1185.4,1185.5,1181.7,,3.7,203.0,1499.0
2015-06-25,1179.1,,,,,0.9,10.0,1380.0
2015-06-26,1180.6,,,,,1.5,30.0,1390.0
2015-06-29,1186.2,1184.7,1184.8,1184.6,,5.6,37.0,1420.0
2015-06-30,1178.9,1182.2,1182.3,1176.0,,7.3,184.0,1415.0
2015-07-01,1176.7,1178.2,1178.2,1178.2,,2.2,8.0,1505.0
2015-07-02,1170.7,1166.6,1166.6,1166.6,,6.0,100.0,1513.0
2015-07-06,1180.2,1171.3,1179.9,1171.3,,9.5,12.0,1533.0
2015-07-07,1159.5,1172.6,1172.6,1157.4,1157.5,20.7,203.0,1533.0
2015-07-08,1170.4,1169.0,1169.0,1164.7,1166.0,10.9,135.0,1614.0
2015-07-09,1166.3,1168.9,1171.0,1168.9,1169.4,4.1,226.0,1658.0
2015-07-10,1165.3,1165.8,1166.0,1165.8,1166.0,1.0,194.0,1840.0
2015-07-13,1162.9,1168.7,1169.2,1163.4,1163.4,2.4,63.0,1928.0
2015-07-14,1160.8,,,,,2.1,30.0,1981.0
2015-07-15,1154.7,1154.0,1154.2,1154.0,1154.2,6.1,203.0,1987.0
2015-07-16,1151.2,1149.6,1149.6,1149.6,1149.6,3.5,66.0,2085.0
2015-07-17,1138.7,1142.0,1142.0,1138.2,1138.2,12.5,68.0,2452.0
2015-07-20,1113.2,1137.1,1137.1,1108.0,1108.0,25.5,139.0,2493.0
2015-07-21,1109.5,1109.9,1109.9,1105.5,1105.5,3.7,127.0,2510.0
2015-07-22,1097.5,1103.3,1103.3,1093.2,1097.4,12.0,251.0,2444.0
2015-07-23,1100.0,1102.8,1102.8,1102.7,1102.7,2.5,76.0,2385.0
