Date,Settle,Open,High,Low,Last,Change,Volume,Previous Day Open Interest
2011-06-29,1756.0,1756.0,1756.0,1756.0,,,0.0,0.0
2011-06-30,1753.9,1753.9,1753.9,1753.9,,,0.0,0.0
2011-07-01,1737.7,1737.7,1737.7,1737.7,,,0.0,0.0
2011-07-05,1765.4,1765.4,1765.4,1765.4,,,0.0,0.0
2011-07-06,1780.4,1780.4,1780.4,1780.4,,,0.0,0.0
2011-07-07,1791.8,1791.8,1791.8,1791.8,,,0.0,0.0
2011-07-08,1789.6,1789.6,1789.6,1789.6,,,0.0,0.0
2011-07-11,1793.9,1793.9,1793.9,1793.9,,,0.0,0.0
2011-07-12,1806.3,1806.3,1806.3,1806.3,,,0.0,0.0
2011-07-13,1828.6,1828.6,1828.6,1828.6,,,0.0,0.0
2011-07-14,1830.6,1830.6,1830.6,1830.6,,,0.0,0.0
2011-07-15,1831.0,1831.0,1831.0,1831.0,,,0.0,0.0
2011-07-18,1843.2,1843.2,1843.2,1843.2,,,0.0,0.0
2011-07-19,1841.3,1835.0,1841.3,1835.0,,,30.0,30.0
2011-07-20,1837.1,1837.1,1837.1,1837.1,,,0.0,30.0
2011-07-21,1828.0,1828.0,1828.0,1828.0,,,0.0,30.0
2011-07-22,1840.5,1840.5,1840.5,1840.5,,,0.0,30.0
2011-07-25,1845.3,1845.3,1845.3,1845.3,,,0.0,30.0
2011-07-26,1847.2,1847.2,1847.2,1847.2,,,0.0,30.0
2011-07-27,1850.4,1850.4,1850.4,1850.4,,,0.0,30.0
2011-07-28,1846.9,1846.9,1846.9,1846.9,,,0.0,30.0
2011-07-29,1852.6,1852.6,1852.6,1852.6,,,0.0,30.0
2011-08-01,1835.9,1835.9,1835.9,1835.9,,,0.0,30.0
2011-08-02,1854.2,1854.2,1854.2,1854.2,,,0.0,30.0
2011-08-03,1874.8,1874.8,1874.8,1874.8,,,0.0,30.0
2011-08-04,1859.6,1859.6,1859.6,1859.6,,,0.0,30.0
2011-08-05,1861.9,1861.9,1861.9,1861.9,,,0.0,30.0
2011-08-08,1922.5,1922.5,1922.5,1922.5,,,0.0,30.0
2011-08-09,1957.8,1957.8,1957.8,1957.8,,,0.0,30.0
2011-08-10,1971.2,1971.2,1971.2,1971.2,,,0.0,30.0
2011-08-11,1939.7,1975.0,1975.0,1939.7,,,10.0,40.0
2011-08-12,1928.9,1928.9,1928.9,1928.9,,,0.0,40.0
2011-08-15,1944.1,1944.1,1944.1,1944.1,,,0.0,40.0
2011-08-16,1966.6,1966.6,1966.6,1966.6,,,10.0,40.0
2011-08-17,1974.5,1974.5,1974.5,1974.5,,,4.0,40.0
2011-08-18,2002.4,2002.4,2002.4,2002.4,,,0.0,40.0
2011-08-19,2036.0,2036.0,2036.0,2036.0,,,0.0,40.0
2011-08-22,2079.5,2079.5,2079.5,2079.5,,,0.0,40.0
2011-08-23,2048.2,2048.2,2048.2,2048.2,,,0.0,40.0
2011-08-24,1942.6,1942.6,1942.6,1942.6,,,0.0,40.0
2011-08-25,1948.2,1948.2,1948.2,1948.2,,,0.0,40.0
2011-08-26,1979.8,1950.0,1979.8,1950.0,,,40.0,10.0
2011-08-29,1977.6,1977.6,1977.6,1977.6,,,0.0,10.0
2011-08-30,2011.8,2011.8,2011.8,2011.8,,,0.0,10.0
2011-08-31,2012.5,2012.5,2012.5,2012.5,,,0.0,10.0
2011-09-01,2006.7,2006.7,2006.7,2006.7,,,0.0,10.0
2011-09-02,2053.2,2053.2,2053.2,2053.2,,,0.0,10.0
2011-09-06,2051.7,2051.7,2051.7,2051.7,,,0.0,10.0
2011-09-07,1993.1,1993.1,1993.1,1993.1,,,0.0,10.0
2011-09-08,2033.0,2029.0,2033.0,2029.0,,,1.0,11.0
2011-09-09,2034.2,2034.2,2034.2,2034.2,,,0.0,11.0
2011-09-12,1989.2,1989.2,1989.2,1989.2,,,0.0,11.0
2011-09-13,2010.9,2010.9,2010.9,2010.9,,,0.0,11.0
2011-09-14,2006.4,2006.4,2006.4,2006.4,,,0.0,11.0
2011-09-15,1962.7,1962.7,1962.7,1962.7,,,0.0,11.0
2011-09-16,1994.8,1994.8,1994.8,1994.8,,,0.0,11.0
2011-09-19,1946.6,1946.6,1946.6,1946.6,,,0.0,11.0
2011-09-20,1980.5,1980.5,1980.5,1980.5,,,0.0,11.0
2011-09-21,1976.9,1976.9,1976.9,1976.9,,,0.0,11.0
2011-09-22,1901.0,1901.0,1901.0,1901.0,,,0.0,11.0
2011-09-23,1795.4,1795.4,1795.4,1795.4,,,0.0,11.0
2011-09-26,1748.8,1715.0,1767.6,1715.0,,,1.0,11.0
2011-09-27,1814.6,1814.6,1814.6,1814.6,,,1.0,12.0
2011-09-28,1781.3,1781.3,1781.3,1781.3,,,0.0,12.0
2011-09-29,1781.9,1781.9,1781.9,1781.9,,,0.0,12.0
2011-09-30,1784.3,1784.3,1784.3,1784.3,,,25.0,37.0
2011-10-03,1817.6,1817.6,1817.6,1817.6,,,0.0,37.0
2011-10-04,1774.7,1774.7,1774.7,1774.7,,,0.0,37.0
2011-10-05,1804.0,1804.0,1804.0,1804.0,,,0.0,37.0
2011-10-06,1818.5,1818.5,1818.5,1818.5,,,0.0,37.0
2011-10-07,1805.7,1805.7,1805.7,1805.7,,,0.0,37.0
2011-10-10,1847.0,1844.0,1847.0,1844.0,,,2.0,38.0
2011-10-11,1836.6,1865.0,1865.0,1836.6,,,1.0,37.0
2011-10-12,1863.7,1863.7,1863.7,1863.7,,,25.0,62.0
2011-10-13,1840.9,1840.9,1840.9,1840.9,,,0.0,62.0
2011-10-14,1859.2,1859.2,1859.2,1859.2,,,0.0,62.0
2011-10-17,1849.2,1849.2,1849.2,1849.2,,,5.0,62.0
2011-10-18,1820.1,1820.1,1820.1,1820.1,,,25.0,87.0
2011-10-19,1815.0,1815.0,1815.0,1815.0,,,25.0,112.0
2011-10-20,1778.5,1778.5,1778.5,1778.5,,,0.0,112.0
2011-10-21,1803.1,1803.1,1803.1,1803.1,,,0.0,112.0
2011-10-24,1822.7,1822.7,1822.7,1822.7,,,0.0,112.0
2011-10-25,1869.3,1869.3,1869.3,1869.3,,,0.0,112.0
2011-10-26,1896.2,1896.2,1896.2,1896.2,,,0.0,112.0
2011-10-27,1928.5,1928.5,1928.5,1928.5,,,0.0,112.0
2011-10-28,1921.1,1921.1,1921.1,1921.1,,,0.0,112.0
2011-10-31,1891.9,1891.9,1891.9,1891.9,,,0.0,112.0
2011-11-01,1871.5,1871.5,1871.5,1871.5,,,0.0,112.0
2011-11-02,1889.4,1889.4,1889.4,1889.4,,,0.0,112.0
2011-11-03,1928.1,1928.1,1928.1,1928.1,,,0.0,112.0
2011-11-04,1918.9,1918.9,1918.9,1918.9,,,0.0,112.0
2011-11-07,1953.2,1953.2,1953.2,1953.2,,,0.0,112.0
2011-11-08,1963.2,1963.2,1963.2,1963.2,,,0.0,112.0
2011-11-09,1955.8,1955.8,1955.8,1955.8,,,0.0,112.0
2011-11-10,1925.3,1925.3,1925.3,1925.3,,,0.0,112.0
2011-11-11,1959.2,1961.0,1961.0,1959.2,,,1.0,112.0
2011-11-14,1945.8,1945.8,1945.8,1945.8,,,0.0,112.0
2011-11-15,1955.8,1955.8,1955.8,1955.8,,,80.0,186.0
2011-11-16,1945.1,1945.1,1945.1,1945.1,,,0.0,186.0
2011-11-17,1890.0,1890.0,1890.0,1890.0,,,0.0,186.0
2011-11-18,1896.7,1896.7,1896.7,1896.7,,,0.0,186.0
2011-11-21,1848.0,1848.0,1848.0,1848.0,,,0.0,186.0
2011-11-22,1874.8,1874.8,1874.8,1874.8,,,0.0,186.0
2011-11-23,1870.4,1870.4,1870.4,1870.4,,,0.0,186.0
2011-11-25,1862.4,1862.4,1862.4,1862.4,,,0.0,186.0
2011-11-28,1892.0,1892.0,1892.0,1892.0,,,0.0,186.0
2011-11-29,1894.1,1894.1,1894.1,1894.1,,,0.0,186.0
2011-11-30,1925.5,1925.5,1925.5,1925.5,,,0.0,186.0
2011-12-01,1916.5,1916.5,1916.5,1916.5,,,0.0,186.0
2011-12-02,1929.1,1924.1,1936.1,1924.1,,,1.0,186.0
2011-12-05,1910.4,1910.4,1910.4,1910.4,,,0.0,186.0
2011-12-06,1903.0,1903.0,1903.0,1903.0,,,0.0,186.0
2011-12-07,1912.5,1912.5,1912.5,1912.5,,,0.0,186.0
2011-12-08,1874.5,1874.5,1874.5,1874.5,,,0.0,186.0
2011-12-09,1880.5,1880.5,1880.5,1880.5,,,0.0,185.0
2011-12-12,1825.4,1825.4,1825.4,1825.4,,,4.0,185.0
2011-12-13,1821.5,1821.5,1821.5,1821.5,,,0.0,185.0
2011-12-14,1740.6,1740.6,1740.6,1740.6,,,0.0,185.0
2011-12-15,1727.5,1727.5,1727.5,1727.5,,,0.0,185.0
2011-12-16,1747.9,1747.9,1747.9,1747.9,,,0.0,185.0
2011-12-19,1748.8,1748.8,1748.8,1748.8,,,0.0,185.0
2011-12-20,1771.6,1771.6,1771.6,1771.6,,,0.0,185.0
2011-12-21,1769.1,1769.1,1769.1,1769.1,,,0.0,185.0
2011-12-22,1766.7,1766.7,1766.7,1766.7,,,0.0,185.0
2011-12-23,1763.5,1763.5,1763.5,1763.5,,,0.0,185.0
2011-12-27,1753.2,1753.2,1753.2,1753.2,,,0.0,185.0
2011-12-28,1716.9,1716.9,1716.9,1716.9,,,0.0,185.0
2011-12-29,1689.4,1689.4,1689.4,1689.4,,,0.0,185.0
2011-12-30,1715.5,1715.5,1715.5,1715.5,,,0.0,185.0
2012-01-03,1751.6,1751.6,1751.6,1751.6,,,0.0,185.0
2012-01-04,1765.3,1765.3,1765.3,1765.3,,,0.0,185.0
2012-01-05,1772.8,1772.8,1772.8,1772.8,,,0.0,185.0
2012-01-06,1766.4,1766.4,1766.4,1766.4,,,0.0,185.0
2012-01-09,1755.8,1755.8,1755.8,1755.8,,,0.0,185.0
2012-01-10,1781.6,1781.6,1781.6,1781.6,,,0.0,185.0
2012-01-11,1785.6,1785.6,1785.6,1785.6,,,0.0,185.0
2012-01-12,1793.0,1793.0,1793.0,1793.0,,,0.0,185.0
2012-01-13,1769.8,1769.8,1769.8,1769.8,,,0.0,185.0
2012-01-17,1795.6,1795.6,1795.6,1795.6,,,0.0,185.0
2012-01-18,1801.0,1801.0,1801.0,1801.0,,,0.0,185.0
2012-01-19,1799.0,1799.0,1799.0,1799.0,,,0.0,185.0
2012-01-20,1810.8,1810.8,1810.8,1810.8,,,0.0,185.0
2012-01-23,1828.8,1828.8,1828.8,1828.8,,,0.0,185.0
