Date,Current Price,Change,Open,High,Low,Trading Volume,Open Interest
2016-09-14,0.0,0.0,0.0,0.0,0.0,0.0,2459.0
2016-09-15,0.0,0.0,0.0,0.0,0.0,0.0,2459.0
2016-09-16,0.0,0.0,0.0,0.0,0.0,0.0,2459.0
2016-09-19,251.35,0.0,0.0,0.0,0.0,0.0,2460.0
2016-09-20,253.9,0.0,0.0,0.0,0.0,0.0,2460.0
2016-09-21,254.45,0.0,0.0,0.0,0.0,0.0,2460.0
2016-09-22,255.95,0.0,0.0,0.0,0.0,0.0,2460.0
2016-09-23,258.45,0.0,0.0,0.0,0.0,0.0,2460.0
2016-09-26,258.35,0.0,0.0,0.0,0.0,0.0,2460.0
2016-09-27,257.65,0.0,0.0,0.0,0.0,0.0,2460.0
2016-09-28,259.8,0.0,0.0,0.0,0.0,185.0,2512.0
2016-09-29,258.25,0.0,0.0,0.0,0.0,0.0,2523.0
2016-09-30,260.45,0.0,0.0,0.0,0.0,0.0,2523.0
2016-10-03,0.0,0.0,0.0,0.0,0.0,0.0,2523.0
2016-10-04,257.55,0.0,0.0,0.0,0.0,0.0,2523.0
2016-10-05,258.9,0.0,0.0,0.0,0.0,0.0,2523.0
2016-10-06,258.95,0.0,0.0,0.0,0.0,464.0,2785.0
2016-10-07,260.5,0.0,0.0,0.0,0.0,290.0,3075.0
2016-10-10,259.95,0.0,0.0,0.0,0.0,0.0,3075.0
2016-10-11,260.4,0.0,0.0,0.0,0.0,0.0,3075.0
2016-10-12,256.35,0.0,0.0,0.0,0.0,0.0,3075.0
2016-10-13,255.75,0.0,0.0,0.0,0.0,0.0,3075.0
2016-10-14,253.65,0.0,0.0,0.0,0.0,0.0,3075.0
2016-10-17,255.05,0.0,0.0,0.0,0.0,0.0,3075.0
2016-10-18,255.6,0.0,0.0,0.0,0.0,0.0,3075.0
2016-10-19,257.5,0.0,0.0,0.0,0.0,0.0,3075.0
2016-10-20,257.65,0.0,0.0,0.0,0.0,0.0,3075.0
2016-10-21,258.0,0.0,0.0,0.0,0.0,0.0,3075.0
2016-10-24,257.05,0.0,0.0,0.0,0.0,0.0,3075.0
2016-10-25,259.05,0.0,0.0,0.0,0.0,0.0,3075.0
2016-10-26,258.35,0.0,0.0,0.0,0.0,250.0,3075.0
2016-10-27,255.2,0.0,0.0,0.0,0.0,0.0,3075.0
2016-10-28,256.45,0.0,0.0,0.0,0.0,0.0,3075.0
2016-10-31,256.7,0.0,0.0,0.0,0.0,200.0,3253.0
2016-11-01,256.0,0.0,0.0,0.0,0.0,0.0,3253.0
2016-11-02,256.0,0.0,0.0,0.0,0.0,0.0,3253.0
2016-11-03,252.6,0.0,0.0,0.0,0.0,0.0,3253.0
2016-11-04,253.15,0.0,0.0,0.0,0.0,0.0,3253.0
2016-11-07,252.5,0.0,0.0,0.0,0.0,0.0,3253.0
2016-11-08,254.65,0.0,0.0,0.0,0.0,0.0,3253.0
2016-11-09,255.5,0.0,0.0,0.0,0.0,0.0,3253.0
2016-11-10,249.3,0.0,0.0,0.0,0.0,0.0,3253.0
2016-11-11,254.8,0.0,0.0,0.0,0.0,100.0,3353.0
2016-11-14,252.15,0.0,0.0,0.0,0.0,0.0,3353.0
2016-11-15,250.1,0.0,0.0,0.0,0.0,0.0,3353.0
2016-11-16,248.95,0.0,0.0,0.0,0.0,0.0,3353.0
2016-11-17,249.9,0.0,0.0,0.0,0.0,0.0,3353.0
2016-11-18,249.7,0.0,0.0,0.0,0.0,100.0,3453.0
2016-11-21,249.85,0.0,0.0,0.0,0.0,0.0,3453.0
2016-11-22,249.3,0.0,0.0,0.0,0.0,0.0,3453.0
2016-11-23,252.05,0.0,0.0,0.0,0.0,230.0,3651.0
2016-11-24,253.1,0.0,0.0,0.0,0.0,0.0,3651.0
2016-11-25,252.05,0.0,0.0,0.0,0.0,0.0,3651.0
2016-11-28,251.85,0.0,0.0,0.0,0.0,0.0,3651.0
2016-11-29,252.9,0.0,0.0,0.0,0.0,0.0,3651.0
2016-11-30,252.55,0.0,0.0,0.0,0.0,120.0,3640.0
2016-12-01,254.0,0.0,0.0,0.0,0.0,0.0,3640.0
2016-12-02,254.05,0.0,0.0,0.0,0.0,0.0,3640.0
2016-12-05,252.5,0.0,0.0,0.0,0.0,0.0,3640.0
2016-12-06,252.55,0.0,0.0,0.0,0.0,225.0,3780.0
2016-12-07,255.3,0.0,0.0,0.0,0.0,0.0,3780.0
2016-12-08,258.0,1.9,258.0,258.0,258.0,1.0,3825.0
2016-12-09,258.0,0.0,0.0,0.0,0.0,0.0,3825.0
2016-12-12,261.05,0.0,0.0,0.0,0.0,0.0,3826.0
2016-12-13,260.0,-0.1,260.0,260.0,260.0,2.0,3826.0
2016-12-14,260.0,30.0,260.0,260.0,260.0,1.0,4930.0
2016-12-15,259.5,-0.5,259.5,259.5,259.5,1.0,4930.0
2016-12-16,259.5,0.0,0.0,0.0,0.0,0.0,4930.0
2016-12-19,261.35,0.0,0.0,0.0,0.0,300.0,4930.0
2016-12-20,261.85,0.0,0.0,0.0,0.0,500.0,5430.0
2016-12-21,262.2,0.0,0.0,0.0,0.0,500.0,5730.0
2016-12-22,262.05,0.0,0.0,0.0,0.0,0.0,5730.0
2016-12-23,261.95,0.0,0.0,0.0,0.0,1100.0,5730.0
2016-12-26,261.45,0.0,0.0,0.0,0.0,0.0,5730.0
2016-12-27,261.75,0.0,0.0,0.0,0.0,0.0,5730.0
2016-12-28,262.35,0.0,0.0,0.0,0.0,0.0,5730.0
2016-12-29,263.25,0.0,0.0,0.0,0.0,0.0,5730.0
2016-12-30,263.25,0.0,0.0,0.0,0.0,0.0,5730.0
2017-01-02,262.85,-0.05,263.3,263.8,262.85,51.0,5780.0
2017-01-03,262.85,30.0,262.85,262.85,262.85,4.0,5784.0
2017-01-04,265.05,2.2,265.05,265.05,265.05,1.0,5784.0
2017-01-05,265.05,0.0,0.0,0.0,0.0,0.0,5784.0
2017-01-06,265.5,30.0,265.5,265.5,265.5,1.0,5984.0
2017-01-09,265.5,0.0,0.0,0.0,0.0,0.0,5994.0
2017-01-10,266.85,0.0,0.0,0.0,0.0,0.0,5994.0
2017-01-11,266.8,0.0,0.0,0.0,0.0,37.0,6031.0
2017-01-12,271.9,0.0,0.0,0.0,0.0,72.0,6103.0
2017-01-13,271.7,0.0,0.0,0.0,0.0,0.0,6103.0
2017-01-16,269.2,-2.3,270.5,270.5,269.2,2.0,6102.0
