Date,Current Price,Change,Open,High,Low,Trading Volume,Open Interest
2016-09-14,110.65,0.03,110.68,110.72,110.63,28909.0,96395.0
2016-09-15,110.65,0.03,110.68,110.72,110.63,28909.0,96395.0
2016-09-16,110.65,0.03,110.68,110.72,110.63,28909.0,96395.0
2016-09-19,110.63,-0.02,110.65,110.7,110.63,40400.0,203099.0
2016-09-20,110.69,0.06,110.65,110.69,110.62,66119.0,246037.0
2016-09-21,110.69,30.0,110.71,110.77,110.62,122277.0,250963.0
2016-09-22,110.82,0.13,110.79,110.84,110.78,75308.0,253099.0
2016-09-23,110.81,-0.01,110.83,110.84,110.8,61063.0,264033.0
2016-09-26,110.8,-0.01,110.8,110.84,110.78,56027.0,270037.0
2016-09-27,110.79,-0.01,110.82,110.83,110.77,70289.0,268718.0
2016-09-28,110.82,0.03,110.81,110.85,110.79,67035.0,274235.0
2016-09-29,110.89,0.07,110.79,110.9,110.77,86420.0,279343.0
2016-09-30,110.97,0.08,110.89,111.05,110.87,136495.0,288153.0
2016-10-03,110.97,0.08,110.89,111.05,110.87,136495.0,288153.0
2016-10-04,110.87,-0.1,110.89,110.92,110.87,85345.0,284485.0
2016-10-05,110.73,-0.14,110.77,110.78,110.73,85163.0,276720.0
2016-10-06,110.7,-0.03,110.72,110.76,110.7,80126.0,274398.0
2016-10-07,110.72,0.02,110.71,110.74,110.68,85691.0,270165.0
2016-10-10,110.64,-0.08,110.77,110.77,110.64,86485.0,270322.0
2016-10-11,110.54,-0.1,110.61,110.61,110.5,130419.0,259231.0
2016-10-12,110.62,0.08,110.57,110.63,110.52,106757.0,256167.0
2016-10-13,110.71,0.09,110.64,110.79,110.63,160136.0,254532.0
2016-10-14,110.71,30.0,110.72,110.73,110.64,121249.0,246300.0
2016-10-17,110.56,-0.15,110.63,110.64,110.56,67553.0,243773.0
2016-10-18,110.59,0.03,110.6,110.63,110.55,82682.0,236544.0
2016-10-19,110.59,30.0,110.64,110.65,110.55,93957.0,240730.0
2016-10-20,110.57,-0.02,110.58,110.6,110.55,54199.0,235584.0
2016-10-21,110.45,-0.12,110.55,110.61,110.44,171729.0,239201.0
2016-10-24,110.52,0.07,110.47,110.52,110.4,113730.0,234212.0
2016-10-25,110.43,-0.09,110.48,110.5,110.42,84283.0,234839.0
2016-10-26,110.37,-0.06,110.44,110.47,110.35,148369.0,232617.0
2016-10-27,110.39,0.02,110.35,110.44,110.34,138978.0,226738.0
2016-10-28,110.25,-0.14,110.33,110.34,110.25,113812.0,232870.0
2016-10-31,110.34,0.09,110.3,110.34,110.24,96358.0,233477.0
2016-11-01,110.25,-0.09,110.33,110.33,110.25,88570.0,228652.0
2016-11-02,110.35,0.1,110.28,110.38,110.28,123939.0,226333.0
2016-11-03,110.33,-0.02,110.37,110.41,110.3,128914.0,226297.0
2016-11-04,110.31,-0.02,110.31,110.4,110.29,115293.0,236689.0
2016-11-07,110.34,0.03,110.27,110.39,110.25,104848.0,247805.0
2016-11-08,110.35,0.01,110.36,110.42,110.34,108486.0,247090.0
2016-11-09,110.5,0.15,110.33,110.68,110.3,231622.0,250099.0
2016-11-10,110.18,-0.32,110.1,110.28,110.09,190058.0,242740.0
2016-11-11,110.0,-0.18,110.08,110.14,110.0,146868.0,239849.0
2016-11-14,109.5,-0.5,109.96,110.01,109.5,174048.0,242488.0
2016-11-15,109.57,0.07,109.6,109.73,109.5,233703.0,233301.0
2016-11-16,109.27,-0.3,109.55,109.67,109.24,172080.0,247209.0
2016-11-17,109.5,0.23,109.4,109.5,109.05,196170.0,246369.0
2016-11-18,109.36,-0.14,109.25,109.45,109.21,175321.0,247030.0
2016-11-21,109.32,-0.04,109.37,109.4,109.26,85537.0,246325.0
2016-11-22,109.25,-0.07,109.4,109.51,109.21,148515.0,240502.0
2016-11-23,109.25,30.0,109.32,109.32,109.12,98193.0,239982.0
2016-11-24,109.03,-0.22,109.2,109.21,108.99,108432.0,236027.0
2016-11-25,109.05,0.02,109.05,109.17,108.78,131738.0,243186.0
2016-11-28,109.29,0.24,109.18,109.29,109.09,116273.0,253230.0
2016-11-29,109.33,0.04,109.36,109.4,109.28,105266.0,246873.0
2016-11-30,109.32,-0.01,109.4,109.45,109.29,94957.0,244840.0
2016-12-01,109.3,-0.02,109.13,109.35,109.08,148261.0,239000.0
2016-12-02,109.16,-0.14,109.16,109.26,109.16,101777.0,234109.0
2016-12-05,109.3,0.14,109.28,109.31,109.19,90259.0,230258.0
2016-12-06,109.24,-0.06,109.25,109.38,109.24,97692.0,227869.0
2016-12-07,109.3,0.06,109.29,109.34,109.22,77150.0,225547.0
2016-12-08,109.42,0.12,109.36,109.42,109.33,66902.0,224501.0
2016-12-09,109.32,-0.1,109.31,109.37,109.24,79665.0,224337.0
2016-12-12,109.31,-0.01,109.25,109.31,109.23,62881.0,221774.0
2016-12-13,109.48,0.17,109.36,109.52,109.36,68093.0,218630.0
2016-12-14,109.59,0.11,109.49,109.63,109.48,80329.0,211997.0
2016-12-15,109.44,-0.15,109.32,109.44,109.31,111298.0,188323.0
2016-12-16,109.5,0.06,109.41,109.5,109.4,61827.0,112342.0
2016-12-19,109.42,-0.08,109.49,109.52,109.42,47284.0,53807.0
2016-12-20,109.48,0.06,109.5,109.54,109.47,19573.0,0.0
