Date,Settle,Open,High,Low,Last,Change,Volume,Previous Day Open Interest
2016-02-29,112.025,,,,,,0.0,0.0
2016-03-01,111.775,,,,,0.25,0.0,0.0
2016-03-02,111.075,,,,,0.7,0.0,0.0
2016-03-03,111.175,,,,,0.1,0.0,0.0
2016-03-04,111.25,,,,,0.075,0.0,0.0
2016-03-07,111.0,,,,,0.25,0.0,0.0
2016-03-08,112.35,,,,,1.35,0.0,0.0
2016-03-09,112.1,,,,,0.25,0.0,0.0
2016-03-10,112.45,,,,,0.35,0.0,0.0
2016-03-11,112.55,,,,,0.1,0.0,0.0
2016-03-14,112.5,,,,,0.05,0.0,0.0
2016-03-15,112.75,,,,,0.25,0.0,0.0
2016-03-16,113.0,,,,,0.25,0.0,0.0
2016-03-17,112.85,,,,,0.15,0.0,0.0
2016-03-18,111.075,,,,,1.775,0.0,0.0
2016-03-21,111.05,,,,,0.025,0.0,0.0
2016-03-22,110.05,,,,,1.0,0.0,0.0
2016-03-23,109.475,,,,,0.575,0.0,0.0
2016-03-24,109.9,,,,,0.425,0.0,0.0
2016-03-28,109.85,,,,,0.05,0.0,0.0
2016-03-29,109.9,,109.9,,109.9,0.05,0.0,0.0
2016-03-30,108.4,109.9,109.9,109.9,109.9,1.5,4.0,0.0
2016-03-31,109.65,,,,,1.25,0.0,3.0
2016-04-01,109.275,,,,,0.375,0.0,3.0
2016-04-04,109.25,,,,,0.025,0.0,3.0
2016-04-05,107.5,107.675,107.675,107.5,107.5,1.75,3.0,3.0
2016-04-06,108.0,108.0,108.0,108.0,108.0,0.5,1.0,6.0
2016-04-07,107.55,107.5,107.5,107.5,107.5,0.45,4.0,7.0
2016-04-08,108.375,,109.0,,109.0,0.825,3.0,10.0
2016-04-11,109.1,109.1,109.1,109.1,109.1,0.725,2.0,10.0
2016-04-12,109.0,108.35,109.0,108.35,109.0,0.1,7.0,12.0
2016-04-13,108.775,108.925,108.975,108.775,108.775,0.225,7.0,19.0
2016-04-14,108.95,109.0,109.0,109.0,109.0,0.175,2.0,24.0
2016-04-15,109.0,108.625,109.0,108.625,109.0,0.05,9.0,26.0
2016-04-18,107.0,107.6,107.6,107.0,107.0,2.0,6.0,30.0
2016-04-19,106.75,106.5,106.5,106.5,106.5,0.25,1.0,33.0
2016-04-20,106.0,107.25,107.25,105.9,106.05,0.75,11.0,34.0
2016-04-21,105.8,105.8,106.0,105.675,105.8,0.2,10.0,39.0
2016-04-22,104.525,105.25,105.25,104.5,104.6,1.275,6.0,46.0
2016-04-25,104.825,,,,,0.3,11.0,48.0
2016-04-26,106.275,106.0,106.0,106.0,106.0,1.45,6.0,52.0
2016-04-27,105.375,106.725,106.725,104.9,105.55,0.9,55.0,57.0
2016-04-28,103.475,103.275,103.475,103.275,103.475,1.9,8.0,91.0
2016-04-29,104.425,104.05,104.5,103.3,104.5,0.95,20.0,92.0
2016-05-02,105.0,105.0,105.625,105.0,105.625,0.575,11.0,107.0
2016-05-03,105.375,105.45,105.45,104.975,105.375,0.375,15.0,108.0
2016-05-04,104.725,104.875,105.275,104.475,104.475,0.65,5.0,122.0
2016-05-05,105.85,105.075,106.0,105.075,105.825,1.125,26.0,121.0
2016-05-06,106.0,106.225,106.225,105.675,106.0,0.15,28.0,137.0
2016-05-09,107.3,106.75,108.2,106.75,107.3,1.3,31.0,158.0
2016-05-10,107.5,107.1,107.5,107.1,107.5,0.2,21.0,169.0
2016-05-11,107.8,107.9,108.1,107.45,107.45,0.3,12.0,181.0
2016-05-12,106.475,107.8,107.9,106.3,106.525,1.325,19.0,184.0
2016-05-13,105.3,104.8,105.25,104.0,105.2,1.175,8.0,195.0
2016-05-16,106.675,106.8,106.8,106.75,106.75,1.375,4.0,203.0
2016-05-17,106.8,106.7,106.8,106.35,106.8,0.125,37.0,206.0
2016-05-18,107.0,106.975,107.0,106.875,107.0,0.2,9.0,218.0
2016-05-19,105.9,106.875,107.0,105.575,105.7,1.1,31.0,224.0
2016-05-20,106.45,106.0,106.5,106.0,106.45,0.55,6.0,244.0
2016-05-23,104.0,105.0,105.0,104.0,104.0,2.45,14.0,247.0
2016-05-24,103.8,104.25,104.375,103.2,103.95,0.2,20.0,247.0
2016-05-25,104.4,104.425,104.625,104.15,104.5,0.6,18.0,257.0
2016-05-26,105.575,104.6,105.7,103.25,105.425,1.175,46.0,273.0
2016-05-27,106.025,105.725,106.175,105.625,106.175,0.45,26.0,306.0
2016-05-31,106.75,106.2,106.95,106.2,106.425,0.725,90.0,321.0
2016-06-01,107.0,105.85,107.0,105.5,107.0,0.25,37.0,367.0
2016-06-02,107.125,106.975,107.5,106.975,107.0,0.125,32.0,384.0
2016-06-03,107.675,107.025,107.7,107.025,107.675,0.55,26.0,396.0
2016-06-06,107.275,107.7,108.0,106.025,106.925,0.4,58.0,414.0
2016-06-07,107.35,106.1,107.65,106.1,107.55,0.075,44.0,452.0
2016-06-08,108.3,106.925,108.475,106.225,108.3,0.95,46.0,468.0
2016-06-09,108.25,108.0,108.3,107.75,108.25,0.05,74.0,491.0
2016-06-10,107.225,108.0,108.0,106.95,107.225,1.025,29.0,545.0
2016-06-13,104.75,106.575,106.575,104.275,104.75,2.475,46.0,560.0
2016-06-14,106.4,104.8,106.4,104.225,106.05,1.65,85.0,582.0
2016-06-15,105.55,106.325,106.35,105.325,105.575,0.85,63.0,651.0
2016-06-16,105.0,105.85,105.875,103.725,104.75,0.55,165.0,687.0
2016-06-17,104.6,104.525,105.475,104.525,104.525,0.4,44.0,804.0
2016-06-20,103.25,104.275,104.275,102.4,103.225,1.35,36.0,827.0
2016-06-21,103.925,103.5,104.325,102.975,103.725,0.675,65.0,855.0
2016-06-22,103.875,103.65,104.6,102.925,103.9,0.05,95.0,867.0
2016-06-23,104.975,103.4,105.025,103.325,104.975,1.1,92.0,902.0
2016-06-24,103.85,104.025,104.25,102.5,103.85,1.125,191.0,933.0
2016-06-27,105.1,104.725,105.1,104.1,104.95,1.25,138.0,1026.0
2016-06-28,105.45,105.175,105.725,105.175,105.5,0.35,105.0,1079.0
2016-06-29,105.775,105.55,106.2,105.525,105.8,0.325,217.0,1139.0
2016-06-30,106.625,106.0,106.7,105.7,106.325,0.85,144.0,1247.0
2016-07-01,105.85,106.6,106.925,105.525,105.65,0.775,135.0,1334.0
2016-07-05,106.4,105.125,106.425,103.75,106.35,0.55,204.0,1406.0
2016-07-06,105.675,106.275,106.5,105.525,105.55,0.725,85.0,1520.0
2016-07-07,105.525,105.725,106.225,105.025,105.025,0.15,107.0,1544.0
2016-07-08,106.725,105.975,106.825,105.325,106.55,1.2,147.0,1594.0
2016-07-11,104.675,106.125,106.25,104.425,104.8,2.05,234.0,1695.0
2016-07-12,104.175,105.0,105.0,103.45,104.2,0.5,98.0,1842.0
2016-07-13,104.975,104.05,105.075,103.975,104.9,0.8,160.0,1870.0
2016-07-14,105.8,105.15,106.025,105.15,105.45,0.825,88.0,1954.0
2016-07-15,104.125,105.325,106.0,104.0,104.025,1.675,101.0,1958.0
2016-07-18,104.7,103.5,104.7,103.5,104.6,0.575,104.0,1989.0
2016-07-19,103.475,104.525,104.525,103.0,103.0,1.225,118.0,2037.0
2016-07-20,102.475,102.775,103.625,102.05,102.275,1.0,66.0,2058.0
2016-07-21,100.3,102.3,102.3,99.95,100.125,2.175,149.0,2060.0
2016-07-22,101.8,100.625,102.0,100.275,101.7,1.5,118.0,2104.0
2016-07-25,104.0,102.75,104.0,102.625,103.7,2.2,426.0,2134.0
2016-07-26,104.575,104.2,104.8,103.525,104.325,0.575,451.0,2294.0
2016-07-27,104.675,104.0,104.875,104.0,104.675,0.1,267.0,2583.0
2016-07-28,103.425,104.7,105.15,103.375,103.375,1.25,238.0,2785.0
2016-07-29,103.3,103.25,103.8,102.85,103.425,0.125,205.0,2924.0
2016-08-01,105.35,105.0,105.7,104.65,105.275,2.05,430.0,3031.0
2016-08-02,105.35,105.1,105.6,104.45,105.225,,134.0,3217.0
2016-08-03,105.725,105.425,105.9,105.275,105.675,0.375,133.0,3231.0
2016-08-04,104.9,105.025,105.975,104.225,104.225,0.825,180.0,3215.0
2016-08-05,105.475,104.9,105.6,104.15,105.45,0.575,255.0,3256.0
2016-08-08,105.775,105.7,105.875,105.35,105.55,0.3,182.0,3309.0
2016-08-09,105.975,105.5,106.1,105.35,106.0,0.2,250.0,3397.0
2016-08-10,105.5,105.775,106.125,105.3,105.675,0.475,114.0,3503.0
2016-08-11,104.775,105.425,105.6,104.15,104.8,0.725,218.0,3564.0
2016-08-12,104.25,104.775,104.775,104.0,104.2,0.525,220.0,3671.0
2016-08-15,104.375,104.5,104.85,104.125,104.275,0.125,200.0,3798.0
2016-08-16,103.475,104.05,104.375,103.25,103.25,0.9,173.0,3878.0
2016-08-17,103.4,103.125,104.0,102.925,103.375,0.075,81.0,3955.0
2016-08-18,102.975,103.225,103.475,102.8,102.975,0.425,321.0,3978.0
2016-08-19,103.225,102.8,103.65,102.6,102.95,0.25,158.0,4097.0
2016-08-22,103.15,102.875,103.75,102.4,103.0,0.075,232.0,4149.0
2016-08-23,102.625,102.925,102.925,102.275,102.475,0.525,96.0,4254.0
2016-08-24,101.65,102.05,102.225,101.4,101.525,0.975,245.0,4264.0
2016-08-25,101.125,101.3,101.425,100.7,101.15,0.525,155.0,4326.0
2016-08-26,100.225,101.3,101.525,100.0,100.35,0.9,289.0,4361.0
2016-08-29,99.125,100.0,100.125,98.825,99.05,1.1,329.0,4325.0
2016-08-30,100.9,99.2,101.0,98.4,100.7,1.775,674.0,4396.0
2016-08-31,100.35,100.8,100.925,99.45,100.15,0.55,463.0,4613.0
2016-09-01,98.3,100.15,100.225,98.15,98.3,2.05,476.0,4847.0
2016-09-02,97.075,98.35,98.65,97.025,97.025,1.225,414.0,5076.0
2016-09-06,96.25,97.0,97.25,95.55,96.15,0.825,502.0,5240.0
2016-09-07,97.475,96.0,97.725,96.0,97.25,1.225,312.0,5429.0
2016-09-08,96.425,97.475,97.575,95.675,96.45,1.05,461.0,5535.0
2016-09-09,97.125,96.425,97.5,95.25,96.75,0.7,623.0,5840.0
2016-09-12,97.85,97.275,98.625,96.95,97.85,0.725,606.0,5962.0
2016-09-13,97.3,97.85,97.85,96.5,97.225,0.55,283.0,6062.0
2016-09-14,97.35,97.0,97.625,96.25,97.375,0.05,262.0,6147.0
2016-09-15,97.975,97.75,98.075,97.45,97.95,0.625,273.0,6182.0
2016-09-16,98.45,97.575,98.575,97.525,98.45,0.475,267.0,6232.0
2016-09-19,98.275,98.65,98.875,97.5,98.2,0.175,238.0,6228.0
2016-09-20,98.4,98.25,98.8,98.15,98.3,0.125,362.0,6248.0
2016-09-21,99.125,98.75,99.275,98.55,99.1,0.725,629.0,6385.0
2016-09-22,98.45,99.0,99.55,98.25,98.3,0.675,782.0,6551.0
2016-09-23,98.05,98.05,98.275,95.85,98.05,0.4,669.0,6754.0
2016-09-26,97.275,97.225,97.45,96.25,97.05,0.775,318.0,6850.0
2016-09-27,95.45,96.675,96.825,95.0,95.3,1.825,571.0,6900.0
2016-09-28,95.775,95.1,96.775,94.525,95.725,0.325,501.0,6785.0
2016-09-29,95.475,96.075,96.45,95.325,95.45,0.3,611.0,6829.0
2016-09-30,93.0,95.225,95.275,92.65,92.975,2.475,883.0,6876.0
2016-10-03,93.475,93.45,94.075,92.025,93.375,0.475,1160.0,7002.0
2016-10-04,95.6,93.45,95.625,93.225,95.3,2.125,753.0,7386.0
2016-10-05,95.675,95.375,95.7,94.6,95.6,0.075,575.0,7542.0
2016-10-06,95.2,95.375,95.45,94.55,94.875,0.475,762.0,7639.0
