Date,Settle,Open,High,Low,Last,Change,Volume,Previous Day Open Interest
2015-08-18,0.0581,,,,,20.0,0.0,0.0
2015-08-19,0.0575,,,,,600.0,0.0,0.0
2015-08-20,0.05699,,,,,510.0,0.0,0.0
2015-08-21,0.05614,,,,,850.0,0.0,0.0
2015-08-24,0.05542,,,,,720.0,0.0,0.0
2015-08-25,0.0558,,,,,380.0,0.0,0.0
2015-08-26,0.05556,,,,,240.0,0.0,0.0
2015-08-27,0.05643,,,,,870.0,0.0,0.0
2015-08-28,0.05696,,,,,530.0,0.0,0.0
2015-08-31,0.05706,,,,,100.0,0.0,0.0
2015-09-01,0.05622,,,,,840.0,0.0,0.0
2015-09-02,0.05657,,,,,350.0,0.0,0.0
2015-09-03,0.05669,,,,,120.0,0.0,0.0
2015-09-04,0.05636,,,,,330.0,0.0,0.0
2015-09-08,0.05682,,,,,460.0,0.0,0.0
2015-09-09,0.05667,,,,,150.0,0.0,0.0
2015-09-10,0.05693,,,,,260.0,0.0,0.0
2015-09-11,0.05677,,,,,160.0,0.0,0.0
2015-09-14,0.0569,,,,,130.0,0.0,0.0
2015-09-15,0.05706,,,,,160.0,0.0,0.0
2015-09-16,0.05761,,,,,550.0,0.0,0.0
2015-09-17,0.05822,,,,,610.0,0.0,0.0
2015-09-18,0.05765,,,,,570.0,0.0,0.0
2015-09-21,0.05738,,,,,270.0,0.0,0.0
2015-09-22,0.05661,,,,,770.0,0.0,0.0
2015-09-23,0.05585,,,,,760.0,0.0,0.0
2015-09-24,0.0565,,,,,650.0,0.0,0.0
2015-09-25,0.05638,,,,,120.0,0.0,0.0
2015-09-28,0.05597,,,,,410.0,0.0,0.0
2015-09-29,0.05604,,,,,70.0,0.0,0.0
2015-09-30,0.05648,,,,,440.0,0.0,0.0
2015-10-01,0.05667,,,,,190.0,0.0,0.0
2015-10-02,0.057,,,,,330.0,0.0,0.0
2015-10-05,0.05722,,,,,220.0,0.0,0.0
2015-10-06,0.05737,,,,,150.0,0.0,0.0
2015-10-07,0.0576,,,,,230.0,0.0,0.0
2015-10-08,0.05819,,,,,590.0,0.0,0.0
2015-10-09,0.05832,,,,,130.0,0.0,0.0
2015-10-12,0.05832,,,,,,0.0,0.0
2015-10-13,0.0577,,,,,620.0,0.0,0.0
2015-10-14,0.05813,,,,,430.0,0.0,0.0
2015-10-15,0.05866,,,,,530.0,0.0,0.0
2015-10-16,0.05862,,,,,40.0,0.0,0.0
2015-10-19,0.05821,,,,,410.0,0.0,0.0
2015-10-20,0.05792,,,,,290.0,0.0,0.0
2015-10-21,0.05776,,,,,160.0,0.0,0.0
2015-10-22,0.05833,,,,,570.0,0.0,0.0
2015-10-23,0.0579,,,,,430.0,0.0,0.0
2015-10-26,0.05808,,,,,180.0,0.0,0.0
2015-10-27,0.05815,,,,,70.0,0.0,0.0
2015-10-28,0.05777,,,,,380.0,0.0,0.0
2015-10-29,0.05787,,,,,100.0,0.0,0.0
2015-10-30,0.05821,,,,,340.0,0.0,0.0
2015-11-02,0.05838,,,,,170.0,0.0,0.0
2015-11-03,0.05862,,,,,240.0,0.0,0.0
2015-11-04,0.05813,,,,,490.0,0.0,0.0
2015-11-05,0.05786,,,,,270.0,0.0,0.0
2015-11-06,0.05712,,,,,740.0,0.0,0.0
2015-11-09,0.05721,,,,,90.0,0.0,0.0
2015-11-10,0.05737,,,,,160.0,0.0,0.0
2015-11-11,0.05742,,,,,50.0,0.0,0.0
2015-11-12,0.05748,,,,,60.0,0.0,0.0
2015-11-13,0.0576,,,,,120.0,0.0,0.0
2015-11-16,0.05727,,,,,330.0,0.0,0.0
2015-11-17,0.05737,,,,,100.0,0.0,0.0
2015-11-18,0.05743,,,,,60.0,0.0,0.0
2015-11-19,0.05797,,,,,540.0,0.0,0.0
2015-11-20,0.05831,,,,,340.0,0.0,0.0
2015-11-23,0.05827,,,,,40.0,0.0,0.0
2015-11-24,0.0584,,,,,130.0,0.0,0.0
2015-11-25,0.05838,,,,,20.0,0.0,0.0
2015-11-27,0.0581,,,,,280.0,0.0,0.0
2015-11-30,0.05814,,,,,40.0,0.0,0.0
2015-12-01,0.05834,,,,,200.0,0.0,0.0
2015-12-02,0.05811,,,,,230.0,0.0,0.0
2015-12-03,0.05772,,,,,390.0,0.0,0.0
2015-12-04,0.05797,,,,,250.0,0.0,0.0
2015-12-07,0.05716,,,,,810.0,0.0,0.0
2015-12-08,0.05686,,,,,300.0,0.0,0.0
2015-12-09,0.0566,,,,,260.0,0.0,0.0
2015-12-10,0.05624,,,,,360.0,0.0,0.0
2015-12-11,0.05564,,,,,600.0,0.0,0.0
2015-12-14,0.05574,,,,,100.0,0.0,0.0
2015-12-15,0.05646,,,,,720.0,0.0,0.0
2015-12-16,0.05697,,,,,510.0,0.0,0.0
2015-12-17,0.05693,,,,,40.0,0.0,0.0
2015-12-18,0.0568,,,,,130.0,0.0,0.0
2015-12-21,0.05624,,,,,560.0,0.0,0.0
2015-12-22,0.05627,,,,,30.0,0.0,0.0
2015-12-23,0.05619,,,,,80.0,0.0,0.0
2015-12-24,0.05607,,,,,120.0,0.0,0.0
2015-12-28,0.05614,,,,,70.0,0.0,0.0
2015-12-29,0.05615,,,,,10.0,0.0,0.0
2015-12-30,0.05573,,,,,420.0,0.0,0.0
2015-12-31,0.05628,,,,,550.0,0.0,0.0
2016-01-04,0.05591,,,,,370.0,0.0,0.0
2016-01-05,0.05588,,,,,30.0,0.0,0.0
2016-01-06,0.05523,,,,,650.0,0.0,0.0
2016-01-07,0.05453,,,,,700.0,0.0,0.0
2016-01-08,0.05419,,,,,340.0,0.0,0.0
2016-01-11,0.05399,,,,,200.0,0.0,0.0
2016-01-12,0.05426,,,,,270.0,0.0,0.0
2016-01-13,0.05416,,,,,100.0,0.0,0.0
2016-01-14,0.05435,,,,,190.0,0.0,0.0
2016-01-15,0.05315,,,,,1200.0,0.0,0.0
2016-01-19,0.05308,,,,,70.0,0.0,0.0
2016-01-20,0.05239,,,,,690.0,0.0,0.0
2016-01-21,0.05187,,,,,520.0,0.0,0.0
2016-01-22,0.05269,,,,,820.0,0.0,0.0
2016-01-25,0.05224,,,,,450.0,0.0,0.0
2016-01-26,0.05259,,,,,350.0,0.0,0.0
2016-01-27,0.05249,,,,,100.0,0.0,0.0
2016-01-28,0.05294,,,,,450.0,0.0,0.0
2016-01-29,0.05348,,,,,540.0,0.0,0.0
2016-02-01,0.05323,,,,,250.0,0.0,0.0
2016-02-02,0.0525,,,,,730.0,0.0,0.0
2016-02-03,0.0533,,,,,800.0,0.0,0.0
2016-02-04,0.05314,,,,,160.0,0.0,0.0
2016-02-05,0.0527,,,,,440.0,0.0,0.0
2016-02-08,0.05179,,,,,910.0,0.0,0.0
2016-02-09,0.05162,,,,,170.0,0.0,0.0
2016-02-10,0.05149,,,,,130.0,0.0,0.0
2016-02-11,0.05034,,,,,1150.0,0.0,0.0
2016-02-12,0.05131,,,,,970.0,0.0,0.0
2016-02-16,0.05145,,,,,140.0,0.0,0.0
2016-02-17,0.05279,,,,,1340.0,0.0,0.0
2016-02-18,0.05306,,,,,270.0,0.0,0.0
2016-02-19,0.05315,,,,,90.0,0.0,0.0
2016-02-22,0.05354,,,,,390.0,0.0,0.0
2016-02-23,0.05315,,,,,390.0,0.0,0.0
2016-02-24,0.05321,,,,,60.0,0.0,0.0
2016-02-25,0.05344,,,,,230.0,0.0,0.0
2016-02-26,0.05305,,,,,390.0,0.0,0.0
2016-02-29,0.05354,,,,,490.0,0.0,0.0
2016-03-01,0.05411,,,,,570.0,0.0,0.0
2016-03-02,0.05435,,,,,240.0,0.0,0.0
2016-03-03,0.0541,,,,,250.0,0.0,0.0
2016-03-04,0.05444,,,,,340.0,0.0,0.0
2016-03-07,0.05464,,,,,200.0,0.0,0.0
2016-03-08,0.05423,,,,,410.0,0.0,0.0
2016-03-09,0.05469,,,,,460.0,0.0,0.0
2016-03-10,0.05434,,,,,350.0,0.0,0.0
2016-03-11,0.05486,,,,,520.0,0.0,0.0
2016-03-14,0.05471,,,,,150.0,0.0,0.0
2016-03-15,0.05421,,,,,500.0,0.0,0.0
2016-03-16,0.0548,,,,,590.0,0.0,0.0
2016-03-17,0.05581,,,,,1010.0,0.0,0.0
2016-03-18,0.05595,,,,,140.0,0.0,0.0
2016-03-21,0.05578,,,,,170.0,0.0,0.0
2016-03-22,0.05601,,,,,230.0,0.0,0.0
2016-03-23,0.0552,,,,,810.0,0.0,0.0
2016-03-24,0.05501,,,,,190.0,0.0,0.0
2016-03-28,0.05569,,,,,680.0,0.0,0.0
2016-03-29,0.05605,,,,,360.0,0.0,0.0
2016-03-30,0.05635,,,,,300.0,0.0,0.0
2016-03-31,0.05615,,,,,200.0,0.0,0.0
2016-04-01,0.05593,,,,,220.0,0.0,0.0
2016-04-04,0.05553,,,,,400.0,0.0,0.0
2016-04-05,0.05487,,,,,660.0,0.0,0.0
2016-04-06,0.05497,,,,,100.0,0.0,0.0
2016-04-07,0.05417,,,,,800.0,0.0,0.0
2016-04-08,0.05459,,,,,420.0,0.0,0.0
2016-04-11,0.05516,,,,,570.0,0.0,0.0
2016-04-12,0.05564,,,,,480.0,0.0,0.0
2016-04-13,0.05563,,,,,10.0,0.0,0.0
2016-04-14,0.05575,,,,,120.0,0.0,0.0
2016-04-15,0.05533,,,,,420.0,0.0,0.0
2016-04-18,0.05566,,,,,330.0,0.0,0.0
2016-04-19,0.05619,,,,,530.0,0.0,0.0
2016-04-20,0.05637,,,,,180.0,0.0,0.0
2016-04-21,0.05555,,,,,820.0,0.0,0.0
2016-04-22,0.05575,,,,,200.0,0.0,0.0
2016-04-25,0.05517,,,,,580.0,0.0,0.0
2016-04-26,0.05583,,,,,660.0,0.0,0.0
2016-04-27,0.05608,,,,,250.0,0.0,0.0
2016-04-28,0.05643,,,,,350.0,0.0,0.0
2016-04-29,0.05645,,,,,20.0,0.0,0.0
2016-05-02,0.05645,,,,,,0.0,0.0
2016-05-03,0.05527,,,,,1180.0,0.0,0.0
