Date,Settle,Open,High,Low,Last,Change,Volume,Open Interest
2015-06-16,0.6725,,,,,0.0008,0.0,0.0
2015-06-17,0.6737,,,,,0.0012,0.0,0.0
2015-06-18,0.6672,,,,,0.0065,0.0,0.0
2015-06-19,0.6648,,,,,0.0024,0.0,0.0
2015-06-22,0.6619,,,,,0.0029,0.0,0.0
2015-06-23,0.6596,,,,,0.0023,0.0,0.0
2015-06-24,0.6638,,,,,0.0042,0.0,0.0
2015-06-25,0.6663,,,,,0.0025,0.0,0.0
2015-06-26,0.66,,,,,0.0063,0.0,0.0
2015-06-29,0.663,,,,,0.003,0.0,0.0
2015-06-30,0.6533,,,,,0.0097,0.0,0.0
2015-07-01,0.6505,,,,,0.0028,0.0,0.0
2015-07-02,0.6481,,,,,0.0024,0.0,0.0
2015-07-06,0.6459,,,,,0.0022,0.0,0.0
2015-07-07,0.6426,,,,,0.0033,0.0,0.0
2015-07-08,0.6491,,,,,0.0065,0.0,0.0
2015-07-09,0.6498,,,,,0.0007,0.0,0.0
2015-07-10,0.6486,,,,,0.0012,0.0,0.0
2015-07-14,0.648,,,,,0.0015,0.0,0.0
2015-07-15,0.6374,,,,,0.0106,0.0,0.0
2015-07-16,0.6304,,,,,0.007,0.0,0.0
2015-07-17,0.6322,,,,,0.0018,0.0,0.0
2015-07-20,0.6372,,,,,0.005,0.0,0.0
2015-07-21,0.6435,,,,,0.0063,0.0,0.0
2015-07-22,0.6381,,,,,0.0054,0.0,0.0
2015-07-23,0.641,,,,,0.0029,0.0,0.0
2015-07-24,0.6366,,,,,0.0044,0.0,0.0
2015-07-27,0.6404,,,,,0.0038,0.0,0.0
2015-07-28,0.6474,,,,,0.007,0.0,0.0
2015-07-29,0.6467,,,,,0.0007,0.0,0.0
2015-07-30,0.6397,,,,,0.007,0.0,0.0
2015-07-31,0.6379,,,,,0.0018,0.0,0.0
2015-08-03,0.6389,,,,,0.001,0.0,0.0
2015-08-04,0.6336,,,,,0.0053,0.0,0.0
2015-08-05,0.6301,,,,,0.0035,0.0,0.0
2015-08-06,0.635,,,,,0.0049,0.0,0.0
2015-08-07,0.6434,,,,,0.0084,0.0,0.0
2015-08-10,0.6419,,,,,0.0015,0.0,0.0
2015-08-11,0.6333,,,,,0.0086,0.0,0.0
