Date,Settle,Open,High,Low,Last,Change,Volume,Previous Day Open Interest
2015-12-15,0.6574,,,,,0.0002,0.0,0.0
2015-12-16,0.6613,,,,,0.0039,0.0,0.0
2015-12-17,0.6506,,,,,0.0107,0.0,0.0
2015-12-18,0.6557,,,,,0.0051,0.0,0.0
2015-12-21,0.6588,,,,,0.0031,0.0,0.0
2015-12-22,0.6615,,,,,0.0027,0.0,0.0
2015-12-23,0.661,,,,,0.0005,0.0,0.0
2015-12-24,0.6654,,,,,0.0044,0.0,0.0
2015-12-28,0.6659,,,,,0.0005,0.0,0.0
2015-12-29,0.6694,,,,,0.0035,0.0,0.0
2015-12-30,0.6659,,,,,0.0035,0.0,0.0
2015-12-31,0.6653,,,,,0.0006,0.0,0.0
2016-01-04,0.6567,,,,,0.0086,0.0,0.0
2016-01-05,0.6513,,,,,0.0054,0.0,0.0
2016-01-06,0.6467,,,,,0.0046,0.0,0.0
2016-01-07,0.645,,,,,0.0017,0.0,0.0
2016-01-08,0.6375,,,,,0.0075,0.0,0.0
2016-01-11,0.6369,,,,,0.0006,0.0,0.0
2016-01-12,0.636,,,,,0.0009,0.0,0.0
2016-01-13,0.6354,,,,,0.0006,0.0,0.0
2016-01-14,0.6311,,,,,0.0043,0.0,0.0
2016-01-15,0.6269,,,,,0.0042,0.0,0.0
2016-01-19,0.6308,,,,,0.0039,0.0,0.0
2016-01-20,0.6248,,,,,0.006,0.0,0.0
2016-01-21,0.6327,,,,,0.0079,0.0,0.0
2016-01-22,0.6316,,,,,0.0011,0.0,0.0
2016-01-25,0.6306,,,,,0.001,0.0,0.0
2016-01-26,0.6332,,,,,0.0026,0.0,0.0
2016-01-27,0.6312,,,,,0.002,0.0,0.0
2016-01-28,0.6305,,,,,0.0007,0.0,0.0
2016-01-29,0.6307,,,,,0.0002,0.0,0.0
2016-02-01,0.6352,,,,,0.0045,0.0,0.0
2016-02-02,0.6311,,,,,0.0041,0.0,0.0
2016-02-03,0.6499,,,,,0.0188,0.0,0.0
2016-02-04,0.6554,,,,,0.0055,0.0,0.0
2016-02-05,0.6449,,,,,0.0105,0.0,0.0
