Date,Settle,Open,High,Low,Last,Change,Volume,Open Interest
2015-09-28,653.0,,,,,0.0,0.0,0.0
2015-09-29,658.95,,,,,5.95,0.0,0.0
2015-09-30,652.3,,,,,6.65,0.0,0.0
2015-10-01,680.75,,,,,28.45,0.0,0.0
2015-10-02,698.9,,,,,18.15,0.0,0.0
2015-10-05,690.65,,,,,8.25,0.0,0.0
2015-10-06,709.15,,,,,18.5,0.0,0.0
2015-10-07,700.9,,,,,8.25,0.0,0.0
2015-10-08,704.6,,,,,3.7,0.0,0.0
2015-10-09,709.65,,,,,5.05,0.0,0.0
2015-10-12,695.95,,,,,13.7,0.0,0.0
2015-10-13,686.8,,,,,9.15,0.0,0.0
2015-10-14,702.3,,,,,15.5,0.0,0.0
2015-10-15,706.4,,,,,4.1,0.0,0.0
2015-10-16,700.9,,,,,5.5,0.0,0.0
2015-10-19,689.55,,,,,11.35,0.0,0.0
2015-10-20,696.25,,,,,6.7,0.0,0.0
2015-10-21,678.55,,,,,17.7,0.0,0.0
2015-10-22,686.95,,,,,8.4,0.0,0.0
2015-10-23,695.2,,,,,8.25,0.0,0.0
2015-10-26,685.3,,,,,9.9,0.0,0.0
2015-10-27,680.15,,,,,5.15,0.0,0.0
2015-10-28,687.6,,,,,7.45,0.0,0.0
2015-10-29,672.3,,,,,15.3,0.0,0.0
2015-10-30,678.7,,,,,6.4,0.0,0.0
2015-11-02,651.9,,,,,26.8,0.0,0.0
2015-11-03,645.7,,,,,6.2,0.0,0.0
2015-11-04,625.15,,,,,20.55,0.0,0.0
2015-11-05,608.05,,,,,17.1,0.0,0.0
2015-11-06,614.85,,,,,6.8,0.0,0.0
2015-11-09,598.75,,,,,16.1,0.0,0.0
2015-11-10,599.6,,,,,0.85,0.0,0.0
2015-11-11,578.75,,,,,20.85,0.0,0.0
2015-11-12,560.4,,,,,18.35,0.0,0.0
2015-11-13,540.5,,,,,19.9,0.0,0.0
2015-11-16,552.7,,,,,12.2,0.0,0.0
2015-11-17,547.8,,,,,4.9,0.0,0.0
2015-11-18,533.35,,,,,14.45,0.0,0.0
2015-11-19,542.45,,,,,9.1,0.0,0.0
2015-11-20,560.4,,550.0,,550.0,17.95,0.0,0.0
2015-11-23,542.95,,,,,17.45,0.0,0.0
2015-11-24,543.4,,,,,0.45,0.0,0.0
2015-11-25,553.15,,,,,9.75,0.0,0.0
2015-11-27,551.9,,,,,1.25,0.0,0.0
2015-11-30,544.6,,,,,7.3,0.0,0.0
2015-12-01,540.4,,,,,4.2,0.0,0.0
2015-12-02,527.0,,,,,13.4,0.0,0.0
2015-12-03,538.0,,,,,11.0,0.0,0.0
2015-12-04,567.85,,,,,29.85,0.0,0.0
2015-12-07,556.45,,,,,11.4,0.0,0.0
2015-12-08,548.8,,,,,7.65,0.0,0.0
2015-12-09,553.25,,,,,4.45,0.0,0.0
2015-12-10,543.4,,,,,9.85,0.0,0.0
2015-12-11,545.75,,,,,2.35,0.0,0.0
2015-12-14,549.85,,,,,4.1,0.0,0.0
2015-12-15,568.1,,,,,18.25,0.0,0.0
2015-12-16,573.05,,,,,4.95,0.0,0.0
2015-12-17,558.55,,,,,14.5,0.0,0.0
2015-12-18,560.05,,,,,1.5,0.0,0.0
2015-12-21,554.45,553.4,553.4,553.4,553.4,5.6,1.0,0.0
2015-12-22,555.7,,,,,1.25,0.0,1.0
2015-12-23,554.15,,,,,1.55,0.0,1.0
2015-12-24,560.0,,,,,5.85,0.0,1.0
2015-12-28,552.7,,,,,7.3,0.0,1.0
2015-12-29,557.15,,,,,4.45,0.0,1.0
2015-12-30,549.95,,,,,7.2,0.0,1.0
2015-12-31,562.95,,,,,13.0,0.0,1.0
2016-01-04,545.25,,,,,17.7,0.0,1.0
2016-01-05,536.9,,,,,8.35,0.0,1.0
2016-01-06,506.3,,,,,30.6,0.0,1.0
2016-01-07,494.75,,,,,11.55,0.0,1.0
2016-01-08,495.55,,496.4,,496.4,0.8,0.0,1.0
2016-01-11,476.15,,,,,19.4,0.0,1.0
2016-01-12,471.65,,,,,4.5,0.0,1.0
2016-01-13,487.55,,,,,15.9,0.0,1.0
2016-01-14,492.4,,,,,4.85,0.0,1.0
2016-01-15,488.2,,,,,4.2,0.0,1.0
2016-01-19,498.1,,,,,9.9,0.0,1.0
2016-01-20,490.25,,,,,7.85,0.0,1.0
2016-01-21,500.25,,,,,10.0,0.0,1.0
2016-01-22,501.1,,,,,0.85,0.0,1.0
2016-01-25,492.7,,,,,8.4,0.0,1.0
2016-01-26,494.1,,,,,1.4,0.0,1.0
2016-01-27,503.55,,,,,9.45,0.0,1.0
2016-01-28,493.35,,,,,10.2,0.0,1.0
2016-01-29,499.85,,,,,6.5,0.0,1.0
2016-02-01,503.85,,,,,4.0,0.0,1.0
2016-02-02,492.85,,,,,11.0,0.0,27.0
2016-02-03,517.15,,,,,24.3,0.0,27.0
2016-02-04,516.85,,,,,0.3,0.0,27.0
2016-02-05,500.1,,,,,16.75,0.0,27.0
2016-02-08,519.55,,,,,19.45,0.0,27.0
2016-02-09,518.35,,,,,1.2,0.0,27.0
2016-02-10,526.55,,,,,8.2,0.0,27.0
2016-02-11,526.2,,,,,0.35,0.0,27.0
2016-02-12,528.75,,,,,2.55,0.0,27.0
2016-02-16,511.3,,,,,17.45,0.0,27.0
2016-02-17,517.5,,,,,6.2,0.0,27.0
2016-02-18,506.45,,,,,11.05,0.0,27.0
2016-02-19,500.75,,,,,5.7,0.0,27.0
2016-02-22,500.15,,,,,0.6,0.0,27.0
2016-02-23,501.4,,,,,1.25,0.0,27.0
2016-02-24,488.35,,,,,13.05,0.0,27.0
2016-02-25,484.65,,,,,3.7,0.0,27.0
2016-02-26,484.0,485.0,485.0,485.0,485.0,0.65,1.0,27.0
2016-02-29,496.9,,,,,12.9,0.0,28.0
2016-03-01,518.6,,,,,21.7,0.0,28.0
2016-03-02,516.5,,,,,2.1,0.0,28.0
2016-03-03,543.05,,,,,26.55,0.0,28.0
2016-03-04,563.8,539.5,562.55,539.5,562.55,20.75,9.0,28.0
2016-03-07,578.0,566.65,568.2,562.5,568.15,14.2,9.0,40.0
2016-03-08,567.95,564.5,564.5,563.5,563.5,10.05,6.0,40.0
2016-03-09,566.95,562.45,565.25,562.45,565.25,1.0,6.0,46.0
2016-03-10,574.8,,,,,7.85,0.0,41.0
2016-03-11,580.85,,,,,6.05,0.0,41.0
2016-03-14,573.55,,,,,7.3,0.0,41.0
2016-03-15,571.45,,,,,2.1,0.0,41.0
2016-03-16,578.35,,,,,6.9,0.0,41.0
2016-03-17,598.6,,,,,20.25,0.0,41.0
2016-03-18,590.8,,,,,7.8,0.0,41.0
2016-03-21,603.65,,,,,12.85,0.0,41.0
2016-03-22,607.3,601.25,603.75,601.15,603.2,3.65,24.0,41.0
2016-03-23,584.45,,,,,22.85,0.0,63.0
2016-03-24,574.05,573.0,573.0,573.0,573.0,10.4,2.0,63.0
2016-03-28,568.6,,,,,5.45,0.0,65.0
2016-03-29,574.8,,,,,6.2,0.0,65.0
2016-03-30,568.15,,,,,6.65,0.0,65.0
2016-03-31,565.9,,,,,2.25,0.0,65.0
2016-04-01,562.9,,,,,3.0,0.0,65.0
2016-04-04,554.55,555.0,555.0,555.0,555.0,8.35,4.0,65.0
2016-04-05,545.8,,,,,8.75,0.0,69.0
2016-04-06,540.05,,,,,5.75,0.0,69.0
2016-04-07,536.3,538.55,539.0,538.55,539.0,3.75,48.0,69.0
2016-04-08,541.0,,,,,4.7,0.0,101.0
2016-04-11,547.85,551.2,551.2,551.2,551.2,6.85,1.0,101.0
2016-04-12,546.5,,,,,1.35,1.0,101.0
2016-04-13,544.95,550.8,550.8,550.8,550.8,1.55,1.0,102.0
2016-04-14,562.8,540.2,549.75,540.2,549.75,17.85,1.0,103.0
2016-04-15,570.15,,,,,7.35,0.0,102.0
2016-04-18,570.0,567.0,567.0,567.0,567.0,0.15,1.0,102.0
2016-04-19,584.25,578.0,578.0,578.0,578.0,14.25,1.0,101.0
2016-04-20,599.1,,,,,14.85,0.0,145.0
2016-04-21,612.3,604.35,606.5,604.15,606.5,13.2,3.0,145.0
2016-04-22,608.6,606.5,609.2,605.95,606.0,3.7,4.0,146.0
2016-04-25,608.05,,,,,0.55,0.0,149.0
2016-04-26,607.05,596.75,596.75,596.75,596.75,1.0,1.0,149.0
2016-04-27,612.2,,,,,5.15,0.0,150.0
2016-04-28,626.9,,,,,14.7,0.0,150.0
2016-04-29,629.75,630.35,630.35,630.35,630.35,2.85,1.0,150.0
2016-05-02,626.9,621.0,621.0,621.0,621.0,2.85,2.0,149.0
2016-05-03,611.0,608.55,608.55,608.55,608.55,15.9,1.0,149.0
2016-05-04,598.45,602.1,606.7,599.55,606.55,12.55,34.0,150.0
2016-05-05,602.7,601.45,601.45,601.25,601.25,4.25,6.0,169.0
2016-05-06,609.3,,,,,6.6,0.0,167.0
2016-05-09,586.1,587.4,587.4,585.9,586.8,23.2,4.0,167.0
2016-05-10,594.25,588.3,588.3,588.25,588.25,8.15,2.0,167.0
2016-05-11,609.9,605.35,606.3,605.35,606.3,15.65,3.0,169.0
2016-05-12,598.5,609.5,609.5,598.95,598.95,11.4,3.0,167.0
2016-05-13,594.25,599.8,599.8,593.5,593.5,4.25,5.0,168.0
2016-05-16,593.25,596.45,596.45,596.45,596.45,1.0,1.0,170.0
2016-05-17,586.95,586.15,589.5,586.15,589.5,6.3,2.0,171.0
2016-05-18,582.0,,,,,4.95,0.0,172.0
2016-05-19,560.5,576.2,576.2,562.2,562.2,21.5,21.0,172.0
