Date,Settle,Open,High,Low,Last,Change,Volume,Previous Day Open Interest
2015-11-13,907.25,,,,,,0.0,0.0
2015-11-16,913.0,,,,,5.75,0.0,0.0
2015-11-17,915.25,,,,,2.25,0.0,0.0
2015-11-18,911.5,,,,,3.75,0.0,0.0
2015-11-19,912.5,,,,,1.0,0.0,0.0
2015-11-20,911.75,,,,,0.75,0.0,0.0
2015-11-23,916.5,,,,,4.75,0.0,0.0
2015-11-24,915.5,,,,,1.0,0.0,0.0
2015-11-25,923.5,,,,,8.0,0.0,0.0
2015-11-27,922.5,,,,,1.0,0.0,0.0
2015-11-30,929.0,,,,,6.5,0.0,0.0
2015-12-01,935.5,,,,,6.5,0.0,0.0
2015-12-02,940.0,,,,,4.5,0.0,0.0
2015-12-03,945.25,,,,,5.25,0.0,0.0
2015-12-04,944.5,,,,,0.75,0.0,0.0
2015-12-07,918.25,,,,,26.25,0.0,0.0
2015-12-08,911.75,,,,,6.5,0.0,0.0
2015-12-09,911.5,,,,,0.25,0.0,0.0
2015-12-10,914.75,,,,,3.25,0.0,0.0
2015-12-11,906.25,,,,,8.5,0.0,0.0
2015-12-14,908.75,,,,,2.5,0.0,0.0
2015-12-15,904.0,,,,,4.75,0.0,0.0
2015-12-16,899.0,,,,,5.0,0.0,0.0
2015-12-17,913.25,,,,,14.25,0.0,0.0
2015-12-18,923.5,,,,,10.25,0.0,0.0
2015-12-21,921.5,,,,,2.0,0.0,0.0
2015-12-22,917.5,,,,,4.0,0.0,0.0
2015-12-23,911.5,,,,,6.0,0.0,0.0
2015-12-24,906.0,,,,,5.5,0.0,0.0
2015-12-28,899.25,,,,,6.75,0.0,0.0
2015-12-29,904.75,,,,,5.5,0.0,0.0
2015-12-30,908.5,,,,,3.75,0.0,0.0
2015-12-31,903.25,,,,,5.25,0.0,0.0
2016-01-04,899.0,,,,,4.25,0.0,0.0
2016-01-05,900.0,,,,,1.0,0.0,0.0
2016-01-06,904.25,,,,,4.25,0.0,0.0
2016-01-07,902.0,,,,,2.25,0.0,0.0
2016-01-08,901.75,,,,,0.25,0.0,0.0
2016-01-11,899.25,,,,,2.5,0.0,0.0
2016-01-12,911.75,,,,,12.5,0.0,0.0
2016-01-13,913.25,,,,,1.5,0.0,0.0
2016-01-14,913.0,,,,,0.25,0.0,0.0
2016-01-15,906.5,,,,,6.5,0.0,0.0
2016-01-19,907.25,,,,,0.75,0.0,0.0
2016-01-20,903.5,,,,,3.75,0.0,0.0
2016-01-21,905.5,,,,,2.0,0.0,0.0
2016-01-22,902.75,,,,,2.75,0.0,0.0
2016-01-25,908.5,,,,,5.75,0.0,0.0
2016-01-26,906.0,,,,,2.5,0.0,0.0
2016-01-27,912.25,,,,,6.25,0.0,0.0
2016-01-28,899.25,,,,,13.0,0.0,0.0
2016-01-29,911.0,,,,,11.75,0.0,0.0
2016-02-01,907.25,,,,,3.75,0.0,0.0
2016-02-02,911.0,,,,,3.75,0.0,0.0
2016-02-03,903.75,,,,,7.25,0.0,0.0
2016-02-04,904.25,,,,,0.5,0.0,0.0
2016-02-05,901.0,,,,,3.25,0.0,0.0
2016-02-08,897.0,,,,,4.0,0.0,0.0
2016-02-09,896.5,,,,,0.5,0.0,0.0
2016-02-10,896.25,,,,,0.25,0.0,0.0
2016-02-11,905.5,,,,,9.25,0.0,0.0
2016-02-12,902.75,,,,,2.75,0.0,0.0
2016-02-16,906.5,,,,,3.75,0.0,0.0
2016-02-17,907.25,,,,,0.75,0.0,0.0
2016-02-18,905.0,,,,,2.25,0.0,0.0
2016-02-19,903.0,,,,,2.0,0.0,0.0
2016-02-22,905.5,,,,,2.5,0.0,0.0
2016-02-23,896.75,,,,,8.75,0.0,0.0
2016-02-24,898.0,,,,,1.25,0.0,0.0
