Date,Settle,Open,High,Low,Last,Change,Volume,Open Interest
2015-12-21,154.75,,,,,,0.0,0.0
2015-12-22,153.75,,,,,1.0,0.0,0.0
2015-12-23,152.9375,,,,,0.8125,0.0,0.0
2015-12-24,153.75,,,,,0.8125,0.0,0.0
2015-12-28,154.3125,,,,,0.5625,0.0,0.0
2015-12-29,151.96875,,,,,2.34375,0.0,0.0
2015-12-30,151.9375,,,,,0.03125,0.0,0.0
2015-12-31,152.4375,,,,,0.5,0.0,0.0
2016-01-04,152.9375,,,,,0.5,0.0,0.0
2016-01-05,152.375,,,,,0.5625,0.0,0.0
2016-01-06,154.28125,,,,,1.90625,0.0,0.0
2016-01-07,154.59375,,,,,0.3125,0.0,0.0
2016-01-08,154.9375,,,,,0.34375,0.0,0.0
2016-01-11,154.34375,,,,,0.59375,0.0,0.0
2016-01-12,156.15625,,,,,1.8125,0.0,0.0
2016-01-13,157.125,,,,,0.96875,0.0,0.0
2016-01-14,156.09375,,,,,1.03125,0.0,0.0
2016-01-15,157.71875,,,,,1.625,0.0,0.0
2016-01-19,158.0,,,,,0.28125,25.0,0.0
2016-01-20,159.0625,,,,,1.0625,0.0,0.0
2016-01-21,158.1875,158.625,158.625,158.625,158.625,0.875,1.0,0.0
2016-01-22,157.65625,,,,,0.53125,0.0,1.0
2016-01-25,158.28125,,,,,0.625,0.0,1.0
2016-01-26,158.8125,,,,,0.53125,0.0,1.0
2016-01-27,158.65625,,,,,0.15625,0.0,1.0
2016-01-28,158.71875,,,,,0.0625,0.0,1.0
2016-01-29,159.71875,,159.5625,,159.5625,1.0,0.0,1.0
2016-02-01,159.1875,,,,,0.53125,0.0,1.0
2016-02-02,161.71875,,161.09375,,161.09375,2.53125,0.0,1.0
2016-02-03,161.0625,,,,,0.65625,0.0,1.0
2016-02-04,161.4375,,,,,0.375,0.0,1.0
2016-02-05,161.9375,,,,,0.5,0.0,1.0
2016-02-08,164.6875,,163.65625,,163.65625,2.75,0.0,1.0
2016-02-09,164.78125,,164.9375,,164.9375,0.09375,0.0,1.0
2016-02-10,165.71875,164.96875,165.28125,164.03125,165.28125,0.9375,6.0,1.0
2016-02-11,166.0,166.375,168.6875,165.96875,165.96875,0.28125,12.0,6.0
2016-02-12,164.125,,,164.21875,164.21875,1.875,0.0,11.0
2016-02-16,163.375,,,163.3125,163.3125,0.75,0.0,11.0
2016-02-17,162.21875,,,,,1.15625,0.0,11.0
2016-02-18,163.75,,,,,1.53125,0.0,11.0
2016-02-19,164.25,,,,,0.5,0.0,11.0
2016-02-22,163.84375,,,,,0.40625,0.0,11.0
2016-02-23,164.75,164.78125,164.8125,163.6875,164.8125,0.90625,5.0,11.0
2016-02-24,164.6875,165.5,165.78125,164.65625,164.65625,0.0625,1.0,15.0
2016-02-25,165.34375,164.5625,165.0,164.5625,165.0,0.65625,4.0,16.0
2016-02-26,163.625,,,163.84375,163.84375,1.71875,0.0,20.0
2016-02-29,163.28125,,,,,0.34375,1.0,20.0
2016-03-01,161.09375,,,162.90625,162.90625,2.1875,0.0,20.0
2016-03-02,161.40625,,,,,0.3125,0.0,20.0
2016-03-03,162.21875,,162.34375,,162.34375,0.8125,0.0,20.0
2016-03-04,161.0,,,161.3125,161.3125,1.21875,0.0,20.0
2016-03-07,161.0625,161.0,161.0,161.0,161.0,0.0625,1.0,20.0
2016-03-08,162.6875,163.1875,163.34375,163.1875,163.1875,1.625,2.0,21.0
2016-03-09,161.59375,,,162.21875,162.21875,1.09375,0.0,21.0
2016-03-10,161.125,161.96875,161.96875,161.375,161.375,0.46875,4.0,21.0
2016-03-11,159.96875,,,160.75,160.75,1.15625,2.0,20.0
2016-03-14,160.21875,,,,,0.25,0.0,20.0
2016-03-15,160.4375,161.125,161.125,160.3125,160.3125,0.21875,5.0,20.0
2016-03-16,160.25,160.75,160.75,160.5,160.6875,0.1875,5.0,24.0
2016-03-17,161.46875,161.5,161.9375,161.3125,161.65625,1.21875,5.0,25.0
2016-03-18,161.96875,161.90625,162.0,161.90625,162.0,0.5,5.0,24.0
2016-03-21,160.5625,161.0,161.0,161.0,161.0,1.40625,1.0,24.0
2016-03-22,160.75,161.5625,161.6875,160.78125,160.78125,0.1875,5.0,24.0
2016-03-23,162.34375,161.25,162.21875,160.625,162.21875,1.59375,6.0,24.0
2016-03-24,161.875,162.34375,162.9375,161.5,161.71875,0.46875,4.0,29.0
2016-03-28,162.375,,162.40625,161.71875,162.21875,0.5,0.0,33.0
2016-03-29,163.34375,163.25,163.59375,162.125,163.53125,0.96875,17.0,33.0
2016-03-30,162.21875,162.5,162.5,161.78125,162.28125,1.125,2.0,37.0
2016-03-31,163.15625,162.28125,163.40625,162.1875,163.375,0.9375,31.0,38.0
2016-04-01,163.09375,163.1875,164.0,162.8125,163.53125,0.0625,14.0,55.0
2016-04-04,163.375,163.5625,163.84375,163.0625,163.71875,0.28125,29.0,54.0
2016-04-05,164.9375,163.8125,165.125,163.8125,165.0,1.5625,251.0,67.0
2016-04-06,164.0625,164.625,164.78125,163.78125,164.09375,0.875,19.0,145.0
2016-04-07,165.6875,164.3125,165.84375,163.90625,165.84375,1.625,143.0,148.0
2016-04-08,164.875,165.6875,165.71875,164.53125,164.96875,0.8125,174.0,141.0
2016-04-11,164.78125,164.84375,165.40625,164.09375,164.75,0.09375,31.0,233.0
2016-04-12,163.71875,164.625,164.8125,163.625,163.9375,1.0625,29.0,230.0
2016-04-13,164.53125,163.84375,164.65625,163.46875,164.375,0.8125,138.0,541.0
2016-04-14,163.96875,164.25,164.65625,163.34375,163.78125,0.5625,13.0,1102.0
2016-04-15,164.78125,163.9375,165.15625,163.71875,164.75,0.8125,34.0,1103.0
2016-04-18,164.03125,165.25,165.28125,163.5625,164.125,0.75,99.0,1108.0
2016-04-19,163.6875,163.84375,164.125,163.0625,163.75,0.34375,11.0,1154.0
2016-04-20,162.03125,163.59375,164.46875,161.9375,162.21875,1.65625,81.0,1153.0
2016-04-21,161.3125,162.0625,162.375,160.8125,161.40625,0.71875,301.0,1145.0
2016-04-22,161.125,161.46875,161.625,160.78125,161.03125,0.1875,425.0,1224.0
2016-04-25,160.59375,161.125,161.40625,160.34375,160.34375,0.53125,330.0,1318.0
2016-04-26,159.875,160.4375,160.8125,159.625,159.875,0.71875,626.0,1398.0
2016-04-27,161.34375,160.09375,161.375,159.96875,161.25,1.46875,682.0,1669.0
2016-04-28,161.40625,161.65625,162.125,160.71875,161.71875,0.0625,172.0,2349.0
2016-04-29,161.9375,161.71875,162.09375,160.46875,161.78125,0.53125,1097.0,2432.0
2016-05-02,160.8125,161.625,162.125,160.59375,160.59375,1.125,377.0,3128.0
2016-05-03,162.46875,160.875,162.90625,160.625,162.4375,1.65625,385.0,3327.0
2016-05-04,162.96875,162.6875,163.21875,162.09375,163.15625,0.5,618.0,3316.0
2016-05-05,164.0,163.125,164.25,162.53125,164.0,1.03125,1003.0,3414.0
2016-05-06,163.625,163.90625,165.03125,163.5,163.65625,0.375,620.0,3433.0
2016-05-09,164.0625,163.5,164.40625,163.34375,164.3125,0.4375,429.0,3533.0
2016-05-10,164.15625,164.40625,164.53125,163.78125,164.125,0.09375,397.0,3592.0
2016-05-11,164.78125,164.125,165.25,164.0,164.84375,0.625,1290.0,3800.0
2016-05-12,164.0625,164.90625,165.0,163.6875,164.25,0.71875,618.0,4526.0
2016-05-13,165.34375,164.34375,165.4375,164.28125,165.34375,1.28125,627.0,4851.0
2016-05-16,164.1875,165.375,165.53125,164.09375,164.1875,1.15625,961.0,5059.0
2016-05-17,164.375,164.25,164.84375,163.8125,164.09375,0.1875,791.0,6152.0
2016-05-18,161.875,164.09375,164.34375,161.75,162.375,2.5,4706.0,7225.0
2016-05-19,162.96875,162.3125,163.15625,161.9375,162.78125,1.09375,10339.0,8769.0
2016-05-20,162.875,162.75,163.1875,162.1875,163.0625,0.09375,9915.0,14090.0
2016-05-23,163.09375,163.0625,163.625,162.75,163.28125,0.21875,58454.0,18668.0
2016-05-24,162.65625,163.25,163.5625,162.03125,162.65625,0.4375,163720.0,59006.0
2016-05-25,162.21875,162.75,163.0,162.125,162.28125,0.4375,249647.0,169540.0
2016-05-26,163.1875,162.375,163.25,162.15625,162.875,0.96875,227437.0,326725.0
2016-05-27,162.9375,162.90625,163.21875,162.46875,162.625,0.25,183690.0,438397.0
2016-05-31,163.3125,162.65625,163.34375,161.71875,162.96875,0.375,280217.0,518661.0
2016-06-01,163.53125,162.96875,164.5625,162.78125,163.78125,0.21875,278656.0,527211.0
2016-06-02,164.65625,163.8125,165.0,163.6875,164.8125,1.125,230391.0,523666.0
2016-06-03,166.59375,164.78125,166.875,164.59375,166.78125,1.9375,637558.0,532283.0
2016-06-06,166.09375,166.71875,167.0,165.71875,165.8125,0.5,211603.0,541772.0
2016-06-07,166.46875,165.8125,166.6875,165.625,166.28125,0.375,165572.0,544035.0
2016-06-08,166.84375,166.3125,167.125,166.28125,166.9375,0.375,178334.0,556653.0
2016-06-09,167.53125,166.96875,168.09375,166.71875,167.40625,0.6875,265837.0,563407.0
