Trade Date,Settle,Open,High,Low,Close,Change,Total Volume,EFP,Prev. Day Open Interest
2015-12-21,21.0,0.0,20.0,22.0,0.0,21.0,0.0,0.0,0.0
2015-12-22,20.375,0.0,19.15,21.65,0.0,-0.62,0.0,0.0,0.0
2015-12-23,18.8,0.0,17.1,20.5,0.0,-1.58,0.0,0.0,0.0
2015-12-24,18.85,0.0,17.25,20.5,0.0,0.05,0.0,0.0,0.0
2015-12-28,19.825,20.5,20.5,20.5,20.5,0.98,1.0,0.0,1.0
2015-12-29,19.975,0.0,19.0,20.95,0.0,0.15,0.0,0.0,1.0
2015-12-30,19.575,0.0,19.6,20.9,0.0,-0.4,0.0,0.0,1.0
2015-12-31,19.95,0.0,19.0,20.9,0.0,0.38,0.0,0.0,1.0
2016-01-04,20.85,20.95,21.0,20.67,20.67,0.9,36.0,0.0,16.0
2016-01-05,20.45,20.5,20.74,20.43,20.43,-0.4,31.0,0.0,42.0
2016-01-06,20.725,21.0,21.0,20.7,20.7,0.28,45.0,0.0,85.0
2016-01-07,21.225,20.95,21.27,20.9,21.27,0.5,31.0,0.0,114.0
2016-01-08,22.85,21.15,22.85,20.97,22.85,1.62,40.0,0.0,148.0
2016-01-11,22.35,22.53,22.91,22.15,22.18,-0.5,118.0,0.0,260.0
2016-01-12,22.5,21.89,22.22,21.72,21.78,0.15,102.0,0.0,359.0
2016-01-13,22.825,21.48,22.65,21.48,22.64,0.32,58.0,0.0,380.0
2016-01-14,22.375,22.6,22.79,22.21,22.31,-0.45,85.0,0.0,445.0
2016-01-15,23.2,22.77,23.35,22.5,23.3,0.82,324.0,0.0,726.0
2016-01-19,23.15,23.38,23.6,22.44,23.25,-0.05,262.0,0.0,723.0
2016-01-20,23.3,23.65,24.2,23.05,23.4,0.15,201.0,0.0,744.0
2016-01-21,23.325,23.13,23.6,22.98,23.39,0.02,130.0,0.0,766.0
2016-01-22,22.35,23.25,23.25,22.31,22.31,-0.98,532.0,0.0,954.0
2016-01-25,22.775,22.28,22.8,22.11,22.8,0.42,871.0,0.0,1384.0
2016-01-26,22.3,22.8,23.1,22.25,22.28,-0.48,373.0,0.0,1486.0
2016-01-27,22.625,22.3,22.76,22.05,22.67,0.32,578.0,0.0,1700.0
2016-01-28,22.375,22.3,22.7,22.25,22.45,-0.25,508.0,0.0,1920.0
2016-01-29,21.725,22.3,22.35,21.7,21.73,-0.65,642.0,0.0,2154.0
2016-02-01,21.65,21.69,21.9,21.6,21.63,-0.08,57.0,0.0,2143.0
