Date,Settle,Open,High,Low,Last,Change,Volume,Previous Day Open Interest
2016-07-14,544.25,,,,,,0.0,0.0
2016-07-15,539.0,,,,,5.25,0.0,0.0
2016-07-18,545.0,,,,,6.0,0.0,0.0
2016-07-19,533.75,,,,,11.25,0.0,0.0
2016-07-20,529.0,,,,,4.75,0.0,0.0
2016-07-21,531.25,,,,,2.25,0.0,0.0
2016-07-22,540.5,,,,,9.25,0.0,0.0
2016-07-25,541.25,,,,,0.75,0.0,0.0
2016-07-26,529.5,,,,,11.75,0.0,0.0
2016-07-27,528.5,,,,,1.0,0.0,0.0
2016-07-28,522.25,,,,,6.25,0.0,0.0
2016-07-29,519.25,,,,,3.0,0.0,0.0
2016-08-01,519.75,,,,,0.5,0.0,0.0
2016-08-02,518.75,,,,,1.0,0.0,0.0
2016-08-03,526.75,,,,,8.0,0.0,0.0
2016-08-04,523.75,,,,,3.0,0.0,0.0
2016-08-05,526.75,,,,,3.0,0.0,0.0
2016-08-08,519.25,,,,,7.5,0.0,0.0
2016-08-09,520.25,,,,,1.0,0.0,0.0
2016-08-10,522.5,,,,,2.25,0.0,0.0
2016-08-11,521.75,,,,,0.75,0.0,0.0
2016-08-12,524.25,,,,,2.5,0.0,0.0
2016-08-15,516.5,,,,,7.75,0.0,0.0
2016-08-16,519.0,,,,,2.5,0.0,0.0
2016-08-17,517.75,,,,,1.25,0.0,0.0
2016-08-18,521.0,,,,,3.25,0.0,0.0
2016-08-19,527.0,,,,,6.0,0.0,0.0
2016-08-22,524.0,,,,,3.0,0.0,0.0
2016-08-23,516.5,,,,,7.5,0.0,0.0
2016-08-24,514.0,,,,,2.5,0.0,0.0
2016-08-25,512.75,,,,,1.25,0.0,0.0
2016-08-26,502.0,,,,,10.75,0.0,0.0
2016-08-29,490.5,,,,,11.5,0.0,0.0
2016-08-30,486.0,,,,,4.5,0.0,0.0
2016-08-31,487.25,,,,,1.25,0.0,0.0
2016-09-01,488.75,,,,,1.5,0.0,0.0
2016-09-02,492.25,,,,,3.5,0.0,0.0
2016-09-06,489.5,,,,,2.75,0.0,0.0
2016-09-07,491.25,,,,,1.75,0.0,0.0
2016-09-08,500.25,,500.0,,500.0,9.0,0.0,0.0
2016-09-09,500.0,,,,,0.25,0.0,0.0
2016-09-12,500.0,,,,,,0.0,0.0
2016-09-13,500.0,,,,,,0.0,0.0
2016-09-14,504.5,,,,,4.5,0.0,0.0
2016-09-15,510.25,,,,,5.75,0.0,0.0
2016-09-16,510.5,,,,,0.25,0.0,0.0
2016-09-19,509.0,,,,,1.5,0.0,0.0
