CONTRACT,MATURITY,QUANTITY
AEX,201709,0
AUD,201709,1
BOBL,201709,3
BTP,201709,1
BUND,201709,1
CAC,201709,0
COPPER,201709,1
CORN,201712,-1
CRUDE_W,201712,0
EDOLLAR,202009,1
EUR,201709,0
EUROSTX,201709,0
GAS_US,201711,-2
GBP,201709,-1
GOLD,201712,0
JPY,201709,0
KOSPI,201709,0
KR10,201709,-1
KR3,201709,4
LEANHOG,201806,3
LIVECOW,201710,0
MXP,201709,6
NASDAQ,201709,0
NZD,201709,0
OAT,201709,0
PALLAD,201709,0
PLAT,201710,0
SMI,201709,0
SOYBEAN,201711,0
SP500,201709,0
US10,201712,0
US2,201712,5
US20,201712,1
US5,201712,0
V2X,201710,-11
VIX,20171018,-1
WHEAT,201712,-2
