DATETIME,PRICE
2013-06-07,121.68999999999996
2013-06-10,
2013-06-11,
2013-06-12,
2013-06-13,
2013-06-14,
2013-06-17,
2013-06-18,
2013-06-19,
2013-06-20,
2013-06-21,120.33999999999996
2013-06-24,
2013-06-25,
2013-06-26,
2013-06-27,
2013-06-28,
2013-07-01,
2013-07-02,
2013-07-03,
2013-07-04,
2013-07-05,121.38999999999996
2013-07-08,121.27999999999996
2013-07-09,
2013-07-10,121.60999999999996
2013-07-11,
2013-07-12,121.82999999999996
2013-07-15,121.64999999999996
2013-07-16,
2013-07-17,121.94999999999996
2013-07-18,122.09999999999997
2013-07-19,122.02999999999996
2013-07-22,121.93999999999996
2013-07-23,121.65999999999997
2013-07-24,121.18999999999996
2013-07-25,
2013-07-26,
2013-07-29,
2013-07-30,
2013-07-31,121.18999999999996
2013-08-01,121.17999999999996
2013-08-02,120.98999999999997
2013-08-05,121.29999999999997
2013-08-06,121.04999999999997
2013-08-07,121.13999999999996
2013-08-08,
2013-08-09,121.29999999999997
2013-08-12,121.17999999999996
2013-08-13,120.55999999999996
2013-08-14,120.62999999999997
2013-08-15,120.32999999999996
2013-08-16,120.21999999999996
2013-08-19,120.28999999999996
2013-08-20,120.56999999999996
2013-08-21,120.33999999999996
2013-08-22,120.16999999999996
2013-08-23,119.98999999999997
2013-08-26,120.22999999999996
2013-08-27,120.60999999999996
2013-08-28,120.28999999999996
2013-08-29,120.56999999999996
2013-08-30,120.41999999999996
2013-09-02,120.19999999999996
2013-09-03,120.08999999999996
2013-09-04,120.03999999999996
2013-09-05,119.56999999999996
2013-09-06,120.11999999999996
2013-09-09,120.12999999999997
2013-09-10,119.85999999999996
2013-09-11,120.18999999999996
2013-09-12,120.29999999999997
2013-09-13,120.39999999999996
2013-09-16,120.54999999999997
2013-09-17,120.52999999999996
2013-09-18,121.05999999999996
2013-09-19,120.82999999999996
2013-09-20,120.85999999999996
2013-09-23,120.99999999999996
2013-09-24,121.34999999999997
2013-09-25,121.37999999999997
2013-09-26,121.34999999999997
2013-09-27,121.51999999999997
2013-09-30,121.62999999999997
2013-10-01,121.47999999999996
2013-10-02,121.52999999999996
2013-10-03,121.50999999999996
2013-10-04,121.38999999999996
2013-10-07,121.54999999999997
2013-10-08,121.43999999999996
2013-10-09,121.47999999999996
2013-10-10,121.29999999999997
2013-10-11,121.39999999999996
2013-10-14,121.40999999999997
2013-10-15,121.19999999999996
2013-10-16,121.04999999999997
2013-10-17,121.43999999999996
2013-10-18,121.59999999999997
2013-10-21,121.51999999999997
2013-10-22,121.82999999999996
2013-10-23,121.90999999999997
2013-10-24,121.83999999999996
2013-10-25,121.84999999999997
2013-10-28,121.88999999999996
2013-10-29,121.95999999999997
2013-10-30,122.08999999999996
2013-10-31,122.47999999999996
2013-11-01,122.49999999999996
2013-11-04,122.46999999999996
2013-11-05,122.09999999999997
2013-11-06,122.17999999999996
2013-11-07,122.65999999999997
2013-11-08,122.28999999999996
2013-11-11,122.31999999999996
2013-11-12,122.30999999999996
2013-11-13,122.53999999999996
2013-11-14,122.61999999999996
2013-11-15,122.51999999999997
2013-11-18,122.58999999999996
2013-11-19,122.43999999999996
2013-11-20,122.54999999999997
2013-11-21,122.37999999999997
2013-11-22,122.20999999999997
2013-11-25,122.33999999999996
2013-11-26,122.44999999999996
2013-11-27,122.47999999999996
2013-11-28,122.46999999999996
2013-11-29,122.48999999999997
2013-12-02,122.32999999999996
2013-12-03,122.38999999999996
2013-12-04,121.93999999999996
2013-12-05,121.64999999999996
2013-12-06,121.73499999999996
2013-12-09,121.73499999999996
2013-12-10,121.73499999999996
2013-12-11,121.72499999999997
2013-12-12,121.54499999999996
2013-12-13,121.59499999999996
2013-12-16,121.58499999999997
2013-12-17,121.66499999999996
2013-12-18,121.52499999999996
2013-12-19,121.43499999999996
2013-12-20,121.37499999999996
2013-12-23,121.31499999999996
2013-12-24,
2013-12-25,
2013-12-26,
2013-12-27,120.90499999999996
2013-12-30,121.10499999999996
2013-12-31,
2014-01-01,
2014-01-02,121.08499999999997
2014-01-03,121.12499999999996
2014-01-06,121.28499999999997
2014-01-07,121.39499999999997
2014-01-08,121.27499999999996
2014-01-09,121.32499999999996
2014-01-10,121.68499999999996
2014-01-13,121.86499999999997
2014-01-14,121.82499999999996
2014-01-15,121.75499999999997
2014-01-16,122.08499999999997
2014-01-17,122.22499999999997
2014-01-20,122.29499999999996
2014-01-21,122.35499999999996
2014-01-22,122.30499999999996
2014-01-23,122.48499999999996
2014-01-24,122.78499999999997
2014-01-27,122.71499999999996
2014-01-28,122.72499999999997
2014-01-29,122.93499999999996
2014-01-30,123.09499999999996
2014-01-31,123.40499999999996
2014-02-03,123.42499999999997
2014-02-04,123.43499999999996
2014-02-05,123.46499999999996
2014-02-06,123.04499999999996
2014-02-07,123.35499999999996
2014-02-10,123.26499999999996
2014-02-11,123.30499999999996
2014-02-12,123.14499999999997
2014-02-13,123.42499999999997
2014-02-14,123.30499999999996
2014-02-17,123.32499999999996
2014-02-18,123.42499999999997
2014-02-19,123.48499999999996
2014-02-20,123.25499999999997
2014-02-21,123.42499999999997
2014-02-24,123.28499999999997
2014-02-25,123.37499999999996
2014-02-26,123.62499999999996
2014-02-27,123.82499999999996
2014-02-28,123.37499999999996
2014-03-03,123.71499999999996
2014-03-04,123.65999999999997
2014-03-05,123.67999999999996
2014-03-06,123.36999999999996
2014-03-07,123.35499999999996
2014-03-10,123.45999999999997
2014-03-11,123.47999999999996
2014-03-12,123.71999999999996
2014-03-13,124.02999999999996
2014-03-14,123.84999999999997
2014-03-17,123.76999999999997
2014-03-18,123.81499999999996
2014-03-19,123.34999999999997
2014-03-20,123.34999999999997
2014-03-21,123.37999999999997
2014-03-24,
2014-03-25,123.68999999999996
2014-03-26,123.84999999999997
2014-03-27,123.91999999999996
2014-03-28,123.86999999999996
2014-03-31,123.77999999999996
2014-04-01,123.65999999999997
2014-04-02,123.43999999999996
2014-04-03,123.53999999999996
2014-04-04,
2014-04-07,123.81999999999996
2014-04-08,123.76249999999996
2014-04-09,
2014-04-10,123.90999999999997
2014-04-11,124.05999999999996
2014-04-14,123.93999999999996
2014-04-15,124.21999999999996
2014-04-16,124.13999999999996
2014-04-17,123.78999999999996
2014-04-18,
2014-04-21,
2014-04-22,123.86999999999996
2014-04-23,123.75999999999996
2014-04-24,123.77999999999996
2014-04-25,123.90999999999997
2014-04-28,123.89999999999996
2014-04-29,124.06999999999996
2014-04-30,124.15999999999997
2014-05-01,
2014-05-02,124.30999999999996
2014-05-05,124.23999999999997
2014-05-06,124.17999999999996
2014-05-07,124.09999999999997
2014-05-08,124.32999999999996
2014-05-09,124.29999999999997
2014-05-12,124.28999999999996
2014-05-13,124.52999999999996
2014-05-14,124.76999999999997
2014-05-15,125.00999999999996
2014-05-16,124.89999999999996
2014-05-19,124.83999999999996
2014-05-20,124.92999999999996
2014-05-21,124.80999999999996
2014-05-22,124.90999999999997
2014-05-23,124.90999999999997
2014-05-26,124.92999999999996
2014-05-27,125.08749999999996
2014-05-28,125.22999999999996
2014-05-29,125.12999999999997
2014-05-30,125.16999999999996
2014-06-02,125.11999999999996
2014-06-03,124.91999999999996
2014-06-04,124.82499999999996
2014-06-05,125.23999999999997
2014-06-06,125.44999999999996
2014-06-09,125.22999999999996
2014-06-10,125.06999999999996
2014-06-11,125.16999999999996
2014-06-12,125.31499999999996
2014-06-13,125.29999999999997
2014-06-16,125.38999999999996
2014-06-17,125.36999999999996
2014-06-18,125.31999999999996
2014-06-19,125.43999999999996
2014-06-20,125.32999999999996
2014-06-23,125.39999999999996
2014-06-24,125.47999999999996
2014-06-25,125.64999999999996
2014-06-26,125.69999999999996
2014-06-27,125.52999999999996
2014-06-30,125.72999999999996
2014-07-01,125.73999999999997
2014-07-02,125.58999999999996
2014-07-03,125.52499999999996
2014-07-04,125.73999999999997
2014-07-07,125.70999999999997
2014-07-08,125.89999999999996
2014-07-09,125.89999999999996
2014-07-10,125.91999999999996
2014-07-11,125.91999999999996
2014-07-14,125.91999999999996
2014-07-15,125.90999999999997
2014-07-16,125.94999999999996
2014-07-17,126.06999999999996
2014-07-18,125.92999999999996
2014-07-21,125.93999999999996
2014-07-22,125.91999999999996
2014-07-23,125.97999999999992
2014-07-24,125.85999999999996
2014-07-25,126.02999999999996
2014-07-28,125.91999999999996
2014-07-29,126.05
2014-07-30,125.81999999999996
2014-07-31,125.91499999999998
2014-08-01,
2014-08-04,
2014-08-05,
2014-08-06,126.21999999999996
2014-08-07,126.21999999999996
2014-08-08,126.295
2014-08-11,126.30999999999996
2014-08-12,126.3
2014-08-13,126.52999999999996
2014-08-14,126.50999999999996
2014-08-15,126.55
2014-08-18,126.42
2014-08-19,126.49
2014-08-20,126.53999999999996
2014-08-21,126.46999999999996
2014-08-22,126.53999999999996
2014-08-25,126.72999999999992
2014-08-26,126.67999999999998
2014-08-27,126.78999999999996
2014-08-28,126.8
2014-08-29,126.8
2014-09-01,126.865
2014-09-02,126.78999999999996
2014-09-03,126.75999999999996
2014-09-04,127.00999999999996
2014-09-05,126.99
2014-09-08,126.86
2014-09-09,126.83999999999996
2014-09-10,126.86999999999998
2014-09-11,126.89999999999998
2014-09-12,126.67999999999998
2014-09-15,126.86999999999998
2014-09-16,126.8
2014-09-17,126.82999999999996
2014-09-18,126.69999999999996
2014-09-19,126.94999999999996
2014-09-22,126.93999999999996
2014-09-23,126.87999999999997
2014-09-24,126.84999999999997
2014-09-25,127.05999999999996
2014-09-26,127.06999999999996
2014-09-29,127.09999999999997
2014-09-30,127.23
2014-10-01,127.37999999999997
2014-10-02,127.17
2014-10-03,127.11999999999998
2014-10-06,127.18999999999996
2014-10-07,127.23
2014-10-08,127.20999999999998
2014-10-09,127.19999999999996
2014-10-10,127.25999999999996
2014-10-13,127.17
2014-10-14,127.3
2014-10-15,127.44999999999996
2014-10-16,127.21999999999996
2014-10-17,127.18999999999996
2014-10-20,127.3
2014-10-21,127.11999999999998
2014-10-22,127.24999999999996
2014-10-23,127.08999999999996
2014-10-24,127.06999999999996
2014-10-27,127.13999999999996
2014-10-28,127.09999999999997
2014-10-29,127.02999999999996
2014-10-30,127.24999999999996
2014-10-31,127.39999999999998
2014-11-03,127.3
2014-11-04,127.40999999999997
2014-11-05,127.41999999999996
2014-11-06,127.395
2014-11-07,127.49
2014-11-10,127.34999999999997
2014-11-11,127.41999999999996
2014-11-12,127.42999999999998
2014-11-13,127.52999999999996
2014-11-14,127.55999999999996
2014-11-17,127.43999999999996
2014-11-18,127.36999999999998
2014-11-19,127.15999999999997
