DATETIME,PRICE
2013-08-12,99.19833333333335
2013-08-13,98.90833333333336
2013-08-14,98.87833333333336
2013-08-15,
2013-08-16,
2013-08-19,98.04833333333336
2013-08-20,98.09833333333336
2013-08-21,97.54833333333336
2013-08-22,97.74833333333336
2013-08-23,97.87833333333336
2013-08-26,97.24833333333336
2013-08-27,96.95833333333336
2013-08-28,97.01833333333336
2013-08-29,97.35833333333336
2013-08-30,96.90833333333336
2013-09-02,97.53833333333336
2013-09-03,97.63833333333336
2013-09-04,96.90833333333336
2013-09-05,96.23833333333336
2013-09-06,96.39833333333335
2013-09-09,96.28833333333336
2013-09-10,96.05833333333337
2013-09-11,96.27833333333336
2013-09-12,96.14833333333335
2013-09-13,95.92833333333336
2013-09-16,96.75833333333335
2013-09-17,97.17833333333336
2013-09-18,97.17833333333336
2013-09-19,98.26833333333336
2013-09-20,98.25833333333335
2013-09-23,98.54833333333336
2013-09-24,98.76833333333336
2013-09-25,98.82833333333336
2013-09-26,97.99833333333336
2013-09-27,97.47833333333335
2013-09-30,97.37833333333336
2013-10-01,98.21833333333336
2013-10-02,99.14833333333335
2013-10-03,99.08833333333335
2013-10-04,99.64833333333335
2013-10-07,99.91833333333336
2013-10-08,99.45833333333336
2013-10-09,99.31833333333336
2013-10-10,99.59833333333336
2013-10-11,100.00833333333335
2013-10-14,100.21833333333336
2013-10-15,100.35833333333336
2013-10-16,100.40833333333336
2013-10-17,100.71833333333336
2013-10-18,101.09833333333336
2013-10-21,100.99833333333336
2013-10-22,101.58833333333335
2013-10-23,101.67833333333336
2013-10-24,101.48833333333336
2013-10-25,100.97833333333335
2013-10-28,101.10833333333336
2013-10-29,101.62833333333336
2013-10-30,101.28833333333336
2013-10-31,101.92833333333336
2013-11-01,102.04833333333336
2013-11-04,102.12833333333336
2013-11-05,101.60833333333336
2013-11-06,101.57833333333336
2013-11-07,102.36833333333335
2013-11-08,101.94833333333335
2013-11-11,102.08833333333335
2013-11-12,101.95833333333336
2013-11-13,102.24833333333336
2013-11-14,102.69833333333335
2013-11-15,102.46833333333336
2013-11-18,102.73833333333336
2013-11-19,102.66833333333336
2013-11-20,102.60833333333336
2013-11-21,102.53833333333336
2013-11-22,102.63833333333336
2013-11-25,102.62833333333336
2013-11-26,103.01833333333336
2013-11-27,103.04833333333336
2013-11-28,103.20833333333336
2013-11-29,103.20833333333336
2013-12-02,102.94833333333335
2013-12-03,102.88833333333336
2013-12-04,102.37833333333336
2013-12-05,101.47833333333335
2013-12-06,101.92375
2013-12-09,102.39375
2013-12-10,103.11375
2013-12-11,103.22375
2013-12-12,102.81375
2013-12-13,102.97375
2013-12-16,103.32375
2013-12-17,103.32375
2013-12-18,103.11375
2013-12-19,103.14375
2013-12-20,102.88375
2013-12-23,102.37375
2013-12-24,
2013-12-25,
2013-12-26,
2013-12-27,102.29375
2013-12-30,103.24375
2013-12-31,
2014-01-01,
2014-01-02,104.23375
2014-01-03,104.47375
2014-01-06,104.55375
2014-01-07,105.10375
2014-01-08,105.03375
2014-01-09,104.83375
2014-01-10,104.67375
2014-01-13,104.87375
2014-01-14,104.99375
2014-01-15,105.17375
2014-01-16,105.33375
2014-01-17,105.59375
2014-01-20,105.80375
2014-01-21,105.53375
2014-01-22,105.48375
2014-01-23,105.22375
2014-01-24,104.84375
2014-01-27,104.85375
2014-01-28,105.32375
2014-01-29,105.28375
2014-01-30,105.56375
2014-01-31,106.09375
2014-02-03,106.07375
2014-02-04,106.03375
2014-02-05,106.28375
2014-02-06,106.30375
2014-02-07,106.89375
2014-02-10,106.90375
2014-02-11,106.86375
2014-02-12,106.54375
2014-02-13,106.71375
2014-02-14,106.98375
2014-02-17,107.47375
2014-02-18,107.95375
2014-02-19,107.76375
2014-02-20,107.24375
2014-02-21,107.66375
2014-02-24,106.91375
2014-02-25,107.73375
2014-02-26,108.07375
2014-02-27,108.63375
2014-02-28,108.57375
2014-03-03,108.73375
2014-03-04,109.06
2014-03-05,109.47
2014-03-06,108.58
2014-03-07,109.015
2014-03-10,109.51
2014-03-11,109.22
2014-03-12,108.97
2014-03-13,109.01
2014-03-14,109.28
2014-03-17,109.49
2014-03-18,109.6675
2014-03-19,109.42
2014-03-20,109.08
2014-03-21,109.29
2014-03-24,
2014-03-25,109.38
2014-03-26,110.01
2014-03-27,110.28
2014-03-28,110.31
2014-03-31,110.45
2014-04-01,110.52
2014-04-02,110.28
2014-04-03,110.94
2014-04-04,
2014-04-07,111.38
2014-04-08,111.305
2014-04-09,
2014-04-10,111.71
2014-04-11,111.23
2014-04-14,111.69
2014-04-15,112.25
2014-04-16,112.38
2014-04-17,112.06
2014-04-18,
2014-04-21,
2014-04-22,112.39
2014-04-23,112.51
2014-04-24,112.24
2014-04-25,112.33
2014-04-28,112.07
2014-04-29,112.31
2014-04-30,112.78
2014-05-01,
2014-05-02,112.91
2014-05-05,112.96
2014-05-06,113.29
2014-05-07,113.24
2014-05-08,114.19
2014-05-09,113.82
2014-05-12,113.76
2014-05-13,113.9
2014-05-14,114.22
2014-05-15,112.42
2014-05-16,112.73
2014-05-19,111.92
2014-05-20,110.85
2014-05-21,111.5
2014-05-22,111.15
2014-05-23,112.11
2014-05-26,113.56
2014-05-27,113.505
2014-05-28,114.11
2014-05-29,113.85
2014-05-30,113.86
2014-06-02,113.81
2014-06-03,113.46
2014-06-04,113.39
2014-06-05,114.33
2014-06-06,115.91
2014-06-09,116.33
2014-06-10,115.56
2014-06-11,115.54
2014-06-12,115.29
2014-06-13,115.74
2014-06-16,115.69
2014-06-17,115.58
2014-06-18,115.04
2014-06-19,115.49
2014-06-20,115.33
2014-06-23,115.63
2014-06-24,115.92
2014-06-25,116.27
2014-06-26,116.38
2014-06-27,116.43
2014-06-30,116.33
2014-07-01,116.46
2014-07-02,115.73
2014-07-03,115.705
2014-07-04,116.47
2014-07-07,116.66
2014-07-08,116.4
2014-07-09,116.02
2014-07-10,115.35
2014-07-11,115.89
2014-07-14,116.0
2014-07-15,116.32
2014-07-16,116.58
2014-07-17,116.86
2014-07-18,116.87
2014-07-21,116.92
2014-07-22,116.95
2014-07-23,117.34
2014-07-24,117.39
2014-07-25,117.56
2014-07-28,117.96
2014-07-29,118.31
2014-07-30,117.63
2014-07-31,118.045
2014-08-01,
2014-08-04,
2014-08-05,
2014-08-06,116.71
2014-08-07,116.75500000000002
2014-08-08,116.59
2014-08-11,116.95
2014-08-12,117.56
2014-08-13,117.94
2014-08-14,118.44000000000004
2014-08-15,118.84
2014-08-18,118.59
2014-08-19,119.0
2014-08-20,119.01
2014-08-21,119.08
2014-08-22,119.26
2014-08-25,120.19000000000004
2014-08-26,120.83
2014-08-27,121.03
2014-08-28,120.57
2014-08-29,120.69000000000004
2014-09-01,120.845
2014-09-02,120.57
2014-09-03,120.38000000000002
2014-09-04,121.61
2014-09-05,122.59
2014-09-08,121.92
2014-09-09,121.41
2014-09-10,121.09
2014-09-11,120.52
2014-09-12,120.78
2014-09-15,120.69
2014-09-16,120.76
2014-09-17,121.15
2014-09-18,120.95
2014-09-19,121.6
2014-09-22,121.6
2014-09-23,121.35
2014-09-24,121.73
2014-09-25,121.78
2014-09-26,121.21
2014-09-29,121.52
2014-09-30,122.08
2014-10-01,122.69
2014-10-02,122.1
2014-10-03,122.27
2014-10-06,122.04
2014-10-07,121.88
2014-10-08,121.98
2014-10-09,122.17
2014-10-10,122.18
2014-10-13,122.09
2014-10-14,122.45
2014-10-15,121.02
2014-10-16,119.59
2014-10-17,120.42
2014-10-20,119.5
2014-10-21,120.3
2014-10-22,120.25
2014-10-23,120.51
2014-10-24,120.39
2014-10-27,120.2
2014-10-28,120.27
2014-10-29,120.47
2014-10-30,120.75500000000002
2014-10-31,122.09
2014-11-03,121.49
2014-11-04,121.39
2014-11-05,121.32
2014-11-06,121.74
2014-11-07,121.79
2014-11-10,122.02
2014-11-11,122.31
2014-11-12,122.09
2014-11-13,121.97
2014-11-14,122.23
2014-11-17,122.56
2014-11-18,122.47
2014-11-19,122.49
2014-11-20,123.03
2014-11-21,123.83
2014-11-24,124.14
2014-11-25,124.53
2014-11-26,124.33
2014-11-27,125.33
2014-11-28,125.49
