DATETIME,PRICE
2013-08-14,3705.5578846153853
2013-08-15,3677.0578846153853
2013-08-16,3702.5578846153853
2013-08-19,3672.5578846153853
2013-08-20,3617.5578846153853
2013-08-21,3624.5578846153853
2013-08-22,3648.0578846153853
2013-08-23,3661.0578846153853
2013-08-26,3638.0578846153853
2013-08-27,3539.5578846153853
2013-08-28,3541.0578846153853
2013-08-29,3560.5578846153853
2013-08-30,3516.5578846153853
2013-09-02,3580.0578846153853
2013-09-03,3559.0578846153853
2013-09-04,3558.0578846153853
2013-09-05,3590.5578846153853
2013-09-06,3621.0578846153853
2013-09-09,3630.5578846153853
2013-09-10,3699.0578846153853
2013-09-11,3708.0578846153853
2013-09-12,3693.0578846153853
2013-09-13,3704.0578846153853
2013-09-16,3728.5578846153853
2013-09-17,3737.0578846153853
2013-09-18,3812.0578846153853
2013-09-19,3786.0578846153853
2013-09-20,3776.0578846153853
2013-09-23,3766.0578846153853
2013-09-24,3779.0578846153853
2013-09-25,3774.0578846153853
2013-09-26,3784.5578846153853
2013-09-27,3777.5578846153853
2013-09-30,3732.0578846153853
2013-10-01,3780.5578846153853
2013-10-02,3757.5578846153853
2013-10-03,3711.0578846153853
2013-10-04,3755.5578846153853
2013-10-07,3742.0578846153853
2013-10-08,3707.5578846153853
2013-10-09,3725.0578846153853
2013-10-10,3823.0578846153853
2013-10-11,3818.0578846153853
2013-10-14,3826.5578846153853
2013-10-15,3826.0578846153853
2013-10-16,3834.0578846153853
2013-10-17,3837.5578846153853
2013-10-18,3873.0578846153853
2013-10-21,3863.5578846153853
2013-10-22,3879.5578846153853
2013-10-23,3853.0578846153853
2013-10-24,3859.0578846153853
2013-10-25,3861.0578846153853
2013-10-28,3843.5578846153853
2013-10-29,3866.0578846153853
2013-10-30,3859.0578846153853
2013-10-31,3885.5578846153853
2013-11-01,3870.5578846153853
2013-11-04,3887.5578846153853
2013-11-05,3841.0578846153853
2013-11-06,3875.0578846153853
2013-11-07,3837.0578846153853
2013-11-08,3861.5578846153853
2013-11-11,3881.5578846153853
2013-11-12,3854.0578846153853
2013-11-13,3858.5578846153853
2013-11-14,3872.0578846153853
2013-11-15,3887.5625
2013-11-18,3896.0625
2013-11-19,3857.5625
2013-11-20,3843.0625
2013-11-21,3860.5625
2013-11-22,3873.5625
2013-11-25,3895.5625
2013-11-26,3873.0625
2013-11-27,3888.0625
2013-11-28,3898.0625
2013-11-29,3891.0625
2013-12-02,3882.0625
2013-12-03,3769.0625
2013-12-04,3744.0625
2013-12-05,3697.0625
2013-12-06,3728.0625
2013-12-09,3731.5625
2013-12-10,3689.5625
2013-12-11,3685.0625
2013-12-12,3667.5625
2013-12-13,3657.5625
2013-12-16,3722.5625
2013-12-17,3674.0625
2013-12-18,3713.625
2013-12-19,3781.125
2013-12-20,3798.625
2013-12-23,3822.125
2013-12-24,3824.625
2013-12-25,
2013-12-26,
2013-12-27,3883.125
2013-12-30,3880.625
2013-12-31,3900.625
2014-01-01,
2014-01-02,3829.125
2014-01-03,3849.125
2014-01-06,3830.625
2014-01-07,3863.125
2014-01-08,3862.625
2014-01-09,3830.625
2014-01-10,3854.125
2014-01-13,3865.625
2014-01-14,3875.625
2014-01-15,3932.625
2014-01-16,3921.625
2014-01-17,3932.1875
2014-01-20,3927.1875
2014-01-21,3928.1875
2014-01-22,3930.6875
2014-01-23,3886.1875
2014-01-24,3766.1875
2014-01-27,3748.1875
2014-01-28,3789.1875
2014-01-29,3761.1875
2014-01-30,3784.1875
2014-01-31,3770.6875
2014-02-03,3712.1875
2014-02-04,3721.1875
2014-02-05,3722.6875
2014-02-06,3792.6875
2014-02-07,3832.1875
2014-02-10,3840.1875
2014-02-11,3888.1875
2014-02-12,3909.1875
2014-02-13,3917.6875
2014-02-14,3943.6875
2014-02-17,3940.1875
2014-02-18,3936.1875
2014-02-19,3944.1875
2014-02-20,3959.6875
2014-02-21,3986.25
2014-02-24,4022.25
2014-02-25,4019.75
2014-02-26,4004.25
2014-02-27,4002.75
2014-02-28,4008.75
2014-03-03,3893.75
2014-03-04,3999.25
2014-03-05,3993.25
2014-03-06,4020.75
2014-03-07,3973.416666666667
2014-03-10,3986.25
2014-03-11,3946.25
2014-03-12,3917.75
2014-03-13,3830.75
2014-03-14,3822.9375
2014-03-17,3872.75
2014-03-18,3930.75
2014-03-19,3879.25
2014-03-20,3928.25
2014-03-21,3902.25
2014-03-24,
2014-03-25,3968.25
2014-03-26,3977.25
2014-03-27,3991.25
2014-03-28,4011.25
2014-03-31,4007.75
2014-04-01,4040.75
2014-04-02,4041.25
2014-04-03,4055.25
2014-04-04,
2014-04-07,4043.25
2014-04-08,4057.0625
2014-04-09,
2014-04-10,3976.25
2014-04-11,3954.25
2014-04-14,3984.75
2014-04-15,3979.25
2014-04-16,4023.25
2014-04-17,4055.75
2014-04-18,
2014-04-21,
2014-04-22,4091.25
2014-04-23,4063.25
2014-04-24,4071.5
2014-04-25,4063.75
2014-04-28,4064.9375
2014-04-29,
2014-04-30,4112.25
2014-05-01,
2014-05-02,4089.75
2014-05-05,4100.25
2014-05-06,4053.25
2014-05-07,4090.75
2014-05-08,4124.25
2014-05-09,4121.25
2014-05-12,4156.75
2014-05-13,4168.75
2014-05-14,4157.75
2014-05-15,4125.75
2014-05-16,4130.75
2014-05-19,4142.25
2014-05-20,4120.25
2014-05-21,4151.25
2014-05-22,4157.25
2014-05-23,4174.25
2014-05-26,4200.25
2014-05-27,4219.875
2014-05-28,4209.75
2014-05-29,4221.75
2014-05-30,4215.5
2014-06-02,4221.75
2014-06-03,4206.25
2014-06-04,4181.5
2014-06-05,4259.25
2014-06-06,4294.75
2014-06-09,4298.75
2014-06-10,4298.25
2014-06-11,4262.25
2014-06-12,4256.5
2014-06-13,4249.25
2014-06-16,4215.25
2014-06-17,4234.75
2014-06-18,4266.75
2014-06-19,4267.25
2014-06-20,4240.75
2014-06-23,4229.75
2014-06-24,4227.0
2014-06-25,4180.25
2014-06-26,4166.75
2014-06-27,4158.75
2014-06-30,4131.25
2014-07-01,4168.25
2014-07-02,4153.25
2014-07-03,4180.0
2014-07-04,4182.25
2014-07-07,4125.25
2014-07-08,4061.75
2014-07-09,4075.25
2014-07-10,4026.25
2014-07-11,4035.25
2014-07-14,4050.25
2014-07-15,4025.75
2014-07-16,4078.75
2014-07-17,3993.25
2014-07-18,4053.75
2014-07-21,4021.75
2014-07-22,4075.75
2014-07-23,4083.25
2014-07-24,4110.25
2014-07-25,4038.5
2014-07-28,4058.75
2014-07-29,4077.5
2014-07-30,4023.0
2014-07-31,3990.75
2014-08-01,
2014-08-04,
2014-08-05,
2014-08-06,3904.75
2014-08-07,3884.0
2014-08-08,3844.5
2014-08-11,3890.75
2014-08-12,3879.25
2014-08-13,3901.75
2014-08-14,3923.25
2014-08-15,3903.75
2014-08-18,3943.75
2014-08-19,3966.25
2014-08-20,3954.25
2014-08-21,3992.25
2014-08-22,3962.75
2014-08-25,4042.75
2014-08-26,4089.75
2014-08-27,4100.25
2014-08-28,4078.25
2014-08-29,4093.75
2014-09-01,4084.5
2014-09-02,4087.25
2014-09-03,4123.75
2014-09-04,4192.25
2014-09-05,4204.75
2014-09-08,4175.75
2014-09-09,4149.25
2014-09-10,4175.75
2014-09-11,4153.25
2014-09-12,4146.75
2014-09-15,4141.25
2014-09-16,4142.75
2014-09-17,4151.75
2014-09-18,4162.25
2014-09-19,4164.75
2014-09-22,4144.75
2014-09-23,4073.75
2014-09-24,4140.25
2014-09-25,4063.75
2014-09-26,4133.75
2014-09-29,4076.75
2014-09-30,4118.75
2014-10-01,4062.75
2014-10-02,3979.25
2014-10-03,4006.75
2014-10-06,4000.5
2014-10-07,3894.25
2014-10-08,3936.75
2014-10-09,3820.75
2014-10-10,3790.25
2014-10-13,3759.25
2014-10-14,3783.25
2014-10-15,3687.75
2014-10-16,3614.5
2014-10-17,3732.75
2014-10-20,3725.25
2014-10-21,3818.25
2014-10-22,3786.75
2014-10-23,3869.75
2014-10-24,3865.75
2014-10-27,3834.75
2014-10-28,3855.75
2014-10-29,3835.75
2014-10-30,3877.75
2014-10-31,3960.75
2014-11-03,3913.25
2014-11-04,3871.75
2014-11-05,3926.75
2014-11-06,3959.75
2014-11-07,3913.25
2014-11-10,3944.25
2014-11-11,3967.75
2014-11-12,3920.25
2014-11-13,3918.25
2014-11-14,3925.75
2014-11-17,3958.25
2014-11-18,4002.25
2014-11-19,3996.75
2014-11-20,3957.75
2014-11-21,4072.75
2014-11-24,4107.75
2014-11-25,4117.75
2014-11-26,4111.75
2014-11-27,4106.75
2014-11-28,4109.75
2014-12-01,4109.25
2014-12-02,4124.25
2014-12-03,4131.25
2014-12-04,4080.75
2014-12-05,4139.75
2014-12-08,4091.75
2014-12-09,4029.75
2014-12-10,3933.75
2014-12-11,3929.75
2014-12-12,3816.75
2014-12-15,3747.75
2014-12-16,3779.75
2014-12-17,3894.75
2014-12-18,4002.25
2014-12-19,3945.75
2014-12-22,3950.25
2014-12-23,3993.25
2014-12-24,3979.25
2014-12-25,
2014-12-26,
2014-12-29,4001.75
2014-12-30,3937.75
2014-12-31,3950.25
2015-01-01,
2015-01-02,3921.75
2015-01-05,3787.75
2015-01-06,3775.75
2015-01-07,3817.25
2015-01-08,3924.75
2015-01-09,3863.25
2015-01-12,3881.75
2015-01-13,3926.75
2015-01-14,3920.75
2015-01-15,3988.75
2015-01-16,4034.75
2015-01-19,4012.25
2015-01-20,4085.25
2015-01-21,4109.75
2015-01-22,4231.25
2015-01-23,4261.25
2015-01-26,4313.75
2015-01-27,4259.25
2015-01-28,4176.25
2015-01-29,4294.25
2015-01-30,4221.25
2015-02-02,4274.25
2015-02-03,4321.25
2015-02-04,4312.75
2015-02-05,4327.25
2015-02-06,4277.75
2015-02-09,4273.75
2015-02-10,4338.75
2015-02-11,4317.75
2015-02-12,4373.25
2015-02-13,4393.75
2015-02-16,4347.25
2015-02-17,4398.25
2015-02-18,4424.75
2015-02-19,4449.75
2015-02-20,4508.25
2015-02-23,4474.75
2015-02-24,4513.75
2015-02-25,4502.75
2015-02-26,4528.75
2015-02-27,4567.0
2015-03-02,4553.75
2015-03-03,4512.75
2015-03-04,4542.25
2015-03-05,4582.75
2015-03-06,4565.75
2015-03-09,4562.75
2015-03-10,4512.75
2015-03-11,4625.25
2015-03-12,4623.25
2015-03-13,4643.25
2015-03-16,4690.25
2015-03-17,4669.75
2015-03-18,4645.75
2015-03-19,4654.75
2015-03-20,4712.75
2015-03-23,4671.75
2015-03-24,4703.75
2015-03-25,4641.25
2015-03-26,4635.25
2015-03-27,4673.25
2015-03-30,4714.75
2015-03-31,4656.25
2015-04-01,4702.75
2015-04-02,4708.25
2015-04-03,
2015-04-06,
2015-04-07,4777.75
2015-04-08,4778.25
2015-04-09,4858.75
2015-04-10,4874.75
2015-04-13,4859.25
2015-04-14,4860.75
2015-04-15,4882.25
2015-04-16,4849.25
2015-04-17,4763.75
2015-04-20,4811.25
2015-04-21,4837.75
2015-04-22,4860.75
2015-04-23,4834.75
2015-04-24,4834.25
2015-04-27,4882.25
2015-04-28,4820.25
2015-04-29,4692.75
2015-04-30,4669.25
2015-05-01,
2015-05-04,4734.25
2015-05-05,4631.25
2015-05-06,4626.75
2015-05-07,4622.75
2015-05-08,4753.25
2015-05-11,4697.75
2015-05-12,4662.25
2015-05-13,4636.75
2015-05-14,4713.75
2015-05-15,4698.75
2015-05-18,4716.25
2015-05-19,4799.25
2015-05-20,4833.75
2015-05-21,4852.75
2015-05-22,4850.25
2015-05-25,4816.25
2015-05-26,4798.75
2015-05-27,4892.25
2015-05-28,4854.75
2015-05-29,4739.25
2015-06-01,4748.25
2015-06-02,4720.25
2015-06-03,4738.75
2015-06-04,4664.25
2015-06-05,4640.25
2015-06-08,4566.75
2015-06-09,4557.25
2015-06-10,4662.25
2015-06-11,4702.75
2015-06-12,4634.25
2015-06-15,4562.75
2015-06-16,4572.75
2015-06-17,4505.75
2015-06-18,4542.25
2015-06-19,4548.25
2015-06-22,4723.75
2015-06-23,4798.25
2015-06-24,4754.25
2015-06-25,4759.75
2015-06-26,4791.75
2015-06-29,4558.25
2015-06-30,4541.25
2015-07-01,4615.75
2015-07-02,4585.25
2015-07-03,4544.75
2015-07-06,4429.25
2015-07-07,4438.25
2015-07-08,4360.75
2015-07-09,4475.25
2015-07-10,4679.75
2015-07-13,4737.75
2015-07-14,4782.25
2015-07-15,4773.25
2015-07-16,4867.25
2015-07-17,4866.75
2015-07-20,4885.25
2015-07-21,4840.75
2015-07-22,4825.75
2015-07-23,4801.25
2015-07-24,4770.25
2015-07-27,4659.75
2015-07-28,4729.75
2015-07-29,4768.25
2015-07-30,4791.75
2015-07-31,4816.75
2015-08-03,4840.75
2015-08-04,4858.25
2015-08-05,4922.75
2015-08-06,4931.25
2015-08-07,4909.75
2015-08-10,4939.25
2015-08-11,4859.25
2015-08-12,4725.75
2015-08-13,4722.75
2015-08-14,4726.75
2015-08-17,4740.25
2015-08-18,4708.25
2015-08-19,4642.25
2015-08-20,4492.75
2015-08-21,4339.25
2015-08-24,4158.25
2015-08-25,4153.75
2015-08-26,4314.75
2015-08-27,4410.75
2015-08-28,4404.75
2015-08-31,4379.25
2015-09-01,
2015-09-02,4329.25
2015-09-03,4366.25
2015-09-04,4273.25
2015-09-07,4287.25
2015-09-08,4363.25
2015-09-09,4336.25
2015-09-10,4353.25
2015-09-11,4312.75
2015-09-14,4273.25
2015-09-15,4336.25
2015-09-16,4402.25
2015-09-17,4381.75
2015-09-18,4285.25
2015-09-21,4339.0
2015-09-22,4185.75
2015-09-23,4174.75
2015-09-24,4135.25
2015-09-25,4191.75
2015-09-28,4084.25
2015-09-29,4100.25
2015-09-30,4208.25
2015-10-01,4201.25
2015-10-02,4273.75
2015-10-05,4397.75
2015-10-06,4394.25
2015-10-07,4446.75
2015-10-08,4475.25
2015-10-09,4450.25
2015-10-12,4431.75
2015-10-13,4368.75
2015-10-14,4364.25
2015-10-15,4456.75
2015-10-16,4461.75
2015-10-19,4452.75
2015-10-20,4425.75
2015-10-21,4416.75
2015-10-22,4571.25
2015-10-23,4690.75
2015-10-26,4644.75
2015-10-27,4619.25
2015-10-28,4678.75
2015-10-29,
2015-10-30,
2015-11-02,4683.75
2015-11-03,4689.75
2015-11-04,4704.25
2015-11-05,4731.25
2015-11-06,4749.25
2015-11-09,4660.25
2015-11-10,4676.25
2015-11-11,4683.75
2015-11-12,4594.75
2015-11-13,4543.25
2015-11-16,4611.25
2015-11-17,4644.25
2015-11-18,4678.25
2015-11-19,4658.75
2015-11-20,4660.75
2015-11-23,4628.25
2015-11-24,4590.75
2015-11-25,4636.75
2015-11-26,4686.25
2015-11-27,4681.75
2015-11-30,4701.25
2015-12-01,4682.25
2015-12-02,4624.25
2015-12-03,4431.75
2015-12-04,4524.25
2015-12-07,4529.25
2015-12-08,4436.25
2015-12-09,4357.25
2015-12-10,4376.75
2015-12-11,4283.75
2015-12-14,4296.75
2015-12-15,4372.25
2015-12-16,4464.25
2015-12-17,4427.75
2015-12-18,4341.25
2015-12-21,4356.25
2015-12-22,4366.25
2015-12-23,4459.75
2015-12-24,4432.25
2015-12-25,
2015-12-28,4401.75
2015-12-29,4462.25
2015-12-30,4434.75
2015-12-31,4412.25
2016-01-01,
2016-01-04,4295.25
2016-01-05,4315.75
2016-01-06,4226.75
2016-01-07,4116.25
2016-01-08,4064.75
2016-01-11,4111.75
2016-01-12,4176.75
2016-01-13,4067.25
2016-01-14,4121.75
2016-01-15,3955.75
2016-01-18,3957.25
2016-01-19,3994.75
2016-01-20,3931.25
2016-01-21,3955.25
2016-01-22,4120.25
2016-01-25,4047.75
2016-01-26,4141.25
2016-01-27,4090.75
2016-01-28,4102.75
2016-01-29,4199.25
2016-02-01,4171.75
2016-02-02,4027.75
2016-02-03,4033.25
2016-02-04,4008.75
2016-02-05,3964.25
2016-02-08,3851.75
2016-02-09,3777.75
2016-02-10,3791.25
2016-02-11,3711.75
2016-02-12,3782.75
2016-02-15,3881.25
2016-02-16,3909.25
2016-02-17,4016.75
2016-02-18,4000.75
2016-02-19,3972.75
2016-02-22,4043.25
2016-02-23,3976.25
2016-02-24,3971.75
2016-02-25,4028.75
2016-02-26,4049.25
2016-02-29,4066.25
2016-03-01,4170.75
2016-03-02,4176.25
2016-03-03,4183.25
2016-03-04,4199.25
2016-03-07,4191.75
2016-03-08,4147.25
2016-03-09,4170.25
2016-03-10,4114.75
2016-03-11,4258.25
2016-03-14,4259.25
2016-03-15,4233.75
2016-03-16,4223.25
2016-03-17,4188.25
2016-03-18,4210.75
2016-03-21,4196.75
2016-03-22,4193.75
2016-03-23,4166.25
2016-03-24,4115.75
2016-03-25,
2016-03-28,
2016-03-29,4144.25
2016-03-30,4211.25
2016-03-31,4134.75
2016-04-01,4083.75
2016-04-04,4095.25
2016-04-05,4003.25
2016-04-06,4063.25
2016-04-07,3987.25
2016-04-08,4058.75
2016-04-11,4052.75
2016-04-12,4112.75
2016-04-13,4249.75
2016-04-14,4270.25
2016-04-15,4251.75
2016-04-18,4279.75
2016-04-19,4339.75
2016-04-20,4361.25
2016-04-21,4338.25
2016-04-22,4349.75
2016-04-25,4328.25
2016-04-26,4325.25
2016-04-27,4348.75
2016-04-28,4286.25
2016-04-29,4220.75
2016-05-02,4237.25
2016-05-03,4162.25
2016-05-04,4116.25
2016-05-05,4114.25
2016-05-06,4135.25
2016-05-09,4134.25
2016-05-10,4178.75
2016-05-11,4130.25
2016-05-12,4137.75
2016-05-13,4111.25
2016-05-16,4161.75
2016-05-17,4112.25
2016-05-18,4156.25
2016-05-19,4144.25
2016-05-20,4191.25
2016-05-23,4169.25
2016-05-24,4290.25
2016-05-25,4333.75
2016-05-26,4363.25
2016-05-27,4379.25
2016-05-30,4395.25
2016-05-31,4371.75
2016-06-01,4341.75
2016-06-02,4363.25
2016-06-03,4301.25
2016-06-06,4309.75
2016-06-07,4346.75
2016-06-08,4339.75
2016-06-09,4291.25
2016-06-10,4175.75
2016-06-13,4096.75
2016-06-14,4038.25
2016-06-15,4051.25
2016-06-16,4087.25
2016-06-17,4119.25
2016-06-20,4211.75
2016-06-21,4284.25
2016-06-22,4257.25
2016-06-23,4388.75
2016-06-24,3987.25
2016-06-27,3916.25
2016-06-28,4016.75
2016-06-29,4083.25
2016-06-30,4166.25
2016-07-01,4153.25
2016-07-04,4142.25
2016-07-05,4041.75
2016-07-06,4020.25
2016-07-07,4004.25
2016-07-08,4086.75
2016-07-11,4144.75
2016-07-12,4226.25
2016-07-13,4234.25
2016-07-14,4273.75
2016-07-15,4267.25
2016-07-18,4251.75
2016-07-19,4230.75
2016-07-20,4266.25
2016-07-21,4258.75
2016-07-22,4283.75
2016-07-25,4276.25
2016-07-26,4302.25
2016-07-27,4332.75
2016-07-28,4347.25
2016-07-29,4335.75
2016-08-01,4284.75
2016-08-02,4227.75
2016-08-03,4234.75
2016-08-04,4248.25
2016-08-05,4300.25
2016-08-08,4311.75
2016-08-09,4349.25
2016-08-10,4346.75
2016-08-11,4399.75
2016-08-12,4394.25
2016-08-15,4390.25
2016-08-16,4357.75
2016-08-17,4344.25
2016-08-18,4330.25
2016-08-19,4307.25
2016-08-22,4300.25
2016-08-23,4311.75
2016-08-24,4323.25
2016-08-25,4288.25
2016-08-26,4321.25
2016-08-29,4337.25
2016-08-30,4354.25
2016-08-31,4339.75
2016-09-01,4354.25
2016-09-02,4448.25
2016-09-05,4444.25
