DATETIME,PRICE
2013-03-22,6621.375
2013-03-25,
2013-03-26,
2013-03-27,
2013-03-28,
2013-03-29,
2013-04-01,
2013-04-02,
2013-04-03,
2013-04-04,
2013-04-05,
2013-04-08,
2013-04-09,6572.375
2013-04-10,
2013-04-11,
2013-04-12,
2013-04-15,
2013-04-16,
2013-04-17,6554.375
2013-04-18,
2013-04-19,
2013-04-22,
2013-04-23,
2013-04-24,
2013-04-25,
2013-04-26,
2013-04-29,6818.375
2013-04-30,
2013-05-01,
2013-05-02,
2013-05-03,6904.375
2013-05-06,
2013-05-07,6946.375
2013-05-08,7061.375
2013-05-09,
2013-05-10,
2013-05-13,
2013-05-14,
2013-05-15,7242.375
2013-05-16,
2013-05-17,7203.375
2013-05-20,
2013-05-21,7242.375
2013-05-22,7273.375
2013-05-23,
2013-05-24,
2013-05-27,
2013-05-28,7189.375
2013-05-29,7041.375
2013-05-30,6993.375
2013-05-31,
2013-06-03,6840.375
2013-06-04,6773.375
2013-06-05,6702.375
2013-06-06,6689.375
2013-06-07,
2013-06-10,
2013-06-11,
2013-06-12,
2013-06-13,
2013-06-14,
2013-06-17,6689.375
2013-06-18,
2013-06-19,
2013-06-20,6608.375
2013-06-21,6385.375
2013-06-24,6219.375
2013-06-25,6364.375
2013-06-26,6520.375
2013-06-27,6627.375
2013-06-28,6608.375
2013-07-01,6696.375
2013-07-02,
2013-07-03,
2013-07-04,6774.375
2013-07-05,6749.375
2013-07-08,6821.375
2013-07-09,6899.375
2013-07-10,6891.375
2013-07-11,6959.375
2013-07-12,
2013-07-15,6961.375
2013-07-16,6894.375
2013-07-17,6906.375
2013-07-18,
2013-07-19,6893.375
2013-07-22,6894.375
2013-07-23,6881.375
2013-07-24,6881.375
2013-07-25,6839.375
2013-07-26,6769.375
2013-07-29,6774.375
2013-07-30,6782.375
2013-07-31,6801.375
2013-08-01,
2013-08-02,6924.375
2013-08-05,
2013-08-06,6975.375
2013-08-07,6944.375
2013-08-08,6937.375
2013-08-09,6929.375
2013-08-12,6955.375
2013-08-13,7003.375
2013-08-14,7039.375
2013-08-15,6943.375
2013-08-16,6918.375
2013-08-19,6900.375
2013-08-20,6910.375
2013-08-21,6854.375
2013-08-22,6969.375
2013-08-23,6965.375
2013-08-26,6989.375
2013-08-27,6819.375
2013-08-28,6750.375
2013-08-29,6719.375
2013-08-30,6713.375
2013-09-02,6845.375
2013-09-03,6839.375
2013-09-04,6855.375
2013-09-05,6907.375
2013-09-06,6914.375
2013-09-09,6917.375
2013-09-10,7009.375
2013-09-11,7033.375
2013-09-12,6996.375
2013-09-13,7002.375
2013-09-16,6997.375
2013-09-17,6992.375
2013-09-18,7099.375
2013-09-19,7081.375
2013-09-20,7052.375
2013-09-23,7038.375
2013-09-24,7021.375
2013-09-25,7009.375
2013-09-26,7029.375
2013-09-27,7027.375
2013-09-30,6989.375
2013-10-01,7029.375
2013-10-02,6923.375
2013-10-03,6899.375
2013-10-04,6917.375
2013-10-07,6848.375
2013-10-08,6791.375
2013-10-09,6711.375
2013-10-10,6812.375
2013-10-11,6910.375
2013-10-14,6892.375
2013-10-15,6960.375
2013-10-16,6952.375
2013-10-17,6985.375
2013-10-18,7042.375
2013-10-21,7092.375
2013-10-22,7178.375
2013-10-23,7176.375
2013-10-24,7203.375
2013-10-25,7202.375
2013-10-28,7250.375
2013-10-29,7200.375
2013-10-30,7204.375
2013-10-31,7219.375
2013-11-01,7179.375
2013-11-04,7160.375
2013-11-05,7114.375
2013-11-06,7201.375
2013-11-07,7190.375
2013-11-08,7198.375
2013-11-11,7240.375
2013-11-12,7232.375
2013-11-13,7202.375
2013-11-14,7278.375
2013-11-15,7298.375
2013-11-18,7315.375
2013-11-19,7272.375
2013-11-20,7252.375
2013-11-21,7243.375
2013-11-22,7228.375
2013-11-25,7276.375
2013-11-26,7226.375
2013-11-27,7229.375
2013-11-28,7223.375
2013-11-29,7246.375
2013-12-02,7232.375
2013-12-03,7068.375
2013-12-04,7005.375
2013-12-05,6993.375
2013-12-06,7047.375
2013-12-09,7037.375
2013-12-10,6947.375
2013-12-11,6953.375
2013-12-12,6815.375
2013-12-13,6804.375
2013-12-16,6828.375
2013-12-17,6817.375
2013-12-18,6862.0
2013-12-19,6987.0
2013-12-20,7058.0
2013-12-23,7074.0
2013-12-24,
2013-12-25,
2013-12-26,
2013-12-27,7203.0
2013-12-30,7156.0
2013-12-31,
2014-01-01,
2014-01-02,
2014-01-03,7250.0
2014-01-06,7231.0
2014-01-07,7299.0
2014-01-08,7305.0
2014-01-09,7257.0
2014-01-10,7338.0
2014-01-13,7388.0
2014-01-14,7357.0
2014-01-15,7398.0
2014-01-16,7425.0
2014-01-17,7444.0
2014-01-20,7444.0
2014-01-21,7430.0
2014-01-22,7429.0
2014-01-23,7382.0
2014-01-24,7152.0
2014-01-27,7093.0
2014-01-28,7146.0
2014-01-29,7093.0
2014-01-30,7163.0
2014-01-31,7132.0
2014-02-03,7066.0
2014-02-04,7063.0
2014-02-05,7078.0
2014-02-06,7183.0
2014-02-07,7279.0
2014-02-10,7282.0
2014-02-11,7321.0
2014-02-12,7370.0
2014-02-13,7350.0
2014-02-14,7390.0
2014-02-17,7384.0
2014-02-18,7379.0
2014-02-19,7366.0
2014-02-20,7352.0
2014-02-21,7394.0
2014-02-24,7437.0
2014-02-25,7468.0
2014-02-26,7489.0
2014-02-27,7482.0
2014-02-28,7477.0
2014-03-03,7294.0
2014-03-04,7456.0
2014-03-05,7469.0
2014-03-06,7532.0
2014-03-07,7421.666666666666
2014-03-10,7436.0
2014-03-11,7394.0
2014-03-12,7349.0
2014-03-13,7215.0
2014-03-14,7156.25
2014-03-17,7223.0
2014-03-18,7305.5
2014-03-19,7254.0
2014-03-20,7300.0
2014-03-21,7289.0
2014-03-24,
2014-03-25,7373.0
2014-03-26,7354.0
2014-03-27,7378.0
2014-03-28,7418.0
2014-03-31,7512.0
2014-04-01,7522.0
2014-04-02,7561.0
2014-04-03,7564.0
2014-04-04,
2014-04-07,7470.0
2014-04-08,7509.625
2014-04-09,
2014-04-10,7415.0
2014-04-11,7330.0
2014-04-14,7404.0
2014-04-15,7420.0
2014-04-16,7460.0
2014-04-17,7529.0
2014-04-18,
2014-04-21,
2014-04-22,7595.0
2014-04-23,7573.0
2014-04-24,7531.0
2014-04-25,7501.0
2014-04-28,7529.75
2014-04-29,
2014-04-30,7614.0
2014-05-01,
2014-05-02,7580.0
2014-05-05,7568.0
2014-05-06,7543.0
2014-05-07,7579.0
2014-05-08,7589.0
2014-05-09,7667.0
2014-05-12,7718.0
2014-05-13,7719.0
2014-05-14,7760.0
2014-05-15,7829.0
2014-05-16,7853.0
2014-05-19,7817.0
2014-05-20,7798.0
2014-05-21,7831.0
2014-05-22,7860.0
2014-05-23,7874.0
2014-05-26,7879.0
2014-05-27,7882.5
2014-05-28,7865.0
2014-05-29,
2014-05-30,7849.5
2014-06-02,7876.0
2014-06-03,7838.0
2014-06-04,7847.5
2014-06-05,7817.0
2014-06-06,7838.0
2014-06-09,
2014-06-10,7939.0
2014-06-11,7875.0
2014-06-12,7836.5
2014-06-13,7820.0
2014-06-16,7806.0
2014-06-17,7833.0
2014-06-18,7872.0
2014-06-19,7857.0
2014-06-20,7864.0
2014-06-23,7842.0
2014-06-24,7845.5
2014-06-25,7767.0
2014-06-26,7737.0
2014-06-27,7745.0
2014-06-30,7724.0
2014-07-01,7795.0
2014-07-02,7788.0
2014-07-03,7837.5
2014-07-04,7865.0
2014-07-07,7790.0
2014-07-08,7728.0
2014-07-09,7728.0
2014-07-10,7670.0
2014-07-11,7660.0
2014-07-14,7734.0
2014-07-15,7757.0
2014-07-16,7789.0
2014-07-17,7677.0
2014-07-18,7705.0
2014-07-21,7691.0
2014-07-22,7756.0
2014-07-23,7766.0
2014-07-24,7810.0
2014-07-25,7741.0
2014-07-28,7717.0
2014-07-29,7703.0
2014-07-30,7667.5
2014-07-31,7615.5
2014-08-01,
2014-08-04,
2014-08-05,
2014-08-06,7441.0
2014-08-07,7475.0
2014-08-08,7401.5
2014-08-11,7494.0
2014-08-12,7495.0
2014-08-13,7549.0
2014-08-14,7622.0
2014-08-15,7562.0
2014-08-18,7634.0
2014-08-19,7712.0
2014-08-20,7723.0
2014-08-21,7745.0
2014-08-22,7728.0
2014-08-25,7786.0
2014-08-26,7831.0
2014-08-27,7841.0
2014-08-28,7809.0
2014-08-29,7846.0
2014-09-01,7910.0
2014-09-02,7938.0
2014-09-03,7978.0
2014-09-04,7994.0
2014-09-05,7998.0
2014-09-08,7970.0
2014-09-09,7978.0
2014-09-10,8007.0
2014-09-11,8011.0
2014-09-12,7956.0
2014-09-15,7976.0
2014-09-16,8012.0
2014-09-17,8009.0
2014-09-18,8003.0
2014-09-19,8002.0
2014-09-22,7987.0
2014-09-23,7950.0
2014-09-24,7998.0
2014-09-25,7930.0
2014-09-26,7990.0
2014-09-29,7950.0
2014-09-30,7997.0
2014-10-01,7929.0
2014-10-02,7846.0
2014-10-03,7893.0
2014-10-06,7878.0
2014-10-07,7693.0
2014-10-08,7767.0
2014-10-09,7602.0
2014-10-10,7524.0
2014-10-13,7458.0
2014-10-14,7467.0
2014-10-15,7320.0
2014-10-16,7143.0
2014-10-17,7408.0
2014-10-20,7461.0
2014-10-21,7610.0
2014-10-22,7637.0
2014-10-23,7711.0
2014-10-24,7724.0
2014-10-27,7714.0
2014-10-28,7842.0
2014-10-29,7839.0
2014-10-30,7927.0
2014-10-31,8027.0
2014-11-03,7933.0
2014-11-04,7917.0
2014-11-05,8032.0
2014-11-06,8046.0
2014-11-07,7991.0
2014-11-10,8055.0
2014-11-11,8082.0
2014-11-12,8070.0
2014-11-13,8130.0
2014-11-14,8080.0
2014-11-17,8120.0
2014-11-18,8167.0
2014-11-19,8173.0
2014-11-20,8171.0
2014-11-21,8258.0
2014-11-24,8260.0
2014-11-25,8251.0
2014-11-26,8247.0
2014-11-27,8310.0
2014-11-28,8315.0
2014-12-01,8334.0
2014-12-02,8351.0
2014-12-03,8370.0
2014-12-04,8325.0
2014-12-05,8400.0
2014-12-08,8343.0
2014-12-09,8267.0
2014-12-10,8165.0
2014-12-11,8205.0
2014-12-12,8023.0
2014-12-15,7875.0
2014-12-16,7910.0
2014-12-17,8018.0
2014-12-18,8244.0
2014-12-19,8269.0
2014-12-22,8318.0
2014-12-23,8272.0
2014-12-24,
2014-12-25,
2014-12-26,
2014-12-29,8290.0
2014-12-30,8240.0
2014-12-31,
2015-01-01,
2015-01-02,
2015-01-05,8161.0
2015-01-06,8119.0
2015-01-07,8186.0
2015-01-08,8379.0
2015-01-09,8374.0
2015-01-12,8355.0
2015-01-13,8471.0
2015-01-14,8474.0
2015-01-15,7336.0
2015-01-16,7251.0
2015-01-19,7401.0
2015-01-20,7444.0
2015-01-21,7231.0
2015-01-22,7278.0
2015-01-23,7360.0
2015-01-26,7573.0
2015-01-27,7642.0
2015-01-28,7494.0
2015-01-29,7720.0
2015-01-30,7580.0
2015-02-02,7725.0
2015-02-03,7719.0
2015-02-04,7846.0
2015-02-05,7792.0
2015-02-06,7774.0
2015-02-09,7837.0
2015-02-10,7880.0
2015-02-11,7836.0
2015-02-12,7882.0
2015-02-13,7905.0
2015-02-16,7908.0
2015-02-17,8021.0
2015-02-18,8052.0
2015-02-19,8134.0
2015-02-20,8185.0
2015-02-23,8207.0
2015-02-24,8234.0
2015-02-25,8222.0
2015-02-26,8294.0
2015-02-27,8260.0
2015-03-02,8317.0
2015-03-03,8265.0
2015-03-04,8292.0
2015-03-05,8363.0
2015-03-06,8380.0
2015-03-09,8374.0
2015-03-10,8362.0
2015-03-11,8422.0
2015-03-12,8473.0
2015-03-13,8493.0
2015-03-16,8572.0
2015-03-17,8559.0
2015-03-18,8584.0
2015-03-19,8651.0
2015-03-20,8716.0
2015-03-23,8693.0
2015-03-24,8612.0
2015-03-25,8524.0
2015-03-26,8423.0
2015-03-27,8448.0
2015-03-30,8561.0
2015-03-31,8451.0
2015-04-01,8494.0
2015-04-02,8486.0
2015-04-03,
2015-04-06,
2015-04-07,8619.0
2015-04-08,8621.0
2015-04-09,8795.0
2015-04-10,8835.0
2015-04-13,8764.0
2015-04-14,8793.0
2015-04-15,8798.0
2015-04-16,8762.0
2015-04-17,8634.0
2015-04-20,8656.0
2015-04-21,8728.0
2015-04-22,8809.0
2015-04-23,8786.0
2015-04-24,8741.0
2015-04-27,8739.0
2015-04-28,8710.0
2015-04-29,8535.0
2015-04-30,8447.0
2015-05-01,
2015-05-04,8558.0
2015-05-05,8461.0
2015-05-06,8322.0
2015-05-07,8331.0
2015-05-08,8572.0
2015-05-11,8570.0
2015-05-12,8533.0
2015-05-13,8523.0
2015-05-14,
2015-05-15,8607.0
2015-05-18,8681.0
2015-05-19,8751.0
2015-05-20,8795.0
2015-05-21,8845.0
2015-05-22,8847.0
2015-05-25,
2015-05-26,8760.0
2015-05-27,8893.0
2015-05-28,8873.0
2015-05-29,8783.0
2015-06-01,8775.0
2015-06-02,8689.0
2015-06-03,8739.0
2015-06-04,8660.0
2015-06-05,8580.0
2015-06-08,8518.0
2015-06-09,8443.0
2015-06-10,8602.0
2015-06-11,8626.0
2015-06-12,8508.0
2015-06-15,8423.0
2015-06-16,8459.0
2015-06-17,8356.0
2015-06-18,8380.0
2015-06-19,8345.0
2015-06-22,8504.0
2015-06-23,8649.0
2015-06-24,8523.0
2015-06-25,8488.0
2015-06-26,8512.0
2015-06-29,8264.0
2015-06-30,8252.0
2015-07-01,8398.0
2015-07-02,8438.0
2015-07-03,8401.0
2015-07-06,8316.0
2015-07-07,8362.0
2015-07-08,8294.0
2015-07-09,8441.0
2015-07-10,8643.0
2015-07-13,8748.0
2015-07-14,8821.0
2015-07-15,8781.0
2015-07-16,8956.0
2015-07-17,8944.0
2015-07-20,8990.0
2015-07-21,8879.0
2015-07-22,8785.0
2015-07-23,8849.0
2015-07-24,8795.0
2015-07-27,8676.0
2015-07-28,8808.0
2015-07-29,8905.0
2015-07-30,8917.0
2015-07-31,8931.0
2015-08-03,8957.0
2015-08-04,8993.0
2015-08-05,9012.0
2015-08-06,8956.0
2015-08-07,8921.0
2015-08-10,9029.0
2015-08-11,8940.0
2015-08-12,8777.0
2015-08-13,8837.0
2015-08-14,8881.0
2015-08-17,8906.0
2015-08-18,8880.0
2015-08-19,8773.0
2015-08-20,8561.0
2015-08-21,8195.0
2015-08-24,7982.0
2015-08-25,8021.0
2015-08-26,8196.0
2015-08-27,8367.0
2015-08-28,8275.0
2015-08-31,8306.5
2015-09-01,
2015-09-02,8170.0
2015-09-03,8237.0
2015-09-04,8164.0
2015-09-07,8191.0
2015-09-08,8333.0
2015-09-09,8276.0
2015-09-10,8302.0
2015-09-11,8292.0
2015-09-14,8199.0
2015-09-15,8345.0
2015-09-16,8402.0
2015-09-17,8299.0
2015-09-18,8275.0
2015-09-21,8316.0
2015-09-22,8006.0
2015-09-23,7943.0
2015-09-24,7881.0
2015-09-25,7938.0
2015-09-28,7834.0
2015-09-29,7827.0
2015-09-30,8036.0
2015-10-01,8067.0
2015-10-02,8122.0
2015-10-05,8299.0
2015-10-06,8245.0
2015-10-07,8220.0
2015-10-08,8265.0
2015-10-09,8205.0
2015-10-12,8215.0
2015-10-13,8127.0
2015-10-14,8079.0
2015-10-15,8227.0
2015-10-16,8245.0
2015-10-19,8220.0
2015-10-20,8173.0
2015-10-21,8106.0
2015-10-22,8334.0
2015-10-23,8464.0
2015-10-26,8427.0
2015-10-27,8409.0
2015-10-28,8495.0
2015-10-29,
2015-10-30,
2015-11-02,8493.0
2015-11-03,8469.0
2015-11-04,8481.0
2015-11-05,8526.0
2015-11-06,8533.0
2015-11-09,8401.0
2015-11-10,8390.0
2015-11-11,8397.0
2015-11-12,8314.0
2015-11-13,8250.0
2015-11-16,8356.0
2015-11-17,8420.0
2015-11-18,8528.0
2015-11-19,8531.0
2015-11-20,8525.0
2015-11-23,8421.0
2015-11-24,8367.0
2015-11-25,8458.0
2015-11-26,8479.0
2015-11-27,8517.0
2015-11-30,8514.0
2015-12-01,8532.0
2015-12-02,8468.0
2015-12-03,8266.0
2015-12-04,8398.0
2015-12-07,8366.0
2015-12-08,8221.0
2015-12-09,8098.0
2015-12-10,8128.0
2015-12-11,8005.0
2015-12-14,8011.0
2015-12-15,8102.0
2015-12-16,8254.0
2015-12-17,8185.0
2015-12-18,8068.0
2015-12-21,8087.0
2015-12-22,8111.0
2015-12-23,8284.0
2015-12-24,
2015-12-25,
2015-12-28,8294.0
2015-12-29,8414.0
2015-12-30,8353.0
2015-12-31,
2016-01-01,
2016-01-04,8185.0
2016-01-05,8265.0
2016-01-06,8116.0
2016-01-07,7886.0
2016-01-08,7719.0
2016-01-11,7791.0
2016-01-12,7918.0
2016-01-13,7806.0
2016-01-14,7891.0
2016-01-15,7615.0
2016-01-18,7627.0
2016-01-19,7689.0
2016-01-20,7599.0
2016-01-21,7559.0
2016-01-22,7805.0
2016-01-25,7744.0
2016-01-26,7882.0
2016-01-27,7783.0
2016-01-28,7716.0
2016-01-29,7918.0
2016-02-01,7862.0
2016-02-02,7714.0
2016-02-03,7735.0
2016-02-04,7560.0
2016-02-05,7477.0
2016-02-08,7338.0
2016-02-09,7131.0
2016-02-10,7202.0
2016-02-11,7084.0
