DATETIME,PRICE
2013-08-14,3770.0578846153853
2013-08-15,3741.5578846153853
2013-08-16,3767.0578846153853
2013-08-19,3737.0578846153853
2013-08-20,3682.0578846153853
2013-08-21,3689.0578846153853
2013-08-22,3712.5578846153853
2013-08-23,3725.5578846153853
2013-08-26,3702.5578846153853
2013-08-27,3604.0578846153853
2013-08-28,3605.5578846153853
2013-08-29,3625.0578846153853
2013-08-30,3581.0578846153853
2013-09-02,3644.5578846153853
2013-09-03,3623.5578846153853
2013-09-04,3622.5578846153853
2013-09-05,3655.0578846153853
2013-09-06,3685.5578846153853
2013-09-09,3695.0578846153853
2013-09-10,3763.5578846153853
2013-09-11,3772.5578846153853
2013-09-12,3757.5578846153853
2013-09-13,3768.5578846153853
2013-09-16,3793.0578846153853
2013-09-17,3801.5578846153853
2013-09-18,3876.5578846153853
2013-09-19,3850.5578846153853
2013-09-20,3840.5578846153853
2013-09-23,3830.5578846153853
2013-09-24,3843.5578846153853
2013-09-25,3838.5578846153853
2013-09-26,3849.0578846153853
2013-09-27,3842.0578846153853
2013-09-30,3796.5578846153853
2013-10-01,3845.0578846153853
2013-10-02,3822.0578846153853
2013-10-03,3775.5578846153853
2013-10-04,3820.0578846153853
2013-10-07,3806.5578846153853
2013-10-08,3772.0578846153853
2013-10-09,3789.5578846153853
2013-10-10,3887.5578846153853
2013-10-11,3882.5578846153853
2013-10-14,3891.0578846153853
2013-10-15,3890.5578846153853
2013-10-16,3898.5578846153853
2013-10-17,3902.0578846153853
2013-10-18,3937.5578846153853
2013-10-21,3928.0578846153853
2013-10-22,3944.0578846153853
2013-10-23,3917.5578846153853
2013-10-24,3923.5578846153853
2013-10-25,3925.5578846153853
2013-10-28,3908.0578846153853
2013-10-29,3930.5578846153853
2013-10-30,3923.5578846153853
2013-10-31,3950.0578846153853
2013-11-01,3935.0578846153853
2013-11-04,3952.0578846153853
2013-11-05,3905.5578846153853
2013-11-06,3939.5578846153853
2013-11-07,3901.5578846153853
2013-11-08,3926.0578846153853
2013-11-11,3946.0578846153853
2013-11-12,3918.5578846153853
2013-11-13,3923.0578846153853
2013-11-14,3936.5578846153853
2013-11-15,3952.0625
2013-11-18,3960.5625
2013-11-19,3922.0625
2013-11-20,3907.5625
2013-11-21,3925.0625
2013-11-22,3938.0625
2013-11-25,3960.0625
2013-11-26,3937.5625
2013-11-27,3952.5625
2013-11-28,3962.5625
2013-11-29,3955.5625
2013-12-02,3946.5625
2013-12-03,3833.5625
2013-12-04,3808.5625
2013-12-05,3761.5625
2013-12-06,3792.5625
2013-12-09,3796.0625
2013-12-10,3754.0625
2013-12-11,3749.5625
2013-12-12,3732.0625
2013-12-13,3722.0625
2013-12-16,3787.0625
2013-12-17,3738.5625
2013-12-18,3778.125
2013-12-19,3845.625
2013-12-20,3863.125
2013-12-23,3886.625
2013-12-24,3889.125
2013-12-25,
2013-12-26,
2013-12-27,3947.625
2013-12-30,3945.125
2013-12-31,3965.125
2014-01-01,
2014-01-02,3893.625
2014-01-03,3913.625
2014-01-06,3895.125
2014-01-07,3927.625
2014-01-08,3927.125
2014-01-09,3895.125
2014-01-10,3918.625
2014-01-13,3930.125
2014-01-14,3940.125
2014-01-15,3997.125
2014-01-16,3986.125
2014-01-17,3996.6875
2014-01-20,3991.6875
2014-01-21,3992.6875
2014-01-22,3995.1875
2014-01-23,3950.6875
2014-01-24,3830.6875
2014-01-27,3812.6875
2014-01-28,3853.6875
2014-01-29,3825.6875
2014-01-30,3848.6875
2014-01-31,3835.1875
2014-02-03,3776.6875
2014-02-04,3785.6875
2014-02-05,3787.1875
2014-02-06,3857.1875
2014-02-07,3896.6875
2014-02-10,3904.6875
2014-02-11,3952.6875
2014-02-12,3973.6875
2014-02-13,3982.1875
2014-02-14,4008.1875
2014-02-17,4004.6875
2014-02-18,4000.6875
2014-02-19,4008.6875
2014-02-20,4024.1875
2014-02-21,4050.75
2014-02-24,4086.75
2014-02-25,4084.25
2014-02-26,4068.75
2014-02-27,4067.25
2014-02-28,4073.25
2014-03-03,3958.25
2014-03-04,4063.75
2014-03-05,4057.75
2014-03-06,4085.25
2014-03-07,4037.916666666667
2014-03-10,4050.75
2014-03-11,4010.75
2014-03-12,3982.25
2014-03-13,3895.25
2014-03-14,3887.4375
2014-03-17,3937.25
2014-03-18,3995.25
2014-03-19,3943.75
2014-03-20,3992.75
2014-03-21,3966.75
2014-03-24,
2014-03-25,4032.75
2014-03-26,4041.75
2014-03-27,4055.75
2014-03-28,4075.75
2014-03-31,4072.25
2014-04-01,4105.25
2014-04-02,4105.75
2014-04-03,4119.75
2014-04-04,
2014-04-07,4107.75
2014-04-08,4121.5625
2014-04-09,
2014-04-10,4040.75
2014-04-11,4018.75
2014-04-14,4049.25
2014-04-15,4043.75
2014-04-16,4087.75
2014-04-17,4120.25
2014-04-18,
2014-04-21,
2014-04-22,4155.75
2014-04-23,4127.75
2014-04-24,4136.0
2014-04-25,4128.25
2014-04-28,4129.4375
2014-04-29,
2014-04-30,4176.75
2014-05-01,
2014-05-02,4154.25
2014-05-05,4164.75
2014-05-06,4117.75
2014-05-07,4155.25
