DATETIME,PRICE
1999-06-23,2597.03
1999-06-24,2556.03
1999-06-25,2553.03
1999-06-28,2601.53
1999-06-29,2632.03
1999-06-30,2665.03
1999-07-01,2665.03
1999-07-02,2714.53
1999-07-05,
1999-07-06,2703.03
1999-07-07,2700.53
1999-07-08,2727.03
1999-07-09,2755.53
1999-07-12,2742.53
1999-07-13,2727.53
1999-07-14,2773.03
1999-07-15,2791.03
1999-07-16,2812.03
1999-07-19,2781.03
1999-07-20,2695.03
1999-07-21,2706.03
1999-07-22,2646.03
1999-07-23,2648.03
1999-07-26,2593.03
1999-07-27,2644.53
1999-07-28,2676.03
1999-07-29,2625.53
1999-07-30,
1999-08-02,2612.03
1999-08-03,2595.03
1999-08-04,2552.03
1999-08-05,2582.03
1999-08-06,2560.03
1999-08-09,2532.53
1999-08-10,2513.53
1999-08-11,2586.03
1999-08-12,2561.03
1999-08-13,2656.03
1999-08-16,2676.53
1999-08-17,2683.03
1999-08-18,2659.53
1999-08-19,2627.03
1999-08-20,2667.53
1999-08-23,2737.53
1999-08-24,2754.53
1999-08-25,2808.53
1999-08-26,2767.03
1999-08-27,2744.03
1999-08-30,2711.53
1999-08-31,2731.03
1999-09-01,2752.03
1999-09-02,2738.03
1999-09-03,
1999-09-06,
1999-09-07,2825.53
1999-09-08,2791.53
1999-09-09,2831.53
1999-09-10,2858.53
1999-09-13,2819.03
1999-09-14,2837.53
1999-09-15,2787.53
1999-09-16,
1999-09-17,2862.03
1999-09-20,2858.53
1999-09-21,2806.53
1999-09-22,2830.03
1999-09-23,2720.53
1999-09-24,2719.53
1999-09-27,2741.03
1999-09-28,2759.03
1999-09-29,2715.53
1999-09-30,2729.53
1999-10-01,2728.03
1999-10-04,2787.03
1999-10-05,2800.53
1999-10-06,2856.53
1999-10-07,2842.53
1999-10-08,2871.53
1999-10-11,2910.53
1999-10-12,2822.03
1999-10-13,2778.03
1999-10-14,2788.53
1999-10-15,2709.53
1999-10-18,2674.53
1999-10-19,2698.53
1999-10-20,2745.53
1999-10-21,2797.53
1999-10-22,2790.03
1999-10-25,2788.53
1999-10-26,2758.53
1999-10-27,2767.53
1999-10-28,2852.53
1999-10-29,2947.53
1999-11-01,2928.03
1999-11-02,2934.53
1999-11-03,2991.53
1999-11-04,
1999-11-05,3077.53
1999-11-08,3101.53
1999-11-09,3102.03
1999-11-10,3108.53
1999-11-11,3162.53
1999-11-12,3198.53
1999-11-15,3186.53
1999-11-16,3266.53
1999-11-17,3228.53
1999-11-18,3306.53
1999-11-19,3337.03
1999-11-22,3362.53
1999-11-23,3307.53
1999-11-24,3412.53
1999-11-25,
1999-11-26,3391.03
1999-11-29,3342.53
1999-11-30,3240.03
1999-12-01,3282.53
1999-12-02,3381.53
1999-12-03,3446.53
1999-12-06,3476.53
1999-12-07,3484.03
1999-12-08,3437.53
1999-12-09,3439.53
1999-12-10,3483.03
1999-12-13,3515.03
1999-12-14,3452.03
1999-12-15,3503.53
1999-12-16,3610.03
1999-12-17,3642.03
1999-12-20,3674.53
1999-12-21,3827.03
1999-12-22,3847.53
1999-12-23,3872.03
1999-12-24,
1999-12-27,3868.03
1999-12-28,3850.53
1999-12-29,3972.53
1999-12-30,3962.53
1999-12-31,3982.03
2000-01-03,4072.530000000001
2000-01-04,3785.53
2000-01-05,3740.53
2000-01-06,3540.53
2000-01-07,3785.53
2000-01-10,3998.03
2000-01-11,3803.03
2000-01-12,3731.53
2000-01-13,3880.53
2000-01-14,3979.53
2000-01-17,
2000-01-18,4035.03
2000-01-19,4078.030000000001
2000-01-20,4104.530000000002
2000-01-21,4117.530000000002
2000-01-24,3911.53
2000-01-25,4019.53
2000-01-26,3882.53
2000-01-27,3864.03
2000-01-28,3703.03
2000-01-31,3840.53
2000-02-01,3947.03
2000-02-02,3988.03
2000-02-03,4110.030000000002
2000-02-04,4136.530000000002
2000-02-07,4175.530000000002
2000-02-08,4345.030000000002
2000-02-09,4199.030000000002
2000-02-10,4333.030000000002
2000-02-11,4224.030000000002
2000-02-14,4234.530000000002
2000-02-15,4270.030000000002
2000-02-16,4258.030000000002
2000-02-17,4332.030000000002
2000-02-18,4208.030000000002
2000-02-21,
2000-02-22,4203.030000000002
2000-02-23,4408.030000000002
2000-02-24,4434.030000000002
2000-02-25,4432.030000000002
2000-02-28,4396.030000000002
2000-02-29,4540.030000000002
2000-03-01,4564.530000000002
2000-03-02,4468.030000000002
2000-03-03,4694.530000000002
2000-03-06,4741.530000000002
2000-03-07,4606.530000000002
2000-03-08,4699.530000000002
2000-03-09,4849.030000000002
2000-03-10,4845.030000000002
2000-03-13,4696.030000000002
2000-03-14,4503.030000000002
2000-03-15,4368.030000000002
2000-03-16,4596.030000000002
2000-03-17,4690.030000000002
2000-03-20,4525.030000000002
2000-03-21,4693.030000000002
2000-03-22,4808.530000000002
2000-03-23,4912.030000000002
2000-03-24,4983.030000000002
2000-03-27,4940.030000000002
2000-03-28,4840.530000000002
2000-03-29,4646.530000000002
2000-03-30,4505.530000000002
2000-03-31,4635.530000000002
2000-04-03,4321.030000000002
2000-04-04,4244.030000000002
2000-04-05,4238.030000000002
2000-04-06,4323.030000000002
2000-04-07,4515.030000000002
2000-04-10,4203.530000000002
2000-04-11,4133.030000000002
2000-04-12,3873.03
2000-04-13,3763.03
2000-04-14,3395.53
2000-04-17,3755.53
2000-04-18,3928.03
2000-04-19,3800.53
2000-04-20,3713.03
2000-04-21,
2000-04-24,3595.03
2000-04-25,3823.03
2000-04-26,3705.53
2000-04-27,3863.03
2000-04-28,3988.03
2000-05-01,4045.03
2000-05-02,3816.03
2000-05-03,3763.03
2000-05-04,3767.53
2000-05-05,3873.03
2000-05-08,3729.53
2000-05-09,3630.53
2000-05-10,3430.53
2000-05-11,3563.53
2000-05-12,3595.53
2000-05-15,3737.53
2000-05-16,3848.03
2000-05-17,3765.53
2000-05-18,3638.03
2000-05-19,3458.03
2000-05-22,3475.53
2000-05-23,3190.53
2000-05-24,3345.53
2000-05-25,3303.53
2000-05-26,3294.03
2000-05-29,
2000-05-30,3594.03
2000-05-31,3494.03
2000-06-01,3682.53
2000-06-02,3924.53
2000-06-05,3925.03
2000-06-06,3835.03
2000-06-07,3911.53
2000-06-08,3905.03
2000-06-09,3929.03
2000-06-12,3832.53
2000-06-13,3947.53
2000-06-14,3871.53
2000-06-15,3932.53
2000-06-16,3942.53
2000-06-19,4097.530000000002
2000-06-20,4122.530000000002
2000-06-21,4128.530000000002
2000-06-22,3977.53
2000-06-23,3843.03
2000-06-26,3942.53
2000-06-27,3882.53
2000-06-28,3930.53
2000-06-29,3846.03
2000-06-30,3932.03
2000-07-03,3976.53
2000-07-04,
2000-07-05,3824.53
2000-07-06,3949.03
2000-07-07,3992.53
2000-07-10,3943.03
2000-07-11,3896.53
2000-07-12,4045.53
2000-07-13,4123.530000000002
2000-07-14,4193.030000000002
2000-07-17,4225.030000000002
2000-07-18,4138.530000000002
2000-07-19,4028.53
2000-07-20,4167.030000000002
2000-07-21,4054.030000000001
2000-07-24,3934.53
2000-07-25,4003.03
2000-07-26,3980.03
2000-07-27,3822.03
2000-07-28,3621.03
2000-07-31,3732.03
2000-08-01,3684.53
2000-08-02,3622.03
2000-08-03,3777.53
2000-08-04,3747.03
2000-08-07,3837.53
2000-08-08,3832.53
2000-08-09,3810.53
2000-08-10,3743.03
2000-08-11,3778.53
2000-08-14,3868.53
2000-08-15,3866.03
2000-08-16,3883.03
2000-08-17,3967.53
2000-08-18,3950.53
2000-08-21,3966.03
2000-08-22,3960.03
2000-08-23,4017.03
2000-08-24,4021.03
2000-08-25,4074.030000000001
2000-08-28,4238.030000000002
2000-08-29,4256.530000000002
2000-08-30,4254.530000000002
2000-08-31,4375.530000000002
2000-09-01,4400.030000000002
2000-09-04,
2000-09-05,4281.030000000002
2000-09-06,4137.530000000002
2000-09-07,4233.030000000002
2000-09-08,4087.030000000001
2000-09-11,4000.03
2000-09-12,3939.03
2000-09-13,4021.53
2000-09-14,4018.53
2000-09-15,3935.03
2000-09-18,3870.03
2000-09-19,4020.03
2000-09-20,4070.530000000001
2000-09-21,3981.53
2000-09-22,3992.53
2000-09-25,3881.53
2000-09-26,3828.03
2000-09-27,3857.53
2000-09-28,3974.53
2000-09-29,3837.53
2000-10-02,3748.53
2000-10-03,3615.53
2000-10-04,3692.53
2000-10-05,3699.03
2000-10-06,3573.53
2000-10-09,3566.03
2000-10-10,3386.53
2000-10-11,3345.03
2000-10-12,3263.03
2000-10-13,3491.53
2000-10-16,3531.53
2000-10-17,3386.53
2000-10-18,3372.53
2000-10-19,3663.53
2000-10-20,3716.03
2000-10-23,3712.53
2000-10-24,3563.53
2000-10-25,3368.03
2000-10-26,3446.53
2000-10-27,3439.03
2000-10-30,3325.53
2000-10-31,3514.53
2000-11-01,3484.03
2000-11-02,3540.53
2000-11-03,3569.53
2000-11-06,3549.53
2000-11-07,3530.53
2000-11-08,3277.53
2000-11-09,3274.03
2000-11-10,3110.53
2000-11-13,3046.53
2000-11-14,3274.03
