DATETIME,PRICE
1981-09-25,809.5
1981-09-28,810.5
1981-09-29,815.5
1981-09-30,817.5
1981-10-01,816.75
1981-10-02,818.25
1981-10-05,822.75
1981-10-06,820.75
1981-10-07,819.25
1981-10-08,818.25
1981-10-09,820.5
1981-10-12,822.75
1981-10-13,826.5
1981-10-14,827.75
1981-10-15,823.0
1981-10-16,821.0
1981-10-19,822.0
1981-10-20,819.5
1981-10-21,820.25
1981-10-22,818.0
1981-10-23,821.0
1981-10-26,820.25
1981-10-27,821.5
1981-10-28,823.25
1981-10-29,821.5
1981-10-30,821.25
1981-11-02,822.0
1981-11-03,819.75
1981-11-04,817.75
1981-11-05,817.5
1981-11-06,815.25
1981-11-09,814.25
1981-11-10,810.0
1981-11-11,809.75
1981-11-12,812.5
1981-11-13,810.75
1981-11-16,809.0
1981-11-17,806.0
1981-11-18,804.5
1981-11-19,806.0
1981-11-20,806.0
1981-11-23,801.0
1981-11-24,795.0
1981-11-25,793.5
1981-11-26,
1981-11-27,791.5
1981-11-30,789.0
1981-12-01,792.0
1981-12-02,791.25
1981-12-03,790.5
1981-12-04,792.0
1981-12-07,785.5
1981-12-08,782.25
1981-12-09,778.0
1981-12-10,771.0
1981-12-11,774.25
1981-12-14,768.75
1981-12-15,763.5
1981-12-16,769.25
1981-12-17,773.5
1981-12-18,770.5
1981-12-21,768.25
1981-12-22,769.0
1981-12-23,766.75
1981-12-24,771.5
1981-12-25,
1981-12-28,780.25
1981-12-29,776.5
1981-12-30,777.0
1981-12-31,778.0
1982-01-01,
1982-01-04,779.75
1982-01-05,777.5
1982-01-06,781.0
1982-01-07,781.0
1982-01-08,777.5
1982-01-11,775.25
1982-01-12,774.25
1982-01-13,774.25
1982-01-14,774.0
1982-01-15,773.0
1982-01-18,775.25
1982-01-19,772.25
1982-01-20,773.25
1982-01-21,776.5
1982-01-22,777.5
1982-01-25,774.75
1982-01-26,776.75
1982-01-27,782.25
1982-01-28,780.25
1982-01-29,784.0
1982-02-01,790.0
1982-02-02,789.5
1982-02-03,789.5
1982-02-04,790.0
1982-02-05,787.5
1982-02-08,784.0
1982-02-09,782.75
1982-02-10,786.0
1982-02-11,785.5
1982-02-12,784.25
1982-02-15,
1982-02-16,783.75
1982-02-17,784.25
1982-02-18,783.25
1982-02-19,777.0
1982-02-22,776.75
1982-02-23,775.0
1982-02-24,775.5
1982-02-25,775.5
1982-02-26,777.0
1982-03-01,777.75
1982-03-02,779.5
1982-03-03,777.0
1982-03-04,774.0
1982-03-05,770.25
1982-03-08,765.25
1982-03-09,766.5
1982-03-10,768.5
1982-03-11,768.5
1982-03-12,763.75
1982-03-15,767.75
1982-03-16,765.75
1982-03-17,768.5
1982-03-18,770.75
1982-03-19,772.0
1982-03-22,773.25
1982-03-23,772.0
1982-03-24,773.0
1982-03-25,772.25
1982-03-26,773.25
1982-03-29,776.25
1982-03-30,776.5
1982-03-31,777.25
1982-04-01,776.25
1982-04-02,779.5
1982-04-05,783.0
1982-04-06,782.75
1982-04-07,780.0
1982-04-08,781.5
1982-04-09,
1982-04-12,781.0
1982-04-13,781.25
1982-04-14,780.0
1982-04-15,780.0
1982-04-16,780.0
1982-04-19,780.0
1982-04-20,781.75
1982-04-21,780.0
1982-04-22,778.0
1982-04-23,779.75
1982-04-26,779.5
1982-04-27,778.5
1982-04-28,778.25
1982-04-29,778.0
1982-04-30,775.75
1982-05-03,771.25
1982-05-04,769.75
1982-05-05,768.25
1982-05-06,768.0
1982-05-07,769.25
1982-05-10,766.25
1982-05-11,766.5
1982-05-12,767.0
1982-05-13,765.75
1982-05-14,768.25
1982-05-17,767.75
1982-05-18,767.25
1982-05-19,768.25
1982-05-20,769.25
1982-05-21,768.75
1982-05-24,767.5
1982-05-25,763.5
1982-05-26,764.5
1982-05-27,763.25
1982-05-28,764.0
1982-05-31,
1982-06-01,760.5
1982-06-02,761.25
1982-06-03,759.25
1982-06-04,757.25
1982-06-07,760.5
1982-06-08,760.25
1982-06-09,761.5
1982-06-10,762.25
1982-06-11,766.0
1982-06-14,762.0
1982-06-15,759.25
1982-06-16,757.0
1982-06-17,753.5
1982-06-18,753.75
1982-06-21,754.75
1982-06-22,756.5
1982-06-23,755.75
1982-06-24,757.0
1982-06-25,756.5
1982-06-28,753.5
1982-06-29,753.75
1982-06-30,751.25
1982-07-01,752.0
1982-07-02,750.25
1982-07-05,
1982-07-06,746.5
1982-07-07,744.0
1982-07-08,746.25
1982-07-09,747.75
1982-07-12,747.0
1982-07-13,748.25
1982-07-14,748.25
1982-07-15,747.25
1982-07-16,746.0
1982-07-19,743.25
1982-07-20,742.75
1982-07-21,743.75
1982-07-22,741.5
1982-07-23,740.0
1982-07-26,737.25
1982-07-27,737.25
1982-07-28,734.25
1982-07-29,736.25
1982-07-30,734.0
1982-08-02,736.0
1982-08-03,736.75
1982-08-04,738.0
1982-08-05,734.0
1982-08-06,729.25
1982-08-09,728.25
1982-08-10,727.25
1982-08-11,726.0
1982-08-12,716.0
1982-08-13,718.0
1982-08-16,711.0
1982-08-17,709.5
1982-08-18,714.0
1982-08-19,710.25
1982-08-20,710.75
1982-08-23,713.75
1982-08-24,717.0
1982-08-25,720.5
1982-08-26,715.0
1982-08-27,711.25
1982-08-30,709.5
1982-08-31,712.25
1982-09-01,712.25
1982-09-02,714.5
1982-09-03,713.0
1982-09-06,
1982-09-07,706.75
1982-09-08,705.25
1982-09-09,704.25
1982-09-10,702.0
1982-09-13,707.5
1982-09-14,709.25
1982-09-15,708.5
1982-09-16,707.0
1982-09-17,704.0
1982-09-20,705.0
1982-09-21,704.5
1982-09-22,702.75
1982-09-23,707.25
1982-09-24,714.75
1982-09-27,713.75
1982-09-28,710.75
1982-09-29,709.25
1982-09-30,707.25
1982-10-01,707.25
1982-10-04,705.5
1982-10-05,706.25
1982-10-06,706.5
1982-10-07,709.25
1982-10-08,707.0
1982-10-11,708.5
1982-10-12,706.5
1982-10-13,710.5
1982-10-14,707.5
1982-10-15,706.0
1982-10-18,705.5
1982-10-19,706.25
1982-10-20,707.5
1982-10-21,705.25
1982-10-22,701.0
1982-10-25,696.25
1982-10-26,696.5
1982-10-27,695.75
1982-10-28,696.25
1982-10-29,694.25
1982-11-01,693.0
1982-11-02,
1982-11-03,694.0
1982-11-04,697.0
1982-11-05,702.25
1982-11-08,703.25
1982-11-09,702.25
1982-11-10,703.25
1982-11-11,706.5
1982-11-12,704.75
1982-11-15,703.5
1982-11-16,705.5
1982-11-17,707.0
1982-11-18,708.75
1982-11-19,710.5
1982-11-22,710.25
1982-11-23,710.5
1982-11-24,711.0
1982-11-25,
1982-11-26,710.75
1982-11-29,706.5
1982-11-30,706.25
1982-12-01,704.75
1982-12-02,703.25
1982-12-03,702.5
1982-12-06,705.75
1982-12-07,709.25
1982-12-08,709.25
1982-12-09,713.0
1982-12-10,711.75
1982-12-13,713.25
1982-12-14,710.25
1982-12-15,710.0
1982-12-16,708.75
1982-12-17,709.25
1982-12-20,709.25
1982-12-21,709.0
1982-12-22,708.25
1982-12-23,709.5
1982-12-24,
1982-12-27,711.75
1982-12-28,714.75
1982-12-29,714.0
1982-12-30,713.5
1982-12-31,
1983-01-03,714.5
1983-01-04,713.5
1983-01-05,715.5
1983-01-06,716.25
1983-01-07,717.5
1983-01-10,719.25
1983-01-11,717.75
1983-01-12,723.5
1983-01-13,722.25
1983-01-14,724.5
1983-01-17,724.75
1983-01-18,724.5
1983-01-19,722.5
1983-01-20,722.0
1983-01-21,723.0
1983-01-24,724.25
1983-01-25,724.75
1983-01-26,727.5
1983-01-27,729.25
1983-01-28,726.5
1983-01-31,728.5
1983-02-01,728.0
1983-02-02,727.0
1983-02-03,726.5
1983-02-04,725.25
1983-02-07,723.5
1983-02-08,724.0
1983-02-09,726.75
1983-02-10,729.75
1983-02-11,730.25
1983-02-14,733.75
1983-02-15,732.0
1983-02-16,729.75
1983-02-17,733.25
1983-02-18,733.75
1983-02-21,
