DATETIME,PRICE
2013-03-19,2288.0
2013-03-20,2335.0
2013-03-21,2313.0
2013-03-22,2311.0
2013-03-25,2280.0
2013-03-26,2271.0
2013-03-27,2228.0
2013-03-28,2260.0
2013-03-29,
2013-04-01,
2013-04-02,2288.0
2013-04-03,2277.0
2013-04-04,
2013-04-05,2207.0
2013-04-08,2221.0
2013-04-09,2229.0
2013-04-10,2290.0
2013-04-11,2302.0
2013-04-12,2279.0
2013-04-15,2246.0
2013-04-16,2244.0
2013-04-17,2190.0
2013-04-18,2191.0
2013-04-19,2208.0
2013-04-22,2222.0
2013-04-23,2298.0
2013-04-24,2336.0
2013-04-25,
2013-04-26,2332.0
2013-04-29,2384.0
2013-04-30,2368.0
2013-05-01,
2013-05-02,2384.0
2013-05-03,2420.0
2013-05-06,2410.0
2013-05-07,2428.0
2013-05-08,2453.0
2013-05-09,2448.0
2013-05-10,2466.0
2013-05-13,2451.0
2013-05-14,2476.0
2013-05-15,2489.0
2013-05-16,2471.0
2013-05-17,2500.0
2013-05-20,2514.0
2013-05-21,2517.0
2013-05-22,2488.0
2013-05-23,2466.0
2013-05-24,2460.0
2013-05-27,2487.0
2013-05-28,2520.0
2013-05-29,2490.0
2013-05-30,2500.0
2013-05-31,2449.0
2013-06-03,2459.0
2013-06-04,2444.0
2013-06-05,2402.0
2013-06-06,2364.0
2013-06-07,2416.0
2013-06-10,2408.0
2013-06-11,2359.0
2013-06-12,2350.0
2013-06-13,2344.0
2013-06-14,2340.0
2013-06-17,2389.0
2013-06-18,2396.0
2013-06-19,2365.0
2013-06-20,2263.0
2013-06-21,2261.0
2013-06-24,2221.0
2013-06-25,2250.0
2013-06-26,2299.0
2013-06-27,2309.0
2013-06-28,2302.0
2013-07-01,2307.0
2013-07-02,2282.0
2013-07-03,2269.0
2013-07-04,2343.0
2013-07-05,2314.0
2013-07-08,2342.0
2013-07-09,2363.0
2013-07-10,2358.0
2013-07-11,2388.0
2013-07-12,2372.0
2013-07-15,2390.0
2013-07-16,2365.0
2013-07-17,2377.0
2013-07-18,2416.0
2013-07-19,2415.0
2013-07-22,2422.0
2013-07-23,2424.0
2013-07-24,2448.0
2013-07-25,2454.0
2013-07-26,2455.0
2013-07-29,2445.0
2013-07-30,2449.0
2013-07-31,2471.0
2013-08-01,2523.0
2013-08-02,2517.0
2013-08-05,2509.0
2013-08-06,2489.0
2013-08-07,2496.0
2013-08-08,2521.0
2013-08-09,2531.0
2013-08-12,2526.0
2013-08-13,2547.0
2013-08-14,2553.0
2013-08-15,2526.0
2013-08-16,2545.0
2013-08-19,2511.0
2013-08-20,2486.0
2013-08-21,2471.0
2013-08-22,2509.0
2013-08-23,2530.0
2013-08-26,2512.0
2013-08-27,2433.0
2013-08-28,2434.0
2013-08-29,2445.0
2013-08-30,2414.0
2013-09-02,2466.0
2013-09-03,2453.0
2013-09-04,2456.0
2013-09-05,2472.0
2013-09-06,2500.0
2013-09-09,2506.0
2013-09-10,2550.0
2013-09-11,2567.0
2013-09-12,2554.0
2013-09-13,2566.0
2013-09-16,2591.0
2013-09-17,2594.0
2013-09-18,2651.0
2013-09-19,2631.0
2013-09-20,2614.0
2013-09-23,2608.0
2013-09-24,2620.0
2013-09-25,2622.0
2013-09-26,2630.0
2013-09-27,2621.0
2013-09-30,2590.0
2013-10-01,2628.0
2013-10-02,2619.0
2013-10-03,2603.0
2013-10-04,2627.0
2013-10-07,2620.0
2013-10-08,2608.0
2013-10-09,2602.0
2013-10-10,2667.0
