DATETIME,PRICE
2000-01-04,-187.5
2000-01-05,-181.25
2000-01-06,-182.0
2000-01-07,-178.0
2000-01-10,-182.5
2000-01-11,-180.25
2000-01-12,-174.5
2000-01-13,-165.0
2000-01-14,-158.25
2000-01-17,
2000-01-18,-152.25
2000-01-19,-151.25
2000-01-20,-146.25
2000-01-21,-146.5
2000-01-24,-140.25
2000-01-25,-136.75
2000-01-26,-140.75
2000-01-27,-127.25
2000-01-28,-130.5
2000-01-31,-145.5
2000-02-01,-143.0
2000-02-02,-146.0
2000-02-03,-153.25
2000-02-04,-148.5
2000-02-07,-145.75
2000-02-08,-150.75
2000-02-09,-148.0
2000-02-10,-139.75
2000-02-11,-145.5
2000-02-14,-146.5
2000-02-15,-144.5
2000-02-16,-144.75
2000-02-17,-144.75
2000-02-18,-138.5
2000-02-21,
2000-02-22,-140.75
2000-02-23,-155.75
2000-02-24,-151.0
2000-02-25,-160.5
2000-02-28,-159.25
2000-02-29,-152.25
2000-03-01,-155.75
2000-03-02,-153.75
2000-03-03,-151.25
2000-03-06,-147.75
2000-03-07,-151.5
2000-03-08,-147.0
2000-03-09,-146.0
2000-03-10,-153.25
2000-03-13,-140.25
2000-03-14,-131.25
2000-03-15,-133.75
2000-03-16,-134.0
2000-03-17,-121.5
2000-03-20,-131.5
2000-03-21,-131.25
2000-03-22,-126.0
2000-03-23,-134.0
2000-03-24,-125.5
2000-03-27,-124.0
2000-03-28,-129.75
2000-03-29,-128.0
2000-03-30,-120.5
2000-03-31,-111.5
2000-04-03,-108.0
2000-04-04,-116.5
2000-04-05,-111.25
2000-04-06,-123.25
2000-04-07,-117.5
2000-04-10,-123.25
2000-04-11,-128.5
2000-04-12,-118.5
2000-04-13,-117.25
2000-04-14,-122.25
2000-04-17,-123.25
2000-04-18,-120.0
2000-04-19,-116.25
2000-04-20,-118.5
2000-04-21,
2000-04-24,-111.0
2000-04-25,-111.0
2000-04-26,-114.25
2000-04-27,-123.0
2000-04-28,-128.5
2000-05-01,-100.5
2000-05-02,-103.25
2000-05-03,-96.0
2000-05-04,-96.75
2000-05-05,-102.5
2000-05-08,-110.25
2000-05-09,-113.0
2000-05-10,-97.75
2000-05-11,-98.5
2000-05-12,-100.25
2000-05-15,-116.5
2000-05-16,-123.0
2000-05-17,-127.0
2000-05-18,-119.75
2000-05-19,-115.25
2000-05-22,-116.25
2000-05-23,-120.25
2000-05-24,-128.0
2000-05-25,-144.25
2000-05-26,-137.5
2000-05-29,
2000-05-30,-156.0
2000-05-31,-154.5
2000-06-01,-149.0
2000-06-02,-137.5
2000-06-05,-141.0
2000-06-06,-138.0
2000-06-07,-147.5
2000-06-08,-148.75
2000-06-09,-151.75
2000-06-12,-169.0
2000-06-13,-171.0
2000-06-14,-183.0
2000-06-15,-185.0
2000-06-16,-179.25
2000-06-19,-184.25
2000-06-20,-193.0
2000-06-21,-191.0
2000-06-22,-196.5
2000-06-23,-200.25
2000-06-26,-205.0
2000-06-27,-198.75
2000-06-28,-196.25
2000-06-29,-188.25
2000-06-30,-203.25
2000-07-03,-209.5
2000-07-04,
2000-07-05,-208.0
2000-07-06,-219.5
2000-07-07,-212.0
2000-07-10,-213.5
2000-07-11,-222.25
2000-07-12,-217.0
2000-07-13,-219.75
2000-07-14,-226.0
2000-07-17,-231.5
2000-07-18,-228.75
2000-07-19,-223.75
2000-07-20,-217.75
2000-07-21,-210.5
2000-07-24,-215.5
