DATETIME,PRICE
1997-09-10,1041.1725
1997-09-11,1034.1725
1997-09-12,1050.1725
1997-09-15,1048.1725
1997-09-16,1072.1725
1997-09-17,1072.1725
1997-09-18,1074.1725
1997-09-19,1077.1725
1997-09-22,1082.1725
1997-09-23,1078.1725
1997-09-24,1071.1725
1997-09-25,1063.1725
1997-09-26,1069.1725
1997-09-29,1078.1725
1997-09-30,1070.1725
1997-10-01,1080.1725
1997-10-02,1085.1725
1997-10-03,1091.1725
1997-10-06,1098.1725
1997-10-07,1106.1725
1997-10-08,1099.1725
1997-10-09,1094.1725
1997-10-10,1093.1725
1997-10-13,1092.1725
1997-10-14,1093.1725
1997-10-15,1090.1725
1997-10-16,1076.1725
1997-10-17,1065.1725
1997-10-20,1079.1725
1997-10-21,1095.1725
1997-10-22,1090.1725
1997-10-23,1071.1725
1997-10-24,1060.1725
1997-10-27,990.1725
1997-10-28,1041.1725
1997-10-29,1041.1725
1997-10-30,1019.1725
1997-10-31,1040.1725
1997-11-03,1062.1725
1997-11-04,1062.1725
1997-11-05,1064.1725
1997-11-06,1059.1725
1997-11-07,1047.1725
1997-11-10,1042.1725
1997-11-11,1043.1725
1997-11-12,1025.1725
1997-11-13,1035.1725
1997-11-14,1049.1725
1997-11-17,1066.1725
1997-11-18,1058.1725
1997-11-19,1064.1725
1997-11-20,1079.1725
1997-11-21,1086.1725
1997-11-24,1066.1725
1997-11-25,1066.1725
1997-11-26,1070.1725
1997-11-27,
1997-11-28,1070.1725
1997-12-01,1094.1725
1997-12-02,1090.1725
1997-12-03,1093.1725
1997-12-04,1092.1725
1997-12-05,1102.1725
1997-12-08,1100.1725
1997-12-09,1094.1725
1997-12-10,1085.1725
1997-12-11,1069.1725
1997-12-12,1071.1725
1997-12-15,1079.1725
1997-12-16,1085.1725
1997-12-17,1079.1725
1997-12-18,1069.1725
1997-12-19,1061.1725
1997-12-22,1067.1725
1997-12-23,1049.1725
1997-12-24,1046.1725
1997-12-25,
1997-12-26,1050.1725
1997-12-29,1070.1725
1997-12-30,1084.1725
1997-12-31,1083.1725
1998-01-01,
1998-01-02,1089.1725
1998-01-05,1091.1725
1998-01-06,1075.1725
1998-01-07,1078.1725
1998-01-08,1065.1725
1998-01-09,1033.1725
1998-01-12,1050.1725
1998-01-13,1064.1725
1998-01-14,1067.1725
1998-01-15,1059.1725
1998-01-16,1073.1725
1998-01-19,
1998-01-20,1090.1725
1998-01-21,1080.1725
1998-01-22,1070.1725
1998-01-23,1068.1725
1998-01-26,1068.1725
1998-01-27,1078.1725
1998-01-28,1086.1725
1998-01-29,1091.1725
1998-01-30,1091.1725
1998-02-02,1108.1725
1998-02-03,1115.1725
1998-02-04,1114.1725
1998-02-05,1114.1725
1998-02-06,1123.1725
1998-02-09,1119.1725
1998-02-10,1129.1725
1998-02-11,1128.1725
1998-02-12,1131.1725
1998-02-13,1126.1725
1998-02-16,
1998-02-17,1132.1725
1998-02-18,1140.1725
1998-02-19,1135.1725
1998-02-20,1141.1725
1998-02-23,
1998-02-24,1137.1725
1998-02-25,1149.1725
1998-02-26,1155.1725
1998-02-27,1154.1725
1998-03-02,1153.1725
1998-03-03,1159.1725
1998-03-04,1151.1725
1998-03-05,1142.1725
1998-03-06,1160.1725
1998-03-09,1157.1725
1998-03-10,1169.1725
1998-03-11,1172.1725
1998-03-12,1177.1725
1998-03-13,1173.1725
1998-03-16,1184.1725
1998-03-17,1186.1725
1998-03-18,1190.1725
1998-03-19,1194.1725
1998-03-20,1204.1725
1998-03-23,1201.1725
1998-03-24,1210.1725
1998-03-25,1206.1725
1998-03-26,1203.1725
1998-03-27,1200.1725
1998-03-30,1197.1725
1998-03-31,1203.1725
1998-04-01,1211.1725
1998-04-02,1223.1725
1998-04-03,1227.1725
1998-04-06,1219.1725
1998-04-07,1211.1725
1998-04-08,1204.1725
1998-04-09,1212.1725
1998-04-10,
1998-04-13,1209.1725
1998-04-14,1217.1725
1998-04-15,1221.1725
1998-04-16,1207.1725
1998-04-17,1223.1725
1998-04-20,1221.1725
