DATETIME,PRICE
2000-01-04,643.0
2000-01-05,647.0
2000-01-06,646.5
2000-01-07,649.25
2000-01-10,652.0
2000-01-11,652.0
2000-01-12,656.75
2000-01-13,662.0
2000-01-14,663.0
2000-01-17,
2000-01-18,663.0
2000-01-19,663.75
2000-01-20,662.75
2000-01-21,661.0
2000-01-24,664.0
2000-01-25,661.5
2000-01-26,657.75
2000-01-27,661.0
2000-01-28,658.5
2000-01-31,655.0
2000-02-01,656.5
2000-02-02,655.5
2000-02-03,651.75
2000-02-04,655.75
2000-02-07,657.0
2000-02-08,657.0
2000-02-09,663.0
2000-02-10,669.75
2000-02-11,668.25
2000-02-14,667.5
2000-02-15,664.5
2000-02-16,664.5
2000-02-17,661.0
2000-02-18,663.25
2000-02-21,
2000-02-22,661.0
2000-02-23,653.75
2000-02-24,655.0
2000-02-25,646.75
2000-02-28,643.5
2000-02-29,646.5
2000-03-01,647.0
2000-03-02,645.75
2000-03-03,645.75
2000-03-06,648.0
2000-03-07,648.0
2000-03-08,650.5
2000-03-09,652.25
2000-03-10,648.5
2000-03-13,651.75
2000-03-14,659.75
2000-03-15,657.75
2000-03-16,654.5
2000-03-17,660.75
2000-03-20,655.5
2000-03-21,650.25
2000-03-22,651.25
2000-03-23,646.25
2000-03-24,642.5
2000-03-27,644.5
2000-03-28,639.75
2000-03-29,641.25
2000-03-30,645.75
2000-03-31,652.75
2000-04-03,647.75
2000-04-04,646.25
2000-04-05,646.25
2000-04-06,644.25
2000-04-07,648.0
2000-04-10,643.0
2000-04-11,642.75
2000-04-12,645.75
2000-04-13,648.25
2000-04-14,646.25
2000-04-17,643.75
2000-04-18,642.25
2000-04-19,643.0
2000-04-20,642.0
2000-04-21,
2000-04-24,642.0
2000-04-25,644.25
2000-04-26,639.5
2000-04-27,634.0
2000-04-28,634.0
2000-05-01,643.75
2000-05-02,644.25
2000-05-03,650.75
2000-05-04,654.5
2000-05-05,651.0
2000-05-08,647.25
2000-05-09,647.25
2000-05-10,653.75
2000-05-11,660.0
2000-05-12,662.25
2000-05-15,661.25
2000-05-16,659.5
2000-05-17,655.75
2000-05-18,650.5
2000-05-19,655.5
2000-05-22,659.5
2000-05-23,660.0
