DATETIME,PRICE,CARRY,CARRY_CONTRACT,PRICE_CONTRACT
2013-03-08,125.96,,201403,201312
2013-03-11,126.01,,201403,201312
2013-03-12,126.17,,201403,201312
2013-03-13,126.3,,201403,201312
2013-03-14,126.31,,201403,201312
2013-03-15,126.43,,201403,201312
2013-03-18,126.69,,201403,201312
2013-03-19,126.94,,201403,201312
2013-03-20,126.79,,201403,201312
2013-03-21,126.78,,201403,201312
2013-03-22,126.74,,201403,201312
2013-03-25,126.94,,201403,201312
2013-03-26,126.96,,201403,201312
2013-03-27,127.29,,201403,201312
2013-03-28,127.17,,201403,201312
2013-04-02,127.03,,201403,201312
2013-04-03,127.3,,201403,201312
2013-04-04,127.48,,201403,201312
2013-04-05,127.44,,201403,201312
2013-04-08,127.29,,201403,201312
2013-04-09,127.2,,201403,201312
2013-04-10,127.03,,201403,201312
2013-04-11,127.05,,201403,201312
2013-04-12,127.36,,201403,201312
2013-04-15,127.42,,201403,201312
2013-04-16,127.24,,201403,201312
2013-04-17,127.51,,201403,201312
2013-04-18,127.43,,201403,201312
2013-04-19,127.3,,201403,201312
2013-04-22,127.48,,201403,201312
2013-04-23,127.38,,201403,201312
2013-04-24,127.41,,201403,201312
2013-04-25,127.36,,201403,201312
2013-04-26,127.5,,201403,201312
2013-04-29,127.48,,201403,201312
2013-04-30,127.36,,201403,201312
2013-05-02,127.71,,201403,201312
2013-05-03,127.35,,201403,201312
2013-05-06,127.4,,201403,201312
2013-05-07,126.95,,201403,201312
2013-05-08,127.21,,201403,201312
2013-05-09,127.32,,201403,201312
2013-05-10,126.78,,201403,201312
2013-05-13,126.92,,201403,201312
2013-05-14,126.89,,201403,201312
2013-05-15,126.88,,201403,201312
2013-05-16,127.21,,201403,201312
2013-05-17,127.35,,201403,201312
2013-05-20,127.05,,201403,201312
2013-05-21,126.78,,201403,201312
2013-05-22,126.93,,201403,201312
2013-05-23,126.72,,201403,201312
2013-05-24,126.82,,201403,201312
2013-05-27,126.63,,201403,201312
2013-05-28,126.51,,201403,201312
2013-05-29,126.25,,201403,201312
2013-05-30,124.61,,201403,201312
2013-05-31,124.69,,201403,201312
2013-06-03,124.49,,201403,201312
2013-06-04,124.45,,201403,201312
2013-06-05,124.55,,201403,201312
2013-06-06,124.37,,201403,201312
2013-06-07,124.27,124.27,201403,201312
2013-06-10,124.02,124.02,201403,201312
2013-06-11,123.87,123.87,201403,201312
2013-06-12,123.95,123.95,201403,201312
2013-06-13,124.25,124.25,201403,201312
2013-06-14,124.53,124.53,201403,201312
2013-06-17,124.5,124.5,201403,201312
2013-06-18,124.15,124.15,201403,201312
2013-06-19,124.23,124.23,201403,201312
2013-06-20,123.38,123.38,201403,201312
2013-06-21,123.08,123.08,201403,201312
2013-06-24,122.59,122.59,201403,201312
2013-06-25,122.92,122.92,201403,201312
2013-06-26,123.25,123.25,201403,201312
2013-06-27,123.41,123.41,201403,201312
2013-06-28,123.49,123.49,201403,201312
2013-07-01,123.5,123.5,201403,201312
2013-07-02,123.64,123.64,201403,201312
2013-07-03,123.87,123.87,201403,201312
2013-07-04,124.13,124.13,201403,201312
2013-07-05,123.97,123.97,201403,201312
2013-07-08,124.17,124.17,201403,201312
2013-07-09,124.44,124.44,201403,201312
2013-07-10,124.28,124.28,201403,201312
2013-07-11,124.34,124.34,201403,201312
2013-07-12,124.58,124.58,201403,201312
2013-07-15,124.45,124.45,201403,201312
2013-07-16,124.63,124.63,201403,201312
2013-07-17,124.79,124.79,201403,201312
2013-07-18,124.92,124.92,201403,201312
2013-07-19,124.88,124.88,201403,201312
2013-07-22,124.8,124.8,201403,201312
2013-07-23,124.53,124.53,201403,201312
2013-07-24,124.09,124.09,201403,201312
2013-07-25,124.01,124.01,201403,201312
2013-07-26,124.08,124.08,201403,201312
2013-07-29,124.07,124.07,201403,201312
2013-07-30,124.07,124.07,201403,201312
2013-07-31,124.1,124.1,201403,201312
2013-08-01,124.03,124.03,201403,201312
2013-08-02,124.12,124.12,201403,201312
2013-08-05,123.94,123.94,201403,201312
2013-08-06,123.88,123.88,201403,201312
2013-08-07,123.96,123.96,201403,201312
2013-08-08,124.01,124.01,201403,201312
2013-08-09,124.03,124.03,201403,201312
2013-08-12,124.01,124.01,201403,201312
2013-08-13,123.35,123.35,201403,201312
2013-08-14,123.46,123.46,201403,201312
2013-08-15,123.18,123.18,201403,201312
2013-08-16,123.25,123.25,201403,201312
2013-08-19,123.14,123.14,201403,201312
2013-08-20,123.41,123.41,201403,201312
2013-08-21,123.22,123.22,201403,201312
2013-08-22,123.03,123.03,201403,201312
2013-08-23,122.78,122.78,201403,201312
2013-08-26,123.07,123.07,201403,201312
2013-08-27,123.29,123.29,201403,201312
2013-08-28,123.18,123.18,201403,201312
2013-08-29,123.3,123.3,201403,201312
2013-08-30,123.34,123.34,201403,201312
2013-09-02,122.99,122.99,201403,201312
2013-09-03,122.8,122.8,201403,201312
2013-09-04,122.96,123.15,201403,201312
2013-09-05,122.43,122.59,201403,201312
2013-09-06,123.0,123.27,201403,201312
2013-09-09,122.99,123.25,201403,201312
2013-09-10,122.67,122.9,201403,201312
2013-09-11,122.88,123.14,201403,201312
2013-09-12,123.18,123.45,201403,201312
2013-09-13,123.23,123.5,201403,201312
2013-09-16,123.48,123.79,201403,201312
2013-09-17,123.32,123.61,201403,201312
2013-09-18,123.16,123.43,201403,201312
2013-09-19,123.65,123.98,201403,201312
2013-09-20,123.56,123.87,201403,201312
2013-09-23,123.81,124.14,201403,201312
2013-09-24,124.09,124.45,201403,201312
2013-09-25,124.16,124.53,201403,201312
2013-09-26,124.17,124.54,201403,201312
2013-09-27,124.4,124.8,201403,201312
2013-09-30,124.44,124.85,201403,201312
2013-10-01,124.29,124.68,201403,201312
