DATETIME,PRICE
2013-03-08,93.26
2013-03-11,92.83
2013-03-12,93.21
2013-03-13,92.64
2013-03-14,92.96
2013-03-15,93.27
2013-03-18,93.07
2013-03-19,92.41
2013-03-20,93.0
2013-03-21,93.02
2013-03-22,92.72
2013-03-25,92.34
2013-03-26,92.26
2013-03-27,90.89
2013-03-28,91.11
2013-03-29,
2013-04-01,
2013-04-02,91.87
2013-04-03,92.29
2013-04-04,92.47
2013-04-05,93.83
2013-04-08,94.51
2013-04-09,94.0
2013-04-10,94.46
2013-04-11,94.82
2013-04-12,94.79
2013-04-15,94.74
2013-04-16,95.03
2013-04-17,95.45
2013-04-18,95.58
2013-04-19,95.84
2013-04-22,96.98
2013-04-23,98.25
2013-04-24,97.44
2013-04-25,96.92
2013-04-26,96.9
2013-04-29,98.22
2013-04-30,98.45
2013-05-01,
2013-05-02,99.35
2013-05-03,99.14
2013-05-06,98.64
2013-05-07,99.12
2013-05-08,99.32
2013-05-09,99.0
2013-05-10,98.84
2013-05-13,98.27
2013-05-14,97.99
2013-05-15,97.6
2013-05-16,98.25
2013-05-17,98.93
2013-05-20,98.99
2013-05-21,98.67
2013-05-22,98.83
2013-05-23,97.86
2013-05-24,96.61
2013-05-27,97.65
2013-05-28,97.67
2013-05-29,96.7
2013-05-30,97.38
2013-05-31,96.99
2013-06-03,96.93
2013-06-04,97.38
2013-06-05,97.27
2013-06-06,95.55
2013-06-07,96.55
2013-06-10,95.95
2013-06-11,95.24
2013-06-12,95.27
2013-06-13,95.3
2013-06-14,95.92
2013-06-17,96.1
2013-06-18,95.93
2013-06-19,96.2
2013-06-20,93.42
2013-06-21,93.22
2013-06-24,91.41
2013-06-25,90.76
2013-06-26,92.25
2013-06-27,93.31
2013-06-28,93.57
2013-07-01,94.12
2013-07-02,94.64
2013-07-03,93.64
2013-07-04,94.48
2013-07-05,94.52
2013-07-08,94.89
2013-07-09,94.76
2013-07-10,94.36
2013-07-11,94.01
2013-07-12,94.1
2013-07-15,94.28
2013-07-16,94.23
2013-07-17,94.1
2013-07-18,94.71
2013-07-19,94.99
2013-07-22,95.66
2013-07-23,94.91
2013-07-24,94.91
2013-07-25,94.72
2013-07-26,94.62
2013-07-29,94.22
2013-07-30,94.62
2013-07-31,94.57
2013-08-01,95.01
2013-08-02,95.7
2013-08-05,95.68
2013-08-06,95.95
2013-08-07,95.9
2013-08-08,96.46
2013-08-09,96.53
2013-08-12,96.13
2013-08-13,95.74
2013-08-14,95.87
2013-08-15,95.31
2013-08-16,95.7
2013-08-19,94.99
2013-08-20,94.7
2013-08-21,94.41
2013-08-22,94.71
2013-08-23,94.62
2013-08-26,94.17
2013-08-27,93.67
2013-08-28,94.07
2013-08-29,94.24
2013-08-30,94.18
2013-09-02,94.42
2013-09-03,94.49
2013-09-04,93.98
2013-09-05,93.12
2013-09-06,93.28
2013-09-09,93.11
2013-09-10,92.92
2013-09-11,93.18
2013-09-12,93.17
2013-09-13,92.88
2013-09-16,93.6
2013-09-17,94.13
2013-09-18,94.34
2013-09-19,95.18
2013-09-20,95.23
2013-09-23,95.44
2013-09-24,95.75
2013-09-25,95.79
2013-09-26,94.94
2013-09-27,94.35
2013-09-30,94.28
2013-10-01,95.12
2013-10-02,96.05
2013-10-03,95.99
2013-10-04,96.55
2013-10-07,96.82
2013-10-08,96.36
2013-10-09,96.22
2013-10-10,96.5
2013-10-11,96.91
2013-10-14,97.12
2013-10-15,97.26
2013-10-16,97.31
2013-10-17,97.62
2013-10-18,98.0
2013-10-21,97.9
2013-10-22,98.49
2013-10-23,98.58
2013-10-24,98.39
2013-10-25,97.88
2013-10-28,98.01
2013-10-29,98.53
2013-10-30,98.29
2013-10-31,98.83
2013-11-01,98.95
2013-11-04,99.03
2013-11-05,98.51
2013-11-06,98.48
2013-11-07,99.27
2013-11-08,98.85
2013-11-11,98.99
2013-11-12,98.86
2013-11-13,99.15
2013-11-14,99.6
2013-11-15,99.37
2013-11-18,99.64
2013-11-19,99.57
2013-11-20,99.51
2013-11-21,99.44
2013-11-22,99.54
2013-11-25,99.53
2013-11-26,99.92
2013-11-27,99.95
2013-11-28,100.11
2013-11-29,100.11
2013-12-02,99.85
2013-12-03,99.79
2013-12-04,99.28
2013-12-05,98.38
2013-12-06,98.49
2013-12-09,98.96
2013-12-10,99.68
2013-12-11,99.79
2013-12-12,99.38
2013-12-13,99.54
2013-12-16,99.89
2013-12-17,99.89
2013-12-18,99.68
2013-12-19,99.71
2013-12-20,99.45
2013-12-23,98.94
2013-12-24,98.94
2013-12-25,
2013-12-26,
2013-12-27,98.86
2013-12-30,99.81
2013-12-31,
2014-01-01,
2014-01-02,100.8
2014-01-03,101.04
2014-01-06,101.12
2014-01-07,101.67
2014-01-08,101.6
2014-01-09,101.4
2014-01-10,101.24
2014-01-13,101.44
2014-01-14,101.56
2014-01-15,101.74
2014-01-16,101.9
2014-01-17,102.16
2014-01-20,102.37
2014-01-21,102.1
2014-01-22,102.05
2014-01-23,101.79
2014-01-24,101.41
2014-01-27,101.42
2014-01-28,101.89
2014-01-29,101.85
2014-01-30,102.13
2014-01-31,102.66
2014-02-03,102.64
2014-02-04,102.6
2014-02-05,102.85
2014-02-06,102.87
2014-02-07,102.87
2014-02-10,103.47
2014-02-11,103.43
2014-02-12,103.11
2014-02-13,103.28
2014-02-14,102.87
2014-02-17,104.04
2014-02-18,104.52
2014-02-19,104.33
2014-02-20,103.81
2014-02-21,102.87
2014-02-24,104.13
2014-02-25,104.3
2014-02-26,104.64
2014-02-27,105.2
2014-02-28,102.87
2014-03-03,105.3
2014-03-04,105.63
2014-03-05,106.04
2014-03-06,105.15
2014-03-07,105.54
2014-03-10,106.03
2014-03-11,105.78
2014-03-12,105.65
2014-03-13,105.7
2014-03-14,105.75
2014-03-17,106.08
2014-03-18,106.18
2014-03-19,106.03
2014-03-20,105.61
2014-03-21,105.81
2014-03-24,105.7
2014-03-25,105.97
2014-03-26,106.5
2014-03-27,106.93
2014-03-28,106.88
2014-03-31,106.94
2014-04-01,107.01
2014-04-02,106.84
2014-04-03,107.28
2014-04-04,108.14
2014-04-07,108.01
2014-04-08,107.71
2014-04-09,107.98
2014-04-10,108.3
2014-04-11,107.83
2014-04-14,108.18
2014-04-15,108.76
2014-04-16,108.93
2014-04-17,108.73
2014-04-18,
2014-04-21,
2014-04-22,108.97
2014-04-23,109.1
2014-04-24,108.77
2014-04-25,108.81
2014-04-28,108.64
2014-04-29,108.89
2014-04-30,109.23
2014-05-01,
2014-05-02,109.49
2014-05-05,109.54
2014-05-06,109.89
2014-05-07,109.8
2014-05-08,110.55
2014-05-09,110.42
2014-05-12,110.23
2014-05-13,110.55
2014-05-14,110.73
2014-05-15,109.27
2014-05-16,109.29
2014-05-19,108.54
2014-05-20,107.68
2014-05-21,108.1
2014-05-22,107.81
2014-05-23,108.6
2014-05-26,110.12
2014-05-27,110.01
2014-05-28,110.65
2014-05-29,110.42
2014-05-30,110.4
2014-06-02,110.39
2014-06-03,110.15
2014-06-04,109.98
2014-06-05,110.7
2014-06-06,112.45
2014-06-09,112.92
2014-06-10,112.25
2014-06-11,112.2
2014-06-12,111.89
2014-06-13,112.32
2014-06-16,112.27
2014-06-17,111.78
2014-06-18,111.6
2014-06-19,112.18
2014-06-20,111.8
2014-06-23,112.24
2014-06-24,112.51
2014-06-25,112.86
2014-06-26,112.99
2014-06-27,113.0
2014-06-30,112.84
2014-07-01,112.99
2014-07-02,112.32
2014-07-03,112.75
2014-07-04,113.19
2014-07-07,113.24
2014-07-08,113.03
2014-07-09,112.63
2014-07-10,112.04
2014-07-11,112.5
2014-07-14,112.63
2014-07-15,112.85
2014-07-16,113.2
2014-07-17,113.43
2014-07-18,113.29
2014-07-21,113.59
2014-07-22,113.52
2014-07-23,113.92
2014-07-24,113.93
2014-07-25,114.08
2014-07-28,114.56
2014-07-29,114.82
2014-07-30,114.6
2014-07-31,114.42
2014-08-01,113.83
2014-08-04,114.34
2014-08-05,113.76
2014-08-06,113.37
2014-08-07,112.94
2014-08-08,113.12
2014-08-11,113.55
2014-08-12,114.23
2014-08-13,114.28
2014-08-14,114.99
2014-08-15,115.55
2014-08-18,115.17
