DATETIME,PRICE
2013-03-08,128.66
2013-03-11,128.93
2013-03-12,129.28
2013-03-13,129.43
2013-03-14,129.42
2013-03-15,129.68
2013-03-18,130.3
2013-03-19,130.96
2013-03-20,130.64
2013-03-21,130.81
2013-03-22,130.71
2013-03-25,131.08
2013-03-26,131.19
2013-03-27,131.93
2013-03-28,131.92
2013-03-29,
2013-04-01,
2013-04-02,131.65
2013-04-03,129.84
2013-04-04,130.28
2013-04-05,130.66
2013-04-08,130.4
2013-04-09,130.12
2013-04-10,129.67
2013-04-11,129.57
2013-04-12,130.2
2013-04-15,130.65
2013-04-16,130.34
2013-04-17,130.85
2013-04-18,131.09
2013-04-19,130.85
2013-04-22,131.17
2013-04-23,130.91
2013-04-24,131.01
2013-04-25,131.02
2013-04-26,131.36
2013-04-29,131.48
2013-04-30,131.4
2013-05-01,
2013-05-02,131.98
2013-05-03,131.92
2013-05-06,130.73
2013-05-07,130.0
2013-05-08,130.36
2013-05-09,130.41
2013-05-10,129.02
2013-05-13,129.15
2013-05-14,129.03
2013-05-15,128.93
2013-05-16,129.6
2013-05-17,129.68
2013-05-20,129.09
2013-05-21,128.56
2013-05-22,128.83
2013-05-23,128.58
2013-05-24,128.77
2013-05-27,128.45
2013-05-28,128.01
2013-05-29,127.58
2013-05-30,127.9
2013-05-31,127.88
2013-06-03,127.6
2013-06-04,127.53
2013-06-05,128.03
2013-06-06,127.73
2013-06-07,127.72
2013-06-10,127.15
2013-06-11,127.02
2013-06-12,127.07
2013-06-13,127.49
2013-06-14,128.15
2013-06-17,128.07
2013-06-18,127.49
2013-06-19,127.71
2013-06-20,126.4
2013-06-21,125.67
2013-06-24,124.59
2013-06-25,124.82
2013-06-26,125.3
2013-06-27,125.74
2013-06-28,125.8
2013-07-01,125.88
2013-07-02,125.98
2013-07-03,126.55
2013-07-04,126.58
2013-07-05,125.95
2013-07-08,126.23
2013-07-09,126.85
2013-07-10,126.86
2013-07-11,127.2
2013-07-12,127.89
2013-07-15,127.65
2013-07-16,127.95
2013-07-17,128.17
2013-07-18,128.47
2013-07-19,128.45
2013-07-22,128.42
2013-07-23,128.02
2013-07-24,126.92
2013-07-25,126.49
2013-07-26,126.7
2013-07-29,126.67
2013-07-30,126.67
2013-07-31,126.59
2013-08-01,126.6
2013-08-02,126.83
2013-08-05,126.45
2013-08-06,126.28
2013-08-07,126.46
2013-08-08,126.5
2013-08-09,126.49
2013-08-12,126.43
2013-08-13,125.08
2013-08-14,125.18
2013-08-15,124.33
2013-08-16,124.44
2013-08-19,124.16
2013-08-20,124.83
2013-08-21,124.36
2013-08-22,123.96
2013-08-23,123.79
2013-08-26,124.26
2013-08-27,124.75
2013-08-28,124.5
2013-08-29,124.78
2013-08-30,124.84
2013-09-02,124.25
2013-09-03,123.79
2013-09-04,123.92
2013-09-05,122.8
2013-09-06,123.86
2013-09-09,123.79
2013-09-10,122.9
2013-09-11,123.27
2013-09-12,123.95
2013-09-13,124.16
2013-09-16,124.67
2013-09-17,124.24
2013-09-18,123.89
2013-09-19,124.73
2013-09-20,124.49
2013-09-23,124.95
2013-09-24,125.71
2013-09-25,126.11
2013-09-26,126.04
2013-09-27,126.62
2013-09-30,126.67
2013-10-01,126.43
2013-10-02,126.49
2013-10-03,126.4
2013-10-04,126.13
2013-10-07,126.48
2013-10-08,126.39
2013-10-09,126.41
2013-10-10,125.82
2013-10-11,125.96
2013-10-14,125.92
2013-10-15,125.41
2013-10-16,125.08
2013-10-17,125.85
2013-10-18,126.22
2013-10-21,126.08
2013-10-22,126.71
2013-10-23,127.03
2013-10-24,127.04
2013-10-25,127.23
2013-10-28,127.32
2013-10-29,127.44
2013-10-30,128.02
2013-10-31,128.17
2013-11-01,128.02
2013-11-04,128.06
