DATETIME,PRICE
2013-03-18,2226.7
2013-03-19,2182.7
2013-03-20,2219.7
2013-03-21,2190.7
2013-03-22,2192.7
2013-03-25,2159.7
2013-03-26,2149.7
2013-03-27,2120.7
2013-03-28,2127.7
2013-03-29,
2013-04-01,
2013-04-02,2186.7
2013-04-03,2150.7
2013-04-04,2133.7
2013-04-05,2096.7
2013-04-08,2095.7
2013-04-09,2099.7
2013-04-10,2170.7
2013-04-11,2189.7
2013-04-12,2145.7
2013-04-15,2136.7
2013-04-16,2128.7
2013-04-17,2069.7
2013-04-18,2071.7
2013-04-19,2087.7
2013-04-22,2097.7
2013-04-23,2180.7
2013-04-24,2219.7
2013-04-25,2222.7
2013-04-26,2206.7
2013-04-29,2246.7
2013-04-30,2243.7
2013-05-01,
2013-05-02,2257.7
2013-05-03,2298.7
2013-05-06,2290.7
2013-05-07,2307.7
2013-05-08,2330.7
2013-05-09,2328.7
2013-05-10,2336.7
2013-05-13,2330.7
2013-05-14,2351.7
2013-05-15,2365.7
2013-05-16,2365.7
2013-05-17,2380.7
2013-05-20,2388.7
2013-05-21,2385.7
2013-05-22,2401.7
2013-05-23,2346.7
2013-05-24,2336.7
2013-05-27,2364.7
2013-05-28,2413.7
2013-05-29,2359.7
2013-05-30,2370.7
2013-05-31,2348.7
2013-06-03,2322.7
2013-06-04,2327.7
2013-06-05,2285.7
2013-06-06,2254.7
2013-06-07,2299.7
2013-06-10,2293.7
2013-06-11,2260.7
2013-06-12,2243.7
2013-06-13,2237.7
2013-06-14,2241.7
2013-06-17,2277.7
2013-06-18,2274.7
2013-06-19,2258.7
2013-06-20,2165.7
2013-06-21,2131.7
2013-06-24,2090.7
2013-06-25,2119.7
2013-06-26,2176.7
2013-06-27,2199.7
2013-06-28,2176.7
2013-07-01,2195.7
2013-07-02,2176.7
2013-07-03,2149.7
2013-07-04,2221.7
2013-07-05,2177.7
2013-07-08,2225.7
2013-07-09,2241.7
2013-07-10,2233.7
2013-07-11,2258.7
2013-07-12,2249.7
2013-07-15,2264.7
2013-07-16,2247.7
2013-07-17,2259.7
2013-07-18,2292.7
2013-07-19,2296.7
2013-07-22,2305.7
2013-07-23,2303.7
2013-07-24,2330.7
2013-07-25,2319.7
2013-07-26,2323.7
2013-07-29,2317.7
2013-07-30,2340.7
2013-07-31,2335.7
2013-08-01,2381.7
2013-08-02,2389.7
2013-08-05,2389.7
2013-08-06,2369.7
2013-08-07,2369.7
2013-08-08,2390.7
2013-08-09,2401.7
2013-08-12,2406.7
2013-08-13,2419.7
2013-08-14,2430.7
2013-08-15,2411.7
2013-08-16,2431.7
2013-08-19,2402.7
2013-08-20,2367.7
2013-08-21,2351.7
2013-08-22,2385.7
2013-08-23,2404.7
2013-08-26,2397.7
2013-08-27,2337.7
2013-08-28,2320.7
2013-08-29,2336.7
2013-08-30,2305.7
2013-09-02,2347.7
2013-09-03,2333.7
2013-09-04,2338.7
2013-09-05,2347.7
2013-09-06,2378.7
2013-09-09,2378.7
2013-09-10,2431.7
2013-09-11,2437.7
2013-09-12,2440.7
2013-09-13,2448.7
2013-09-16,2473.7
2013-09-17,2471.7
2013-09-18,2483.7
2013-09-19,2508.7
2013-09-20,2510.7
2013-09-23,2486.7
2013-09-24,2504.7
2013-09-25,2507.7
2013-09-26,2502.7
2013-09-27,2499.7
2013-09-30,2471.7
2013-10-01,2509.7
2013-10-02,2500.7
2013-10-03,2484.7
2013-10-04,2508.7
2013-10-07,2501.7
2013-10-08,2489.7
2013-10-09,2483.7
2013-10-10,2548.7
2013-10-11,2554.7
2013-10-14,2556.7
2013-10-15,2586.7
2013-10-16,2598.7
2013-10-17,2595.7
2013-10-18,2612.7
2013-10-21,2613.7
2013-10-22,2627.7
2013-10-23,2598.7
2013-10-24,2621.7
2013-10-25,2618.7
2013-10-28,2607.7
2013-10-29,2634.7
2013-10-30,2625.7
2013-10-31,2651.7
2013-11-01,2635.7
2013-11-04,2644.7
2013-11-05,2619.7
2013-11-06,2641.7
2013-11-07,2631.7
2013-11-08,2620.7
