DATETIME,PRICE
1990-04-04,13.1445
1990-04-05,13.1445
1990-04-06,13.1445
1990-04-09,13.1545
1990-04-10,13.1395
1990-04-11,13.1295
1990-04-12,13.1445
1990-04-13,
1990-04-16,13.1445
1990-04-17,13.1545
1990-04-18,12.5495
1990-04-19,12.5545
1990-04-20,12.5495
1990-04-23,12.5445
1990-04-24,12.5445
1990-04-25,12.5545
1990-04-26,12.5595
1990-04-27,12.5595
1990-04-30,12.5635
1990-05-01,12.5595
1990-05-02,12.5645
1990-05-03,12.5595
1990-05-04,12.5645
1990-05-07,12.5595
1990-05-08,12.5615
1990-05-09,12.5675
1990-05-10,12.5695
1990-05-11,12.5725
1990-05-14,12.5675
1990-05-15,12.5695
1990-05-16,12.5745
1990-05-17,12.5755
1990-05-18,12.5785
1990-05-21,12.5705
1990-05-22,12.5675
1990-05-23,12.5645
1990-05-24,12.5635
1990-05-25,12.5605
1990-05-28,
1990-05-29,12.5615
1990-05-30,12.5665
1990-05-31,12.5695
1990-06-01,12.5595
1990-06-04,12.5585
1990-06-05,12.5485
1990-06-06,12.5485
1990-06-07,12.5545
1990-06-08,12.5515
1990-06-11,12.5445
1990-06-12,12.5415
1990-06-13,12.5285
1990-06-14,12.5305
1990-06-15,12.5315
1990-06-18,12.5215
1990-06-19,12.5115
1990-06-20,12.4995
1990-06-21,12.4895
1990-06-22,12.4745
1990-06-25,12.4695
1990-06-26,12.4665
1990-06-27,12.4505
1990-06-28,12.4445
1990-06-29,12.4545
1990-07-02,12.4515
1990-07-03,12.4545
1990-07-04,
1990-07-05,12.4455
1990-07-06,12.4285
1990-07-09,12.4015
1990-07-10,12.3995
1990-07-11,12.4105
1990-07-12,12.4175
1990-07-13,12.4345
1990-07-16,12.4545
1990-07-17,12.4445
1990-07-18,12.4795
1990-07-19,14.1015
1990-07-20,14.0815
1990-07-23,14.0975
1990-07-24,14.1095
1990-07-25,14.1185
1990-07-26,14.1295
1990-07-27,14.1305
1990-07-30,14.1465
1990-07-31,14.1295
1990-08-01,14.1015
1990-08-02,14.1095
1990-08-03,14.1995
1990-08-06,14.2745
1990-08-07,14.1745
1990-08-08,14.1295
1990-08-09,14.1295
1990-08-10,14.1395
1990-08-13,
1990-08-14,14.1245
1990-08-15,14.1115
1990-08-16,14.1345
1990-08-17,14.1595
1990-08-20,14.1495
1990-08-21,14.1645
1990-08-22,14.1865
1990-08-23,14.2345
1990-08-24,14.2345
1990-08-27,14.1945
1990-08-28,14.1745
1990-08-29,14.1305
1990-08-30,14.1765
1990-08-31,14.1995
1990-09-03,
1990-09-04,14.2245
1990-09-05,14.2245
1990-09-06,14.2395
1990-09-07,14.2295
1990-09-10,14.2195
1990-09-11,14.2255
1990-09-12,14.2245
1990-09-13,14.2315
1990-09-14,14.2395
1990-09-17,14.2525
1990-09-18,14.2445
1990-09-19,14.2445
1990-09-20,14.2595
1990-09-21,14.3065
1990-09-24,14.3795
1990-09-25,14.3825
1990-09-26,14.4245
1990-09-27,14.4575
1990-09-28,14.5245
1990-10-01,14.4995
1990-10-02,14.4145
1990-10-03,14.4805
1990-10-04,14.5285
1990-10-05,14.5805
1990-10-08,14.6495
1990-10-09,14.7275
1990-10-10,14.6465
1990-10-11,14.6825
1990-10-12,14.6445
1990-10-15,14.5695
1990-10-16,14.6195
1990-10-17,14.5795
1990-10-18,14.5695
1990-10-19,
1990-10-22,13.4145
1990-10-23,13.5145
1990-10-24,13.4645
1990-10-25,13.4445
1990-10-26,13.4745
1990-10-29,13.4345
1990-10-30,13.4295
1990-10-31,13.4365
1990-11-01,13.4495
1990-11-02,13.4495
1990-11-05,13.4245
1990-11-06,13.4345
1990-11-07,13.4495
1990-11-08,13.4485
1990-11-09,13.4295
1990-11-12,13.4345
1990-11-13,13.4345
1990-11-14,13.4345
1990-11-15,13.4095
1990-11-16,13.3945
1990-11-19,13.4195
1990-11-20,13.4195
1990-11-21,13.3945
1990-11-22,
